game_id,team,category,stat
400763620,Florida International,fumblesRecovered,2
400763620,Florida International,rushingTDs,1
400763620,Florida International,puntReturnYards,7
400763620,Florida International,puntReturnTDs,0
400763620,Florida International,puntReturns,1
400763620,Florida International,passingTDs,1
400763620,Florida International,kickReturnYards,72
400763620,Florida International,kickReturnTDs,0
400763620,Florida International,kickReturns,3
400763620,Florida International,kickingPoints,2
400763620,Florida International,firstDowns,13
400763620,Florida International,thirdDownEff,5-16
400763620,Florida International,fourthDownEff,1-2
400763620,Florida International,totalYards,188
400763620,Florida International,netPassingYards,115
400763620,Florida International,completionAttempts,22-34
400763620,Florida International,yardsPerPass,3.4
400763620,Florida International,rushingYards,73
400763620,Florida International,rushingAttempts,29
400763620,Florida International,yardsPerRushAttempt,2.5
400763620,Florida International,totalPenaltiesYards,10-111
400763620,Florida International,turnovers,0
400763620,Florida International,fumblesLost,0
400763620,Florida International,interceptions,0
400763620,Florida International,possessionTime,28:36
400787252,New Mexico,fumblesRecovered,1
400787252,New Mexico,rushingTDs,4
400787252,New Mexico,puntReturnYards,0
400787252,New Mexico,puntReturnTDs,0
400787252,New Mexico,puntReturns,1
400787252,New Mexico,passingTDs,0
400787252,New Mexico,kickReturnYards,78
400787252,New Mexico,kickReturnTDs,0
400787252,New Mexico,kickReturns,4
400787252,New Mexico,kickingPoints,4
400787252,New Mexico,interceptionYards,15
400787252,New Mexico,interceptionTDs,0
400787252,New Mexico,passesIntercepted,2
400787252,New Mexico,firstDowns,21
400787252,New Mexico,thirdDownEff,6-17
400787252,New Mexico,fourthDownEff,2-2
400787252,New Mexico,totalYards,446
400787252,New Mexico,netPassingYards,45
400787252,New Mexico,completionAttempts,5-17
400787252,New Mexico,yardsPerPass,2.6
400787252,New Mexico,rushingYards,401
400787252,New Mexico,rushingAttempts,61
400787252,New Mexico,yardsPerRushAttempt,6.6
400787252,New Mexico,totalPenaltiesYards,4-27
400787252,New Mexico,turnovers,2
400787252,New Mexico,fumblesLost,1
400787252,New Mexico,interceptions,1
400787252,New Mexico,possessionTime,34:10
400787444,Arkansas State,fumblesRecovered,0
400787444,Arkansas State,rushingTDs,6
400787444,Arkansas State,puntReturnYards,32
400787444,Arkansas State,puntReturnTDs,0
400787444,Arkansas State,puntReturns,4
400787444,Arkansas State,passingTDs,1
400787444,Arkansas State,kickReturnYards,5
400787444,Arkansas State,kickReturnTDs,0
400787444,Arkansas State,kickReturns,1
400787444,Arkansas State,kickingPoints,7
400787444,Arkansas State,interceptionYards,2
400787444,Arkansas State,interceptionTDs,0
400787444,Arkansas State,passesIntercepted,3
400787444,Arkansas State,firstDowns,29
400787444,Arkansas State,thirdDownEff,7-11
400787444,Arkansas State,fourthDownEff,0-0
400787444,Arkansas State,totalYards,521
400787444,Arkansas State,netPassingYards,188
400787444,Arkansas State,completionAttempts,16-25
400787444,Arkansas State,yardsPerPass,7.5
400787444,Arkansas State,rushingYards,333
400787444,Arkansas State,rushingAttempts,53
400787444,Arkansas State,yardsPerRushAttempt,6.3
400787444,Arkansas State,totalPenaltiesYards,15-157
400787444,Arkansas State,turnovers,2
400787444,Arkansas State,fumblesLost,1
400787444,Arkansas State,interceptions,1
400787444,Arkansas State,possessionTime,31:46
400756940,Clemson,fumblesRecovered,3
400756940,Clemson,rushingTDs,1
400756940,Clemson,puntReturnYards,0
400756940,Clemson,puntReturnTDs,0
400756940,Clemson,puntReturns,1
400756940,Clemson,passingTDs,2
400756940,Clemson,kickReturnYards,128
400756940,Clemson,kickReturnTDs,0
400756940,Clemson,kickReturns,4
400756940,Clemson,kickingPoints,6
400756940,Clemson,interceptionYards,0
400756940,Clemson,interceptionTDs,0
400756940,Clemson,passesIntercepted,1
400756940,Clemson,firstDowns,15
400756940,Clemson,thirdDownEff,5-15
400756940,Clemson,fourthDownEff,0-0
