game_id,team,category,stat
401249432,Stanford,fumblesRecovered,1
401249432,Stanford,tacklesForLoss,3
401249432,Stanford,defensiveTDs,0
401249432,Stanford,tackles,42
401249432,Stanford,sacks,1
401249432,Stanford,qbHurries,0
401249432,Stanford,passesDeflected,3
401249432,Stanford,rushingTDs,2
401249432,Stanford,passingTDs,1
401249432,Stanford,kickReturnYards,97
401249432,Stanford,kickReturnTDs,0
401249432,Stanford,kickReturns,4
401249432,Stanford,kickingPoints,7
401249432,Stanford,possessionTime,30:53
401249432,Stanford,interceptions,0
401249432,Stanford,fumblesLost,0
401249432,Stanford,turnovers,0
401249432,Stanford,totalPenaltiesYards,5-66
401249432,Stanford,yardsPerRushAttempt,3.3
401249432,Stanford,rushingAttempts,35
401249432,Stanford,rushingYards,116
401249432,Stanford,yardsPerPass,10.1
401249432,Stanford,completionAttempts,21-29
401249432,Stanford,netPassingYards,292
401249432,Stanford,totalYards,408
401249432,Stanford,fourthDownEff,0-0
401249432,Stanford,thirdDownEff,5-11
401249432,Stanford,firstDowns,22
401267164,Alabama,tacklesForLoss,0
401267164,Alabama,defensiveTDs,1
401267164,Alabama,tackles,0
401267164,Alabama,sacks,0
401267164,Alabama,qbHurries,0
401267164,Alabama,passesDeflected,0
401267164,Alabama,fumblesRecovered,3
401267164,Alabama,rushingTDs,6
401267164,Alabama,puntReturnYards,111
401267164,Alabama,puntReturnTDs,1
401267164,Alabama,puntReturns,3
401267164,Alabama,passingTDs,0
401267164,Alabama,kickReturnYards,10
401267164,Alabama,kickReturnTDs,0
401267164,Alabama,kickReturns,1
401267164,Alabama,kickingPoints,10
401267164,Alabama,interceptionYards,0
401267164,Alabama,interceptionTDs,0
401267164,Alabama,passesIntercepted,1
401267164,Alabama,possessionTime,33:15
401267164,Alabama,interceptions,0
401267164,Alabama,fumblesLost,1
401267164,Alabama,turnovers,1
401267164,Alabama,totalPenaltiesYards,2-23
401267164,Alabama,yardsPerRushAttempt,5.7
401267164,Alabama,rushingAttempts,38
401267164,Alabama,rushingYards,216
401267164,Alabama,yardsPerPass,6.9
401267164,Alabama,completionAttempts,27-33
401267164,Alabama,netPassingYards,227
401267164,Alabama,totalYards,443
401267164,Alabama,fourthDownEff,0-1
401267164,Alabama,thirdDownEff,10-14
401267164,Alabama,firstDowns,24
401267163,Tennessee,rushingTDs,1
401267163,Tennessee,puntReturnYards,14
401267163,Tennessee,puntReturnTDs,0
401267163,Tennessee,puntReturns,3
401267163,Tennessee,passingTDs,4
401267163,Tennessee,kickReturnYards,17
401267163,Tennessee,kickReturnTDs,0
401267163,Tennessee,kickReturns,2
401267163,Tennessee,kickingPoints,6
401267163,Tennessee,interceptionYards,18
401267163,Tennessee,interceptionTDs,1
401267163,Tennessee,passesIntercepted,1
401267163,Tennessee,fumblesRecovered,0
401267163,Tennessee,totalFumbles,1
401267163,Tennessee,tacklesForLoss,5
401267163,Tennessee,defensiveTDs,1
401267163,Tennessee,tackles,44
401267163,Tennessee,sacks,2
401267163,Tennessee,qbHurries,5
401267163,Tennessee,passesDeflected,6
