game_id,team,category,stat
400944862,Arkansas State,rushingTDs,1
400944862,Arkansas State,puntReturnYards,114
400944862,Arkansas State,puntReturnTDs,0
400944862,Arkansas State,puntReturns,9
400944862,Arkansas State,passingTDs,4
400944862,Arkansas State,kickingPoints,7
400944862,Arkansas State,interceptionYards,61
400944862,Arkansas State,interceptionTDs,0
400944862,Arkansas State,passesIntercepted,2
400944862,Arkansas State,fumblesRecovered,0
400944862,Arkansas State,totalFumbles,1
400944862,Arkansas State,tacklesForLoss,10
400944862,Arkansas State,defensiveTDs,0
400944862,Arkansas State,tackles,27
400944862,Arkansas State,sacks,7
400944862,Arkansas State,qbHurries,4
400944862,Arkansas State,passesDeflected,4
400944862,Arkansas State,firstDowns,24
400944862,Arkansas State,thirdDownEff,3-14
400944862,Arkansas State,fourthDownEff,0-0
400944862,Arkansas State,totalYards,417
400944862,Arkansas State,netPassingYards,297
400944862,Arkansas State,completionAttempts,25-40
400944862,Arkansas State,yardsPerPass,7.4
400944862,Arkansas State,rushingYards,120
400944862,Arkansas State,rushingAttempts,40
400944862,Arkansas State,yardsPerRushAttempt,3.0
400944862,Arkansas State,totalPenaltiesYards,13-126
400944862,Arkansas State,turnovers,2
400944862,Arkansas State,fumblesLost,1
400944862,Arkansas State,interceptions,1
400944862,Arkansas State,possessionTime,31:39
400944862,New Mexico State,rushingTDs,2
400944862,New Mexico State,passingTDs,1
400944862,New Mexico State,kickReturnYards,78
400944862,New Mexico State,kickReturnTDs,0
400944862,New Mexico State,kickReturns,2
400944862,New Mexico State,kickingPoints,3
400944862,New Mexico State,interceptionYards,0
400944862,New Mexico State,interceptionTDs,0
400944862,New Mexico State,passesIntercepted,1
400944862,New Mexico State,fumblesRecovered,1
400944862,New Mexico State,totalFumbles,0
400944862,New Mexico State,tacklesForLoss,11
400944862,New Mexico State,defensiveTDs,0
400944862,New Mexico State,tackles,45
400944862,New Mexico State,sacks,5
400944862,New Mexico State,qbHurries,4
400944862,New Mexico State,passesDeflected,6
400944862,New Mexico State,firstDowns,13
400944862,New Mexico State,thirdDownEff,3-17
400944862,New Mexico State,fourthDownEff,0-1
400944862,New Mexico State,totalYards,256
400944862,New Mexico State,netPassingYards,221
400944862,New Mexico State,completionAttempts,20-40
400944862,New Mexico State,yardsPerPass,5.5
400944862,New Mexico State,rushingYards,35
400944862,New Mexico State,rushingAttempts,32
400944862,New Mexico State,yardsPerRushAttempt,1.1
400944862,New Mexico State,totalPenaltiesYards,4-39
400944862,New Mexico State,turnovers,2
400944862,New Mexico State,fumblesLost,0
400944862,New Mexico State,interceptions,2
400944862,New Mexico State,possessionTime,28:21
400944865,Louisiana Monroe,rushingTDs,0
400944865,Louisiana Monroe,puntReturnYards,10
400944865,Louisiana Monroe,puntReturnTDs,0
400944865,Louisiana Monroe,puntReturns,1
400944865,Louisiana Monroe,passingTDs,3
400944865,Louisiana Monroe,kickReturnYards,46
