game_id,team,category,stat
400955152,Florida Atlantic,rushingTDs,3
400955152,Florida Atlantic,puntReturnYards,0
400955152,Florida Atlantic,puntReturnTDs,0
400955152,Florida Atlantic,puntReturns,1
400955152,Florida Atlantic,passingTDs,2
400955152,Florida Atlantic,kickReturnYards,29
400955152,Florida Atlantic,kickReturnTDs,0
400955152,Florida Atlantic,kickReturns,1
400955152,Florida Atlantic,kickingPoints,11
400955152,Florida Atlantic,interceptionYards,51
400955152,Florida Atlantic,interceptionTDs,0
400955152,Florida Atlantic,passesIntercepted,2
400955152,Florida Atlantic,fumblesRecovered,0
400955152,Florida Atlantic,totalFumbles,1
400955152,Florida Atlantic,tacklesForLoss,11
400955152,Florida Atlantic,defensiveTDs,0
400955152,Florida Atlantic,tackles,44
400955152,Florida Atlantic,sacks,9
400955152,Florida Atlantic,qbHurries,8
400955152,Florida Atlantic,passesDeflected,4
400955152,Florida Atlantic,firstDowns,22
400955152,Florida Atlantic,thirdDownEff,6-14
400955152,Florida Atlantic,fourthDownEff,1-1
400955152,Florida Atlantic,totalYards,633
400955152,Florida Atlantic,netPassingYards,352
400955152,Florida Atlantic,completionAttempts,18-30
400955152,Florida Atlantic,yardsPerPass,11.7
400955152,Florida Atlantic,rushingYards,281
400955152,Florida Atlantic,rushingAttempts,42
400955152,Florida Atlantic,yardsPerRushAttempt,6.7
400955152,Florida Atlantic,totalPenaltiesYards,9-73
400955152,Florida Atlantic,turnovers,1
400955152,Florida Atlantic,fumblesLost,1
400955152,Florida Atlantic,interceptions,0
400955152,Florida Atlantic,possessionTime,28:09
400955155,Clemson,rushingTDs,4
400955155,Clemson,puntReturnYards,19
400955155,Clemson,puntReturnTDs,0
400955155,Clemson,puntReturns,2
400955155,Clemson,passingTDs,1
400955155,Clemson,kickReturnYards,45
400955155,Clemson,kickReturnTDs,0
400955155,Clemson,kickReturns,2
400955155,Clemson,kickingPoints,8
400955155,Clemson,interceptionYards,37
400955155,Clemson,interceptionTDs,0
400955155,Clemson,passesIntercepted,2
400955155,Clemson,fumblesRecovered,1
400955155,Clemson,totalFumbles,3
400955155,Clemson,tacklesForLoss,6
400955155,Clemson,defensiveTDs,0
400955155,Clemson,tackles,33
400955155,Clemson,sacks,4
400955155,Clemson,qbHurries,4
400955155,Clemson,passesDeflected,6
400955155,Clemson,firstDowns,18
400955155,Clemson,thirdDownEff,9-18
400955155,Clemson,fourthDownEff,0-1
400955155,Clemson,totalYards,331
400955155,Clemson,netPassingYards,254
400955155,Clemson,completionAttempts,25-34
400955155,Clemson,yardsPerPass,7.5
400955155,Clemson,rushingYards,77
400955155,Clemson,rushingAttempts,41
400955155,Clemson,yardsPerRushAttempt,1.9
400955155,Clemson,totalPenaltiesYards,2-13
400955155,Clemson,turnovers,1
400955155,Clemson,fumblesLost,1
400955155,Clemson,interceptions,0
400955155,Clemson,possessionTime,34:06
400955157,TCU,rushingTDs,0
400955157,TCU,puntReturnYards,52
400955157,TCU,puntReturnTDs,0
400955157,TCU,puntReturns,1
400955157,TCU,passingTDs,2
400955157,TCU,kickingPoints,5
400955157,TCU,fumblesRecovered,0
400955157,TCU,totalFumbles,1
400955157,TCU,tacklesForLoss,4
400955157,TCU,defensiveTDs,0
400955157,TCU,tackles,28
400955157,TCU,sacks,1
400955157,TCU,qbHurries,3
400955157,TCU,passesDeflected,3
400955157,TCU,firstDowns,20
400955157,TCU,thirdDownEff,5-11
400955157,TCU,fourthDownEff,0-1
400955157,TCU,totalYards,317
400955157,TCU,netPassingYards,234
400955157,TCU,completionAttempts,27-37
400955157,TCU,yardsPerPass,6.3
400955157,TCU,rushingYards,83
400955157,TCU,rushingAttempts,24
400955157,TCU,yardsPerRushAttempt,3.5
400955157,TCU,totalPenaltiesYards,7-70
400955157,TCU,turnovers,2
400955157,TCU,fumblesLost,1
400955157,TCU,interceptions,1
400955157,TCU,possessionTime,24:41
401000149,Florida State,fumblesRecovered,0
401000149,Florida State,rushingTDs,5
401000149,Florida State,puntReturnYards,38
401000149,Florida State,puntReturnTDs,0
401000149,Florida State,puntReturns,3
401000149,Florida State,passingTDs,1
401000149,Florida State,kickReturnYards,39
401000149,Florida State,kickReturnTDs,0
401000149,Florida State,kickReturns,1
401000149,Florida State,kickingPoints,6
401000149,Florida State,tacklesForLoss,6
401000149,Florida State,defensiveTDs,0
401000149,Florida State,tackles,36
401000149,Florida State,sacks,2
401000149,Florida State,qbHurries,5
401000149,Florida State,passesDeflected,5
401000149,Florida State,firstDowns,26
401000149,Florida State,thirdDownEff,7-9
401000149,Florida State,fourthDownEff,0-0
401000149,Florida State,totalYards,504
401000149,Florida State,netPassingYards,199
401000149,Florida State,completionAttempts,15-23
401000149,Florida State,yardsPerPass,8.7
401000149,Florida State,rushingYards,305
401000149,Florida State,rushingAttempts,45
401000149,Florida State,yardsPerRushAttempt,6.8
401000149,Florida State,totalPenaltiesYards,4-30
401000149,Florida State,turnovers,2
401000149,Florida State,fumblesLost,0
401000149,Florida State,interceptions,2
401000149,Florida State,possessionTime,32:28
400955149,Stanford,rushingTDs,2
400955149,Stanford,puntReturnYards,2
400955149,Stanford,puntReturnTDs,0
400955149,Stanford,puntReturns,1
400955149,Stanford,passingTDs,2
400955149,Stanford,kickReturnYards,116
