game_id,team,category,stat
401247349,Northwestern,fumblesRecovered,0
401247349,Northwestern,tacklesForLoss,7
401247349,Northwestern,defensiveTDs,0
401247349,Northwestern,tackles,40
401247349,Northwestern,sacks,3
401247349,Northwestern,qbHurries,1
401247349,Northwestern,passesDeflected,5
401247349,Northwestern,rushingTDs,1
401247349,Northwestern,passingTDs,0
401247349,Northwestern,kickReturnYards,17
401247349,Northwestern,kickReturnTDs,0
401247349,Northwestern,kickReturns,1
401247349,Northwestern,kickingPoints,4
401247349,Northwestern,interceptionYards,0
401247349,Northwestern,interceptionTDs,0
401247349,Northwestern,passesIntercepted,2
401247349,Northwestern,possessionTime,28:40
401247349,Northwestern,interceptions,2
401247349,Northwestern,fumblesLost,1
401247349,Northwestern,turnovers,3
401247349,Northwestern,totalPenaltiesYards,2-15
401247349,Northwestern,yardsPerRushAttempt,3.1
401247349,Northwestern,rushingAttempts,34
401247349,Northwestern,rushingYards,105
401247349,Northwestern,yardsPerPass,6.1
401247349,Northwestern,completionAttempts,24-37
401247349,Northwestern,netPassingYards,224
401247349,Northwestern,totalYards,329
401247349,Northwestern,fourthDownEff,1-2
401247349,Northwestern,thirdDownEff,7-15
401247349,Northwestern,firstDowns,19
401247349,Ohio State,fumblesRecovered,1
401247349,Ohio State,tacklesForLoss,9
401247349,Ohio State,defensiveTDs,0
401247349,Ohio State,tackles,39
401247349,Ohio State,sacks,3
401247349,Ohio State,qbHurries,5
401247349,Ohio State,passesDeflected,2
401247349,Ohio State,rushingTDs,2
401247349,Ohio State,passingTDs,0
401247349,Ohio State,kickingPoints,10
401247349,Ohio State,interceptionYards,0
401247349,Ohio State,interceptionTDs,0
401247349,Ohio State,passesIntercepted,2
401247349,Ohio State,possessionTime,30:36
401247349,Ohio State,interceptions,2
401247349,Ohio State,fumblesLost,0
401247349,Ohio State,turnovers,2
401247349,Ohio State,totalPenaltiesYards,5-45
401247349,Ohio State,yardsPerRushAttempt,9.1
401247349,Ohio State,rushingAttempts,44
401247349,Ohio State,rushingYards,399
401247349,Ohio State,yardsPerPass,4.2
401247349,Ohio State,completionAttempts,12-27
401247349,Ohio State,netPassingYards,114
401247349,Ohio State,totalYards,513
401247349,Ohio State,fourthDownEff,0-0
401247349,Ohio State,thirdDownEff,4-11
401247349,Ohio State,firstDowns,24
401256001,Clemson,tacklesForLoss,10
401256001,Clemson,defensiveTDs,0
401256001,Clemson,tackles,31
401256001,Clemson,sacks,6
401256001,Clemson,qbHurries,3
401256001,Clemson,passesDeflected,2
401256001,Clemson,fumblesRecovered,0
401256001,Clemson,rushingTDs,2
401256001,Clemson,puntReturnYards,2
401256001,Clemson,puntReturnTDs,0
401256001,Clemson,puntReturns,1
401256001,Clemson,passingTDs,2
401256001,Clemson,kickReturnYards,53
401256001,Clemson,kickReturnTDs,0
401256001,Clemson,kickReturns,2
401256001,Clemson,kickingPoints,10
401256001,Clemson,possessionTime,28:08
401256001,Clemson,interceptions,1
401256001,Clemson,fumblesLost,0
