game_id,team,category,stat
401237139,Mississippi State,tacklesForLoss,11
401237139,Mississippi State,defensiveTDs,0
401237139,Mississippi State,tackles,34
401237139,Mississippi State,sacks,3
401237139,Mississippi State,qbHurries,0
401237139,Mississippi State,passesDeflected,8
401237139,Mississippi State,fumblesRecovered,0
401237139,Mississippi State,rushingTDs,2
401237139,Mississippi State,passingTDs,1
401237139,Mississippi State,kickingPoints,6
401237139,Mississippi State,possessionTime,32:07
401237139,Mississippi State,interceptions,0
401237139,Mississippi State,fumblesLost,0
401237139,Mississippi State,turnovers,0
401237139,Mississippi State,totalPenaltiesYards,3-25
401237139,Mississippi State,yardsPerRushAttempt,1.6
401237139,Mississippi State,rushingAttempts,14
401237139,Mississippi State,rushingYards,22
401237139,Mississippi State,yardsPerPass,6.5
401237139,Mississippi State,completionAttempts,41-52
401237139,Mississippi State,netPassingYards,336
401237139,Mississippi State,totalYards,358
401237139,Mississippi State,fourthDownEff,0-1
401237139,Mississippi State,thirdDownEff,7-13
401237139,Mississippi State,firstDowns,20
401237138,Vanderbilt,fumblesRecovered,1
401237138,Vanderbilt,tacklesForLoss,3
401237138,Vanderbilt,defensiveTDs,0
401237138,Vanderbilt,tackles,33
401237138,Vanderbilt,sacks,1
401237138,Vanderbilt,qbHurries,4
401237138,Vanderbilt,passesDeflected,6
401237138,Vanderbilt,rushingTDs,0
401237138,Vanderbilt,passingTDs,2
401237138,Vanderbilt,kickingPoints,5
401237138,Vanderbilt,possessionTime,25:42
401237138,Vanderbilt,interceptions,1
401237138,Vanderbilt,fumblesLost,0
401237138,Vanderbilt,turnovers,1
401237138,Vanderbilt,totalPenaltiesYards,4-30
401237138,Vanderbilt,yardsPerRushAttempt,2.6
401237138,Vanderbilt,rushingAttempts,34
401237138,Vanderbilt,rushingYards,87
401237138,Vanderbilt,yardsPerPass,9.4
401237138,Vanderbilt,completionAttempts,22-34
401237138,Vanderbilt,netPassingYards,319
401237138,Vanderbilt,totalYards,406
401237138,Vanderbilt,fourthDownEff,1-1
401237138,Vanderbilt,thirdDownEff,7-15
401237138,Vanderbilt,firstDowns,21
401237137,Auburn,fumblesRecovered,0
401237137,Auburn,tacklesForLoss,6
401237137,Auburn,defensiveTDs,1
401237137,Auburn,tackles,44
401237137,Auburn,sacks,4
401237137,Auburn,qbHurries,4
401237137,Auburn,passesDeflected,3
401237137,Auburn,rushingTDs,1
401237137,Auburn,passingTDs,1
401237137,Auburn,kickingPoints,12
401237137,Auburn,interceptionYards,100
401237137,Auburn,interceptionTDs,1
401237137,Auburn,passesIntercepted,1
401237137,Auburn,possessionTime,28:31
401237137,Auburn,interceptions,1
401237137,Auburn,fumblesLost,0
401237137,Auburn,turnovers,1
401237137,Auburn,totalPenaltiesYards,6-60
401237137,Auburn,yardsPerRushAttempt,4.3
401237137,Auburn,rushingAttempts,38
401237137,Auburn,rushingYards,165
401237137,Auburn,yardsPerPass,8.5
401237137,Auburn,completionAttempts,17-26
401237137,Auburn,netPassingYards,220
401237137,Auburn,totalYards,385
401237137,Auburn,fourthDownEff,0-0
401237137,Auburn,thirdDownEff,9-15
401237137,Auburn,firstDowns,23
401237141,Missouri,tacklesForLoss,9
401237141,Missouri,defensiveTDs,0
401237141,Missouri,tackles,42
401237141,Missouri,sacks,3
401237141,Missouri,qbHurries,2
401237141,Missouri,passesDeflected,1
401237141,Missouri,fumblesRecovered,0
401237141,Missouri,rushingTDs,1
401237141,Missouri,puntReturnYards,17
401237141,Missouri,puntReturnTDs,0
401237141,Missouri,puntReturns,2
401237141,Missouri,passingTDs,1
401237141,Missouri,kickingPoints,5
401237141,Missouri,interceptionYards,8
401237141,Missouri,interceptionTDs,0
401237141,Missouri,passesIntercepted,1
401237141,Missouri,possessionTime,28:34
401237141,Missouri,interceptions,1
401237141,Missouri,fumblesLost,0
401237141,Missouri,turnovers,1
401237141,Missouri,totalPenaltiesYards,7-77
401237141,Missouri,yardsPerRushAttempt,2.9
401237141,Missouri,rushingAttempts,34
401237141,Missouri,rushingYards,98
401237141,Missouri,yardsPerPass,6.2
401237141,Missouri,completionAttempts,21-33
401237141,Missouri,netPassingYards,203
401237141,Missouri,totalYards,301
401237141,Missouri,fourthDownEff,0-0
401237141,Missouri,thirdDownEff,8-16
401237141,Missouri,firstDowns,19
401237135,Alabama,fumblesRecovered,0
401237135,Alabama,tacklesForLoss,4
401237135,Alabama,defensiveTDs,1
401237135,Alabama,tackles,32
401237135,Alabama,sacks,2
401237135,Alabama,qbHurries,6
401237135,Alabama,passesDeflected,3
401237135,Alabama,rushingTDs,5
401237135,Alabama,puntReturnYards,69
401237135,Alabama,puntReturnTDs,0
401237135,Alabama,puntReturns,4
401237135,Alabama,passingTDs,3
401237135,Alabama,kickReturnYards,25
401237135,Alabama,kickReturnTDs,0
401237135,Alabama,kickReturns,1
401237135,Alabama,kickingPoints,9
401237135,Alabama,interceptionYards,45
401237135,Alabama,interceptionTDs,1
401237135,Alabama,passesIntercepted,1
401237135,Alabama,possessionTime,31:05
401237135,Alabama,interceptions,1
401237135,Alabama,fumblesLost,0
401237135,Alabama,turnovers,1
401237135,Alabama,totalPenaltiesYards,4-30
401237135,Alabama,yardsPerRushAttempt,5.7
401237135,Alabama,rushingAttempts,40
401237135,Alabama,rushingYards,226
401237135,Alabama,yardsPerPass,10.9
401237135,Alabama,completionAttempts,18-26
401237135,Alabama,netPassingYards,283
401237135,Alabama,totalYards,509
401237135,Alabama,fourthDownEff,1-1
401237135,Alabama,thirdDownEff,6-9
401237135,Alabama,firstDowns,29
401237136,LSU,tacklesForLoss,3
401237136,LSU,defensiveTDs,0
401237136,LSU,tackles,33
401237136,LSU,sacks,2
401237136,LSU,qbHurries,1
401237136,LSU,passesDeflected,3
401237136,LSU,fumblesRecovered,0
401237136,LSU,rushingTDs,1
401237136,LSU,puntReturnYards,8
401237136,LSU,puntReturnTDs,0
401237136,LSU,puntReturns,4
401237136,LSU,passingTDs,2
401237136,LSU,kickingPoints,9
401237136,LSU,interceptionYards,36
