_id,_teams,discriminator
323010151,"[{'school': 'East Carolina', 'conference': 'Conference USA', 'homeAway': 'home', 'points': 28, 'stats': [{'category': 'fumblesRecovered', 'stat': '0'}, {'category': 'rushingTDs', 'stat': '3'}, {'category': 'passingTDs', 'stat': '1'}, {'category': 'kickReturnYards', 'stat': '134'}, {'category': 'kickReturnTDs', 'stat': '0'}, {'category': 'kickReturns', 'stat': '6'}, {'category': 'kickingPoints', 'stat': '4'}, {'category': 'interceptionYards', 'stat': '4'}, {'category': 'interceptionTDs', 'stat': '0'}, {'category': 'passesIntercepted', 'stat': '1'}, {'category': 'firstDowns', 'stat': '21'}, {'category': 'thirdDownEff', 'stat': '3-10'}, {'category': 'fourthDownEff', 'stat': '2-2'}, {'category': 'totalYards', 'stat': '338'}, {'category': 'netPassingYards', 'stat': '194'}, {'category': 'completionAttempts', 'stat': '19-29'}, {'category': 'yardsPerPass', 'stat': '6.7'}, {'category': 'rushingYards', 'stat': '144'}, {'category': 'rushingAttempts', 'stat': '33'}, {'category': 'yardsPerRushAttempt', 'stat': '4.4'}, {'category': 'totalPenaltiesYards', 'stat': '6-65'}, {'category': 'turnovers', 'stat': '2'}, {'category': 'fumblesLost', 'stat': '1'}, {'category': 'interceptions', 'stat': '1'}, {'category': 'possessionTime', 'stat': '24:43'}]}, {'school': 'Navy', 'conference': 'FBS Independents', 'homeAway': 'away', 'points': 56, 'stats': [{'category': 'fumblesRecovered', 'stat': '1'}, {'category': 'rushingTDs', 'stat': '6'}, {'category': 'puntReturnYards', 'stat': '21'}, {'category': 'puntReturnTDs', 'stat': '0'}, {'category': 'puntReturns', 'stat': '3'}, {'category': 'passingTDs', 'stat': '2'}, {'category': 'kickReturnYards', 'stat': '75'}, {'category': 'kickReturnTDs', 'stat': '0'}, {'category': 'kickReturns', 'stat': '3'}, {'category': 'kickingPoints', 'stat': '8'}, {'category': 'interceptionYards', 'stat': '0'}, {'category': 'interceptionTDs', 'stat': '0'}, {'category': 'passesIntercepted', 'stat': '1'}, {'category': 'firstDowns', 'stat': '32'}, {'category': 'thirdDownEff', 'stat': '6-8'}, {'category': 'fourthDownEff', 'stat': '2-2'}, {'category': 'totalYards', 'stat': '563'}, {'category': 'netPassingYards', 'stat': '51'}, {'category': 'completionAttempts', 'stat': '3-5'}, {'category': 'yardsPerPass', 'stat': '10.2'}, {'category': 'rushingYards', 'stat': '512'}, {'category': 'rushingAttempts', 'stat': '69'}, {'category': 'yardsPerRushAttempt', 'stat': '7.4'}, {'category': 'totalPenaltiesYards', 'stat': '2-25'}, {'category': 'turnovers', 'stat': '1'}, {'category': 'fumblesLost', 'stat': '0'}, {'category': 'interceptions', 'stat': '1'}, {'category': 'possessionTime', 'stat': '35:27'}]}]",
323010058,"[{'school': 'South Florida', 'conference': 'Big East', 'homeAway': 'home', 'points': 36, 'stats': [{'category': 'fumblesRecovered', 'stat': '0'}, {'category': 'rushingTDs', 'stat': '2'}, {'category': 'puntReturnYards', 'stat': '7'}, {'category': 'puntReturnTDs', 'stat': '0'}, {'category': 'puntReturns', 'stat': '1'}, {'category': 'passingTDs', 'stat': '1'}, {'category': 'kickReturnYards', 'stat': '17'}, {'category': 'kickReturnTDs', 'stat': '0'}, {'category': 'kickReturns', 'stat': '4'}, {'category': 'kickingPoints', 'stat': '18'}, {'category': 'firstDowns', 'stat': '27'}, {'category': 'thirdDownEff', 'stat': '8-15'}, {'category': 'fourthDownEff', 'stat': '0-0'}, {'category': 'totalYards', 'stat': '552'}, {'category': 'netPassingYards', 'stat': '183'}, {'category': 'completionAttempts', 'stat': '17-30'}, {'category': 'yardsPerPass', 'stat': '6.1'}, {'category': 'rushingYards', 'stat': '369'}, {'category': 'rushingAttempts', 'stat': '45'}, {'category': 'yardsPerRushAttempt', 'stat': '8.2'}, {'category': 'totalPenaltiesYards', 'stat': '9-82'}, {'category': 'turnovers', 'stat': '2'}, {'category': 'fumblesLost', 'stat': '2'}, {'category': 'interceptions', 'stat': '0'}, {'category': 'possessionTime', 'stat': '31:41'}]}, {'school': 'Syracuse', 'conference': 'Big East', 'homeAway': 'away', 'points': 37, 'stats': [{'category': 'fumblesRecovered', 'stat': '2'}, {'category': 'rushingTDs', 'stat': '1'}, {'category': 'puntReturnYards', 'stat': '9'}, {'category': 'puntReturnTDs', 'stat': '0'}, {'category': 'puntReturns', 'stat': '2'}, {'category': 'passingTDs', 'stat': '4'}, {'category': 'kickReturnYards', 'stat': '37'}, {'category': 'kickReturnTDs', 'stat': '0'}, {'category': 'kickReturns', 'stat': '2'}, {'category': 'kickingPoints', 'stat': '7'}, {'category': 'firstDowns', 'stat': '33'}, {'category': 'thirdDownEff', 'stat': '6-13'}, {'category': 'fourthDownEff', 'stat': '1-1'}, {'category': 'totalYards', 'stat': '520'}, {'category': 'netPassingYards', 'stat': '328'}, {'category': 'completionAttempts', 'stat': '27-40'}, {'category': 'yardsPerPass', 'stat': '8.2'}, {'category': 'rushingYards', 'stat': '192'}, {'category': 'rushingAttempts', 'stat': '46'}, {'category': 'yardsPerRushAttempt', 'stat': '4.2'}, {'category': 'totalPenaltiesYards', 'stat': '10-89'}, {'category': 'turnovers', 'stat': '0'}, {'category': 'fumblesLost', 'stat': '0'}, {'category': 'interceptions', 'stat': '0'}, {'category': 'possessionTime', 'stat': '28:16'}]}]",
323010221,"[{'school': 'Temple', 'conference': 'Big East', 'homeAway': 'away', 'points': 17, 'stats': [{'category': 'fumblesRecovered', 'stat': '0'}, {'category': 'rushingTDs', 'stat': '1'}, {'category': 'puntReturnYards', 'stat': '0'}, {'category': 'puntReturnTDs', 'stat': '0'}, {'category': 'puntReturns', 'stat': '3'}, {'category': 'passingTDs', 'stat': '1'}, {'category': 'kickReturnYards', 'stat': '149'}, {'category': 'kickReturnTDs', 'stat': '0'}, {'category': 'kickReturns', 'stat': '5'}, {'category': 'kickingPoints', 'stat': '5'}, {'category': 'firstDowns', 'stat': '22'}, {'category': 'thirdDownEff', 'stat': '9-16'}, {'category': 'fourthDownEff', 'stat': '0-1'}, {'category': 'totalYards', 'stat': '324'}, {'category': 'netPassingYards', 'stat': '195'}, {'category': 'completionAttempts', 'stat': '18-28'}, {'category': 'yardsPerPass', 'stat': '7.0'}, {'category': 'rushingYards', 'stat': '129'}, {'category': 'rushingAttempts', 'stat': '40'}, {'category': 'yardsPerRushAttempt', 'stat': '3.2'}, {'category': 'totalPenaltiesYards', 'stat': '3-27'}, {'category': 'turnovers', 'stat': '2'}, {'category': 'fumblesLost', 'stat': '2'}, {'category': 'interceptions', 'stat': '0'}, {'category': 'possessionTime', 'stat': '33:24'}]}, {'school': 'Pittsburgh', 'conference': 'Big East', 'homeAway': 'home', 'points': 47, 'stats': [{'category': 'fumblesRecovered', 'stat': '2'}, {'category': 'rushingTDs', 'stat': '3'}, {'category': 'puntReturnYards', 'stat': '10'}, {'category': 'puntReturnTDs', 'stat': '0'}, {'category': 'puntReturns', 'stat': '1'}, {'category': 'passingTDs', 'stat': '3'}, {'category': 'kickReturnYards', 'stat': '70'}, {'category': 'kickReturnTDs', 'stat': '0'}, {'category': 'kickReturns', 'stat': '4'}, {'category': 'kickingPoints', 'stat': '11'}, {'category': 'firstDowns', 'stat': '24'}, {'category': 'thirdDownEff', 'stat': '5-10'}, {'category': 'fourthDownEff', 'stat': '0-0'}, {'category': 'totalYards', 'stat': '528'}, {'category': 'netPassingYards', 'stat': '321'}, {'category': 'completionAttempts', 'stat': '20-28'}, {'category': 'yardsPerPass', 'stat': '11.5'}, {'category': 'rushingYards', 'stat': '207'}, {'category': 'rushingAttempts', 'stat': '36'}, {'category': 'yardsPerRushAttempt', 'stat': '5.8'}, {'category': 'totalPenaltiesYards', 'stat': '11-105'}, {'category': 'turnovers', 'stat': '0'}, {'category': 'fumblesLost', 'stat': '0'}, {'category': 'interceptions', 'stat': '0'}, {'category': 'possessionTime', 'stat': '28:32'}]}]",
323010164,"[{'school': 'Kent State', 'conference': 'Mid-American', 'homeAway': 'away', 'points': 35, 'stats': [{'category': 'fumblesRecovered', 'stat': '1'}, {'category': 'rushingTDs', 'stat': '2'}, {'category': 'passingTDs', 'stat': '2'}, {'category': 'kickReturnYards', 'stat': '24'}, {'category': 'kickReturnTDs', 'stat': '0'}, {'category': 'kickReturns', 'stat': '4'}, {'category': 'kickingPoints', 'stat': '5'}, {'category': 'interceptionYards', 'stat': '79'}, {'category': 'interceptionTDs', 'stat': '1'}, {'category': 'passesIntercepted', 'stat': '6'}, {'category': 'firstDowns', 'stat': '21'}, {'category': 'thirdDownEff', 'stat': '5-13'}, {'category': 'fourthDownEff', 'stat': '0-0'}, {'category': 'totalYards', 'stat': '355'}, {'category': 'netPassingYards', 'stat': '131'}, {'category': 'completionAttempts', 'stat': '15-22'}, {'category': 'yardsPerPass', 'stat': '6.0'}, {'category': 'rushingYards', 'stat': '224'}, {'category': 'rushingAttempts', 'stat': '50'}, {'category': 'yardsPerRushAttempt', 'stat': '4.5'}, {'category': 'totalPenaltiesYards', 'stat': '5-40'}, {'category': 'turnovers', 'stat': '2'}, {'category': 'fumblesLost', 'stat': '2'}, {'category': 'interceptions', 'stat': '0'}, {'category': 'possessionTime', 'stat': '36:47'}]}, {'school': 'Rutgers', 'conference': 'Big East', 'homeAway': 'home', 'points': 23, 'stats': [{'category': 'fumblesRecovered', 'stat': '2'}, {'category': 'rushingTDs', 'stat': '1'}, {'category': 'puntReturnYards', 'stat': '3'}, {'category': 'puntReturnTDs', 'stat': '0'}, {'category': 'puntReturns', 'stat': '2'}, {'category': 'passingTDs', 'stat': '2'}, {'category': 'kickReturnYards', 'stat': '64'}, {'category': 'kickReturnTDs', 'stat': '0'}, {'category': 'kickReturns', 'stat': '3'}, {'category': 'kickingPoints', 'stat': '5'}, {'category': 'firstDowns', 'stat': '21'}, {'category': 'thirdDownEff', 'stat': '6-14'}, {'category': 'fourthDownEff', 'stat': '0-0'}, {'category': 'totalYards', 'stat': '409'}, {'category': 'netPassingYards', 'stat': '313'}, {'category': 'completionAttempts', 'stat': '25-46'}, {'category': 'yardsPerPass', 'stat': '6.8'}, {'category': 'rushingYards', 'stat': '96'}, {'category': 'rushingAttempts', 'stat': '20'}, {'category': 'yardsPerRushAttempt', 'stat': '4.8'}, {'category': 'totalPenaltiesYards', 'stat': '5-50'}, {'category': 'turnovers', 'stat': '7'}, {'category': 'fumblesLost', 'stat': '1'}, {'category': 'interceptions', 'stat': '6'}, {'category': 'possessionTime', 'stat': '22:36'}]}]",
323010036,"[{'school': ""Hawai'i"", 'conference': 'Mountain West', 'homeAway': 'away', 'points': 27, 'stats': [{'category': 'fumblesRecovered', 'stat': '3'}, {'category': 'rushingTDs', 'stat': '1'}, {'category': 'puntReturnYards', 'stat': '14'}, {'category': 'puntReturnTDs', 'stat': '0'}, {'category': 'puntReturns', 'stat': '2'}, {'category': 'passingTDs', 'stat': '1'}, {'category': 'kickReturnYards', 'stat': '124'}, {'category': 'kickReturnTDs', 'stat': '0'}, {'category': 'kickReturns', 'stat': '5'}, {'category': 'kickingPoints', 'stat': '9'}, {'category': 'interceptionYards', 'stat': '12'}, {'category': 'interceptionTDs', 'stat': '0'}, {'category': 'passesIntercepted', 'stat': '2'}, {'category': 'firstDowns', 'stat': '26'}, {'category': 'thirdDownEff', 'stat': '9-22'}, {'category': 'fourthDownEff', 'stat': '1-3'}, {'category': 'totalYards', 'stat': '404'}, {'category': 'netPassingYards', 'stat': '211'}, {'category': 'completionAttempts', 'stat': '20-47'}, {'category': 'yardsPerPass', 'stat': '4.5'}, {'category': 'rushingYards', 'stat': '193'}, {'category': 'rushingAttempts', 'stat': '47'}, {'category': 'yardsPerRushAttempt', 'stat': '4.1'}, {'category': 'totalPenaltiesYards', 'stat': '5-31'}, {'category': 'turnovers', 'stat': '5'}, {'category': 'fumblesLost', 'stat': '2'}, {'category': 'interceptions', 'stat': '3'}, {'category': 'possessionTime', 'stat': '35:37'}]}, {'school': 'Colorado State', 'conference': 'Mountain West', 'homeAway': 'home', 'points': 42, 'stats': [{'category': 'fumblesRecovered', 'stat': '2'}, {'category': 'rushingTDs', 'stat': '3'}, {'category': 'puntReturnYards', 'stat': '80'}, {'category': 'puntReturnTDs', 'stat': '0'}, {'category': 'puntReturns', 'stat': '2'}, {'category': 'passingTDs', 'stat': '1'}, {'category': 'kickReturnYards', 'stat': '95'}, {'category': 'kickReturnTDs', 'stat': '0'}, {'category': 'kickReturns', 'stat': '4'}, {'category': 'kickingPoints', 'stat': '6'}, {'category': 'interceptionYards', 'stat': '116'}, {'category': 'interceptionTDs', 'stat': '2'}, {'category': 'passesIntercepted', 'stat': '3'}, {'category': 'firstDowns', 'stat': '16'}, {'category': 'thirdDownEff', 'stat': '1-6'}, {'category': 'fourthDownEff', 'stat': '0-0'}, {'category': 'totalYards', 'stat': '291'}, {'category': 'netPassingYards', 'stat': '115'}, {'category': 'completionAttempts', 'stat': '10-17'}, {'category': 'yardsPerPass', 'stat': '6.8'}, {'category': 'rushingYards', 'stat': '176'}, {'category': 'rushingAttempts', 'stat': '35'}, {'category': 'yardsPerRushAttempt', 'stat': '5.0'}, {'category': 'totalPenaltiesYards', 'stat': '7-70'}, {'category': 'turnovers', 'stat': '5'}, {'category': 'fumblesLost', 'stat': '3'}, {'category': 'interceptions', 'stat': '2'}, {'category': 'possessionTime', 'stat': '23:22'}]}]",
323012751,"[{'school': 'Boise State', 'conference': 'Mountain West', 'homeAway': 'away', 'points': 45, 'stats': [{'category': 'fumblesRecovered', 'stat': '1'}, {'category': 'rushingTDs', 'stat': '5'}, {'category': 'puntReturnYards', 'stat': '46'}, {'category': 'puntReturnTDs', 'stat': '0'}, {'category': 'puntReturns', 'stat': '2'}, {'category': 'passingTDs', 'stat': '0'}, {'category': 'kickReturnYards', 'stat': '36'}, {'category': 'kickReturnTDs', 'stat': '0'}, {'category': 'kickReturns', 'stat': '1'}, {'category': 'kickingPoints', 'stat': '9'}, {'category': 'firstDowns', 'stat': '26'}, {'category': 'thirdDownEff', 'stat': '12-14'}, {'category': 'fourthDownEff', 'stat': '0-0'}, {'category': 'totalYards', 'stat': '437'}, {'category': 'netPassingYards', 'stat': '223'}, {'category': 'completionAttempts', 'stat': '23-32'}, {'category': 'yardsPerPass', 'stat': '7.0'}, {'category': 'rushingYards', 'stat': '214'}, {'category': 'rushingAttempts', 'stat': '36'}, {'category': 'yardsPerRushAttempt', 'stat': '5.9'}, {'category': 'totalPenaltiesYards', 'stat': '4-34'}, {'category': 'turnovers', 'stat': '1'}, {'category': 'fumblesLost', 'stat': '0'}, {'category': 'interceptions', 'stat': '1'}, {'category': 'possessionTime', 'stat': '29:20'}]}, {'school': 'Wyoming', 'conference': 'Mountain West', 'homeAway': 'home', 'points': 14, 'stats': [{'category': 'fumblesRecovered', 'stat': '0'}, {'category': 'rushingTDs', 'stat': '2'}, {'category': 'passingTDs', 'stat': '0'}, {'category': 'kickReturnYards', 'stat': '88'}, {'category': 'kickReturnTDs', 'stat': '0'}, {'category': 'kickReturns', 'stat': '6'}, {'category': 'kickingPoints', 'stat': '2'}, {'category': 'interceptionYards', 'stat': '50'}, {'category': 'interceptionTDs', 'stat': '0'}, {'category': 'passesIntercepted', 'stat': '1'}, {'category': 'firstDowns', 'stat': '18'}, {'category': 'thirdDownEff', 'stat': '11-18'}, {'category': 'fourthDownEff', 'stat': '0-0'}, {'category': 'totalYards', 'stat': '270'}, {'category': 'netPassingYards', 'stat': '216'}, {'category': 'completionAttempts', 'stat': '24-36'}, {'category': 'yardsPerPass', 'stat': '6.0'}, {'category': 'rushingYards', 'stat': '54'}, {'category': 'rushingAttempts', 'stat': '32'}, {'category': 'yardsPerRushAttempt', 'stat': '1.7'}, {'category': 'totalPenaltiesYards', 'stat': '1-5'}, {'category': 'turnovers', 'stat': '1'}, {'category': 'fumblesLost', 'stat': '1'}, {'category': 'interceptions', 'stat': '0'}, {'category': 'possessionTime', 'stat': '30:40'}]}]",
323010021,"[{'school': 'UNLV', 'conference': 'Mountain West', 'homeAway': 'away', 'points': 13, 'stats': [{'category': 'fumblesRecovered', 'stat': '2'}, {'category': 'rushingTDs', 'stat': '1'}, {'category': 'passingTDs', 'stat': '1'}, {'category': 'kickReturnYards', 'stat': '58'}, {'category': 'kickReturnTDs', 'stat': '0'}, {'category': 'kickReturns', 'stat': '2'}, {'category': 'kickingPoints', 'stat': '1'}, {'category': 'interceptionYards', 'stat': '0'}, {'category': 'interceptionTDs', 'stat': '0'}, {'category': 'passesIntercepted', 'stat': '1'}, {'category': 'firstDowns', 'stat': '15'}, {'category': 'thirdDownEff', 'stat': '2-11'}, {'category': 'fourthDownEff', 'stat': '0-1'}, {'category': 'totalYards', 'stat': '300'}, {'category': 'netPassingYards', 'stat': '159'}, {'category': 'completionAttempts', 'stat': '17-29'}, {'category': 'yardsPerPass', 'stat': '5.5'}, {'category': 'rushingYards', 'stat': '141'}, {'category': 'rushingAttempts', 'stat': '30'}, {'category': 'yardsPerRushAttempt', 'stat': '4.7'}, {'category': 'totalPenaltiesYards', 'stat': '3-45'}, {'category': 'turnovers', 'stat': '0'}, {'category': 'fumblesLost', 'stat': '0'}, {'category': 'interceptions', 'stat': '0'}, {'category': 'possessionTime', 'stat': '25:26'}]}, {'school': 'San Diego State', 'conference': 'Mountain West', 'homeAway': 'home', 'points': 24, 'stats': [{'category': 'fumblesRecovered', 'stat': '0'}, {'category': 'rushingTDs', 'stat': '1'}, {'category': 'puntReturnYards', 'stat': '22'}, {'category': 'puntReturnTDs', 'stat': '0'}, {'category': 'puntReturns', 'stat': '3'}, {'category': 'passingTDs', 'stat': '2'}, {'category': 'kickReturnYards', 'stat': '34'}, {'category': 'kickReturnTDs', 'stat': '0'}, {'category': 'kickReturns', 'stat': '2'}, {'category': 'kickingPoints', 'stat': '6'}, {'category': 'firstDowns', 'stat': '24'}, {'category': 'thirdDownEff', 'stat': '12-18'}, {'category': 'fourthDownEff', 'stat': '2-2'}, {'category': 'totalYards', 'stat': '506'}, {'category': 'netPassingYards', 'stat': '231'}, {'category': 'completionAttempts', 'stat': '13-26'}, {'category': 'yardsPerPass', 'stat': '8.9'}, {'category': 'rushingYards', 'stat': '275'}, {'category': 'rushingAttempts', 'stat': '54'}, {'category': 'yardsPerRushAttempt', 'stat': '5.1'}, {'category': 'totalPenaltiesYards', 'stat': '7-67'}, {'category': 'turnovers', 'stat': '3'}, {'category': 'fumblesLost', 'stat': '2'}, {'category': 'interceptions', 'stat': '1'}, {'category': 'possessionTime', 'stat': '34:34'}]}]",
323010167,"[{'school': 'Fresno State', 'conference': 'Mountain West', 'homeAway': 'away', 'points': 49, 'stats': [{'category': 'fumblesRecovered', 'stat': '1'}, {'category': 'rushingTDs', 'stat': '3'}, {'category': 'puntReturnYards', 'stat': '5'}, {'category': 'puntReturnTDs', 'stat': '0'}, {'category': 'puntReturns', 'stat': '2'}, {'category': 'passingTDs', 'stat': '4'}, {'category': 'kickReturnYards', 'stat': '72'}, {'category': 'kickReturnTDs', 'stat': '0'}, {'category': 'kickReturns', 'stat': '4'}, {'category': 'kickingPoints', 'stat': '7'}, {'category': 'interceptionYards', 'stat': '5'}, {'category': 'interceptionTDs', 'stat': '0'}, {'category': 'passesIntercepted', 'stat': '1'}, {'category': 'firstDowns', 'stat': '25'}, {'category': 'thirdDownEff', 'stat': '5-13'}, {'category': 'fourthDownEff', 'stat': '1-2'}, {'category': 'totalYards', 'stat': '600'}, {'category': 'netPassingYards', 'stat': '416'}, {'category': 'completionAttempts', 'stat': '31-44'}, {'category': 'yardsPerPass', 'stat': '9.5'}, {'category': 'rushingYards', 'stat': '184'}, {'category': 'rushingAttempts', 'stat': '34'}, {'category': 'yardsPerRushAttempt', 'stat': '5.4'}, {'category': 'totalPenaltiesYards', 'stat': '9-53'}, {'category': 'turnovers', 'stat': '1'}, {'category': 'fumblesLost', 'stat': '0'}, {'category': 'interceptions', 'stat': '1'}, {'category': 'possessionTime', 'stat': '26:57'}]}, {'school': 'New Mexico', 'conference': 'Mountain West', 'homeAway': 'home', 'points': 32, 'stats': [{'category': 'fumblesRecovered', 'stat': '0'}, {'category': 'rushingTDs', 'stat': '2'}, {'category': 'puntReturnYards', 'stat': '1'}, {'category': 'puntReturnTDs', 'stat': '0'}, {'category': 'puntReturns', 'stat': '2'}, {'category': 'passingTDs', 'stat': '1'}, {'category': 'kickReturnYards', 'stat': '65'}, {'category': 'kickReturnTDs', 'stat': '0'}, {'category': 'kickReturns', 'stat': '2'}, {'category': 'kickingPoints', 'stat': '6'}, {'category': 'interceptionYards', 'stat': '40'}, {'category': 'interceptionTDs', 'stat': '1'}, {'category': 'passesIntercepted', 'stat': '1'}, {'category': 'firstDowns', 'stat': '17'}, {'category': 'thirdDownEff', 'stat': '5-15'}, {'category': 'fourthDownEff', 'stat': '1-1'}, {'category': 'totalYards', 'stat': '394'}, {'category': 'netPassingYards', 'stat': '45'}, {'category': 'completionAttempts', 'stat': '4-15'}, {'category': 'yardsPerPass', 'stat': '3.0'}, {'category': 'rushingYards', 'stat': '349'}, {'category': 'rushingAttempts', 'stat': '51'}, {'category': 'yardsPerRushAttempt', 'stat': '6.8'}, {'category': 'totalPenaltiesYards', 'stat': '3-15'}, {'category': 'turnovers', 'stat': '2'}, {'category': 'fumblesLost', 'stat': '1'}, {'category': 'interceptions', 'stat': '1'}, {'category': 'possessionTime', 'stat': '32:29'}]}]",
323002005,"[{'school': 'Nevada', 'conference': 'Mountain West', 'homeAway': 'away', 'points': 31, 'stats': [{'category': 'fumblesRecovered', 'stat': '2'}, {'category': 'rushingTDs', 'stat': '3'}, {'category': 'passingTDs', 'stat': '1'}, {'category': 'kickReturnYards', 'stat': '122'}, {'category': 'kickReturnTDs', 'stat': '0'}, {'category': 'kickReturns', 'stat': '6'}, {'category': 'kickingPoints', 'stat': '7'}, {'category': 'firstDowns', 'stat': '21'}, {'category': 'thirdDownEff', 'stat': '6-13'}, {'category': 'fourthDownEff', 'stat': '1-3'}, {'category': 'totalYards', 'stat': '380'}, {'category': 'netPassingYards', 'stat': '211'}, {'category': 'completionAttempts', 'stat': '15-27'}, {'category': 'yardsPerPass', 'stat': '7.8'}, {'category': 'rushingYards', 'stat': '169'}, {'category': 'rushingAttempts', 'stat': '40'}, {'category': 'yardsPerRushAttempt', 'stat': '4.2'}, {'category': 'totalPenaltiesYards', 'stat': '4-33'}, {'category': 'turnovers', 'stat': '1'}, {'category': 'fumblesLost', 'stat': '0'}, {'category': 'interceptions', 'stat': '1'}, {'category': 'possessionTime', 'stat': '24:52'}]}, {'school': 'Air Force', 'conference': 'Mountain West', 'homeAway': 'home', 'points': 48, 'stats': [{'category': 'fumblesRecovered', 'stat': '0'}, {'category': 'rushingTDs', 'stat': '4'}, {'category': 'puntReturnYards', 'stat': '11'}, {'category': 'puntReturnTDs', 'stat': '0'}, {'category': 'puntReturns', 'stat': '1'}, {'category': 'passingTDs', 'stat': '2'}, {'category': 'kickReturnYards', 'stat': '58'}, {'category': 'kickReturnTDs', 'stat': '0'}, {'category': 'kickReturns', 'stat': '3'}, {'category': 'kickingPoints', 'stat': '12'}, {'category': 'interceptionYards', 'stat': '13'}, {'category': 'interceptionTDs', 'stat': '0'}, {'category': 'passesIntercepted', 'stat': '1'}, {'category': 'firstDowns', 'stat': '36'}, {'category': 'thirdDownEff', 'stat': '9-14'}, {'category': 'fourthDownEff', 'stat': '2-3'}, {'category': 'totalYards', 'stat': '600'}, {'category': 'netPassingYards', 'stat': '139'}, {'category': 'completionAttempts', 'stat': '6-7'}, {'category': 'yardsPerPass', 'stat': '19.9'}, {'category': 'rushingYards', 'stat': '461'}, {'category': 'rushingAttempts', 'stat': '82'}, {'category': 'yardsPerRushAttempt', 'stat': '5.6'}, {'category': 'totalPenaltiesYards', 'stat': '3-35'}, {'category': 'turnovers', 'stat': '2'}, {'category': 'fumblesLost', 'stat': '2'}, {'category': 'interceptions', 'stat': '0'}, {'category': 'possessionTime', 'stat': '34:21'}]}]",
323010023,"[{'school': 'Texas State', 'conference': 'Western Athletic', 'homeAway': 'away', 'points': 20, 'stats': [{'category': 'fumblesRecovered', 'stat': '1'}, {'category': 'rushingTDs', 'stat': '2'}, {'category': 'puntReturnYards', 'stat': '54'}, {'category': 'puntReturnTDs', 'stat': '0'}, {'category': 'puntReturns', 'stat': '1'}, {'category': 'passingTDs', 'stat': '0'}, {'category': 'kickReturnYards', 'stat': '60'}, {'category': 'kickReturnTDs', 'stat': '0'}, {'category': 'kickReturns', 'stat': '2'}, {'category': 'kickingPoints', 'stat': '8'}, {'category': 'interceptionYards', 'stat': '7'}, {'category': 'interceptionTDs', 'stat': '0'}, {'category': 'passesIntercepted', 'stat': '2'}, {'category': 'firstDowns', 'stat': '10'}, {'category': 'thirdDownEff', 'stat': '4-13'}, {'category': 'fourthDownEff', 'stat': '1-1'}, {'category': 'totalYards', 'stat': '303'}, {'category': 'netPassingYards', 'stat': '130'}, {'category': 'completionAttempts', 'stat': '14-26'}, {'category': 'yardsPerPass', 'stat': '5.0'}, {'category': 'rushingYards', 'stat': '173'}, {'category': 'rushingAttempts', 'stat': '26'}, {'category': 'yardsPerRushAttempt', 'stat': '6.7'}, {'category': 'totalPenaltiesYards', 'stat': '7-65'}, {'category': 'turnovers', 'stat': '2'}, {'category': 'fumblesLost', 'stat': '0'}, {'category': 'interceptions', 'stat': '2'}, {'category': 'possessionTime', 'stat': '24:08'}]}, {'school': 'San José State', 'conference': 'Western Athletic', 'homeAway': 'home', 'points': 31, 'stats': [{'category': 'fumblesRecovered', 'stat': '0'}, {'category': 'rushingTDs', 'stat': '2'}, {'category': 'puntReturnYards', 'stat': '5'}, {'category': 'puntReturnTDs', 'stat': '0'}, {'category': 'puntReturns', 'stat': '2'}, {'category': 'passingTDs', 'stat': '2'}, {'category': 'kickReturnYards', 'stat': '66'}, {'category': 'kickReturnTDs', 'stat': '0'}, {'category': 'kickReturns', 'stat': '3'}, {'category': 'kickingPoints', 'stat': '7'}, {'category': 'interceptionYards', 'stat': '22'}, {'category': 'interceptionTDs', 'stat': '0'}, {'category': 'passesIntercepted', 'stat': '2'}, {'category': 'firstDowns', 'stat': '28'}, {'category': 'thirdDownEff', 'stat': '7-12'}, {'category': 'fourthDownEff', 'stat': '0-0'}, {'category': 'totalYards', 'stat': '571'}, {'category': 'netPassingYards', 'stat': '376'}, {'category': 'completionAttempts', 'stat': '26-38'}, {'category': 'yardsPerPass', 'stat': '9.9'}, {'category': 'rushingYards', 'stat': '195'}, {'category': 'rushingAttempts', 'stat': '38'}, {'category': 'yardsPerRushAttempt', 'stat': '5.1'}, {'category': 'totalPenaltiesYards', 'stat': '2-17'}, {'category': 'turnovers', 'stat': '3'}, {'category': 'fumblesLost', 'stat': '1'}, {'category': 'interceptions', 'stat': '2'}, {'category': 'possessionTime', 'stat': '35:52'}]}]",
