_id,_name,_capacity,_grass,_city,_state,_zip,_country_code,_location,_elevation,_year,_dome,_timezone,discriminator
3940,Stanford Stadium,50424,False,Stanford,CA,94305,US,"{'x': 37.4345556, 'y': -122.1611271}",18.38425636,,False,America/Los_Angeles,
5263,Steele Stadium,3000,,Owensboro,KY,,US,"{'x': 37.742297, 'y': -87.119976}",122.5809097,,False,,
3716,"Stewart """"Red"""" Faught Stadium",4000,,Franklin,IN,92620,US,"{'x': 33.704156, 'y': -117.75109}",222.7,,False,,
3942,Stewart Stadium,17000,False,Ogden,UT,84408,US,"{'x': 41.1918741, 'y': -111.9401391}",1451.553711,,False,America/Denver,
3944,Strawberry Stadium,7408,False,Hammond,LA,70401,US,"{'x': 30.5110264, 'y': -90.4685792}",13.7104578,,False,America/Chicago,
538,StubHub Center,0,False,Carson,CA,92620,US,"{'x': 33.8322043, 'y': -118.2517547}",,,,,
3768,Summa Field at InfoCision Stadium,30000,False,Akron,OH,44399,US,"{'x': 41.0725534, 'y': -81.5083408}",321.2875061,,False,America/New_York,
3946,Sun Bowl Stadium,51500,False,El Paso,TX,79968,US,"{'x': 31.7733353, 'y': -106.507957}",1183.697876,,False,America/Denver,
3947,Sun Devil Stadium,56232,False,Tempe,AZ,85287,US,"{'x': 33.4264471, 'y': -111.9325005}",360.1569519,,False,America/Phoenix,
5319,SunTrust Park,41084,True,Atlanta,GA,30339,US,"{'x': 33.890817, 'y': -84.467656}",289.7,,False,America/New_York,
3950,Superior Dome,8000,False,Marquette,MI,70118,US,"{'x': 46.560589, 'y': -87.393741}",186.4,,False,America/Detroit,
3953,TCF Bank Stadium,50805,False,Minneapolis,MN,55488,US,"{'x': 44.976525, 'y': -93.2245462}",254.3902283,,False,America/Chicago,
3952,Ted Wright Stadium,7500,False,Savannah,GA,31404,US,"{'x': 32.0274346, 'y': -81.0687492}",6.564679146,,False,America/New_York,
4750,The Reservation,10000,,Gaffney,SC,29342,US,"{'x': 35.0717945, 'y': -81.6498195}",212.4,,False,,
4779,Thomas Robinson Stadium,15023,True,Nassau,,,BS,"{'x': 25.055569, 'y': -77.358736}",3.182889223,,False,,
3958,Tiger Stadium,102321,True,Baton Rouge,LA,70803,US,"{'x': 30.412035, 'y': -91.1838163}",7.640734673,,False,America/Chicago,
716,Torero Stadium,6000,True,San Diego,CA,92111,US,"{'x': 32.7730674, 'y': -117.183721}",57.95064545,,False,America/Los_Angeles,
5096,Toyota Stadium,5000,,Georgetown,KY,40324,US,"{'x': 38.204444, 'y': -84.545556}",270.7148743,,False,,
1400,Toyota Stadium,20500,True,Frisco,TX,75033,US,"{'x': 33.154444, 'y': -96.835278}",181.3815918,,False,America/Chicago,
