id,season,week,season_type,start_date,neutral_site,conference_game,attendance,venue_id,Description,team_id,team_name,team_conference,team_points,team_won,team_line_score_q1,team_line_score_q2,team_line_score_q3,team_line_score_q4,team_spread,team_wins,team_loses,games_played,season_point_total,team_line_score_q1_total,team_line_score_q2_total,team_line_score_q3_total,team_line_score_q4_total,team_previous_wins,team_previous_loses,opp_team_id,opp_team_name,opp_team_conference,opp_team_points,opp_team_won,opp_team_line_score_q1,opp_team_line_score_q2,opp_team_line_score_q3,opp_team_line_score_q4,opp_team_spread,opp_team_wins,opp_team_loses,opp_games_played,opp_season_point_total,opp_team_line_score_q1_total,opp_team_line_score_q2_total,opp_team_line_score_q3_total,opp_team_line_score_q4_total,opp_team_previous_wins,opp_team_previous_loses,team_points_allowed,team_opp_wins,team_opp_loses,opp_team_points_allowed,opp_team_opp_wins,opp_team_opp_loses
400933829,2017,1,regular,,False,False,87451,3785,home_records,2,Auburn,SEC,41,True,10,14,10,7,34,0,0,0,0,0,0,0,0,8,3,290,Georgia Southern,Sun Belt,7,False,0,0,0,0,-34,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0
400933843,2017,2,regular,,False,False,81799,3836,away_records,2,Auburn,SEC,6,False,3,3,0,0,-8,1,0,1,41,10,14,10,7,8,3,228,Clemson,ACC,14,True,0,7,7,0,8,1,0,1,56,21,7,21,7,11,1,7,0,0,3,0,0
400933855,2017,3,regular,,False,False,87033,3785,home_records,2,Auburn,SEC,24,True,7,3,7,7,14,1,1,2,47,13,17,10,7,8,3,2382,Mercer,,10,False,3,3,0,7,-14,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0
400933868,2017,4,regular,,False,True,54574,3838,away_records,2,Auburn,SEC,51,True,17,17,17,3,37,2,1,3,71,20,20,17,14,8,3,142,Missouri,SEC,14,False,0,7,0,7,-37,1,2,3,88,23,38,13,14,3,8,31,1,0,109,2,1
400933874,2017,5,regular,,False,True,86901,3785,home_records,2,Auburn,SEC,49,True,14,7,7,21,39,3,1,4,122,37,37,34,17,8,3,344,Mississippi State,SEC,10,False,7,7,0,0,-39,3,1,4,146,46,52,41,14,4,7,45,2,2,59,6,0
400933880,2017,6,regular,,False,True,86700,3785,home_records,2,Auburn,SEC,44,True,14,21,6,3,21,4,1,5,171,51,44,41,38,8,3,145,Ole Miss,SEC,23,False,0,0,7,13,-21,2,2,4,111,23,19,48,14,5,6,55,5,3,143,6,0
400933889,2017,7,regular,,False,True,101601,3958,away_records,2,Auburn,SEC,23,False,6,6,0,0,-4,5,1,6,215,65,65,47,41,8,3,99,LSU,SEC,27,True,0,14,0,13,4,4,2,6,152,31,45,48,31,6,4,78,7,5,113,11,3
400933894,2017,8,regular,,False,True,71961,3887,away_records,2,Auburn,SEC,52,True,7,7,28,7,32,5,2,7,238,71,71,47,41,8,3,8,Arkansas,SEC,20,False,3,3,7,7,-32,2,4,6,172,42,49,31,54,7,4,105,11,7,198,14,5
400933911,2017,10,regular,,False,True,100257,3795,away_records,2,Auburn,SEC,42,True,21,21,14,7,15,6,2,8,290,78,78,75,48,8,3,245,Texas A&M,SEC,27,False,3,10,7,7,-15,5,3,8,239,55,45,54,82,8,3,125,13,11,219,18,7
400933913,2017,11,regular,,False,True,0,3785,home_records,2,Auburn,SEC,40,True,6,10,14,10,23,7,2,9,332,99,99,89,55,8,3,61,Georgia,SEC,17,False,0,0,3,7,-23,9,0,9,329,91,83,113,36,7,4,152,18,14,105,20,12
400933923,2017,12,regular,,False,False,82133,3785,home_records,2,Auburn,SEC,42,True,7,7,14,14,28,8,2,10,372,105,109,103,65,8,3,2433,Louisiana Monroe,Sun Belt,14,False,0,0,0,7,-28,4,5,9,333,75,86,74,84,4,7,169,27,14,341,15,23
