_season,_player_id,_player,_team,_conference,_category,_stat_type,_stat,discriminator
,481884,Joe Brown,Colorado State,Mountain West,receiving,REC,25.0,
,242338,Devon Wylie,Fresno State,Western Athletic,receiving,LONG,71.0,
,382201,B.J. Daniels,South Florida,Big East,rushing,YDS,601.0,
,184715,Jordan White,Western Michigan,Mid-American,rushing,LONG,27.0,
,512739,Devin Crawford-Tufts,Minnesota,Big Ten,rushing,CAR,2.0,
,512346,Tyler Cain,Louisiana Monroe,Sun Belt,puntReturns,NO,13.0,
,377964,Travis Kelce,Cincinnati,Big East,kickReturns,AVG,13.0,
,482069,Richie Hogan,Central Michigan,Mid-American,rushing,TD,0.0,
,236583,Broderick Green,Arkansas,SEC,rushing,YDS,260.0,
,384931,Luther Ambrose,Louisiana Monroe,Sun Belt,receiving,LONG,38.0,
,487798,Jordan Hall,Ohio State,Big Ten,receiving,REC,12.0,
,501816,James Franklin,Missouri,Big 12,passing,INT,11.0,
,236794,Tony Logan,Maryland,ACC,receiving,YPR,7.6,
,504591,Devin Favors,Ohio,Mid-American,rushing,LONG,7.0,
,500987,Dwayne Frampton,Arkansas State,Sun Belt,receiving,TD,5.0,
,377979,D.J. Woods,Cincinnati,Big East,receiving,YPR,12.0,
,511362,Darius Jennings,Virginia,ACC,receiving,YPR,11.9,
,517133,David Porter,TCU,Mountain West,receiving,REC,7.0,
,385324,Dayne Crist,Notre Dame,FBS Independents,passing,YPA,6.8,
,237656,Chris Masson,Louisiana,Sun Belt,rushing,LONG,7.0,
,502546,Luke Eakes,Northern Illinois,Mid-American,receiving,TD,1.0,
,184715,Jordan White,Western Michigan,Mid-American,puntReturns,YDS,206.0,
,237540,Robert Arnheim,Western Michigan,Mid-American,kickReturns,LONG,8.0,
,378231,Tauren Poole,Tennessee,SEC,rushing,LONG,28.0,
,237072,Nick Provo,Syracuse,Big East,rushing,YPC,1.0,
,381774,Sam McGuffie,Rice,Conference USA,rushing,YDS,158.0,
,483031,Jemea Thomas,Georgia Tech,ACC,rushing,TD,0.0,
,505407,Justin Hardy,East Carolina,Conference USA,receiving,REC,64.0,
,382178,Timothy Wright,Rutgers,Big East,receiving,LONG,25.0,
,480578,Anthony Martinez,Nevada,Western Athletic,kicking,PTS,17.0,
,504026,Cade Foster,Alabama,SEC,kicking,FGM,2.0,
,191526,Matt Marshall,BYU,FBS Independents,rushing,CAR,1.0,
,500363,Preston Brown,Louisville,Big East,rushing,LONG,37.0,
,482467,Andre Gautreaux,Rice,Conference USA,receiving,TD,1.0,
,482627,Leon Brooks,Washington State,Pac-12,rushing,LONG,16.0,
,500987,Dwayne Frampton,Arkansas State,Sun Belt,passing,TD,1.0,
,238581,Teddy Schell,Indiana,Big Ten,passing,ATT,1.0,
,501303,Chase Williams,Virginia Tech,ACC,kickReturns,NO,2.0,
,381682,Tavon Wilson,Illinois,Big Ten,interceptions,INT,1.0,
,505233,Brelan Chancellor,North Texas,Sun Belt,passing,COMPLETIONS,0.0,
,381394,Ryan Lacy,Utah,Pac-12,kickReturns,TD,0.0,
,517985,Chandler Worthy,Troy,Sun Belt,receiving,YPR,18.4,
,380149,Antoine Hicks,TCU,Mountain West,receiving,LONG,39.0,
,241123,Grant Johnson,Oregon State,Pac-12,rushing,TD,0.0,
,502746,Ed Fink,Kansas,Big 12,kickReturns,NO,1.0,
,382929,Marcus Vasquez,Western Kentucky,Sun Belt,receiving,LONG,26.0,
,503905,Will Hagerup,Michigan,Big Ten,punting,YDS,1043.0,
,381509,Braden Hanson,North Carolina,ACC,passing,YPA,11.6,
,378373,Torieal Gibson,Ball State,Mid-American,receiving,LONG,94.0,
,515796,Bradley Marquez,Texas Tech,Big 12,rushing,YDS,8.0,
,516462,Cary White,Florida Atlantic,Sun Belt,rushing,YPC,6.3,
,488958,Garrett Venuto,Penn State,Big Ten,passing,YDS,17.0,
,382866,Richard Kent,Vanderbilt,SEC,punting,YDS,2719.0,
,480232,Terry Hawthorne,Illinois,Big Ten,interceptions,INT,3.0,
,236808,Ronnie Tyler,Maryland,ACC,receiving,YPR,8.8,
,382772,Kenny Miles,South Carolina,SEC,kickReturns,AVG,14.0,
,500868,Steven Clarke,Vanderbilt,SEC,puntReturns,TD,0.0,
,507414,Jens Alvernik,San José State,Western Athletic,kicking,PTS,80.0,
,500803,Reggie Pegram,Purdue,Big Ten,receiving,YPR,7.4,
,237656,Chris Masson,Louisiana,Sun Belt,punting,TB,0.0,
,505188,Darryl Surgent,Louisiana,Sun Belt,puntReturns,YDS,323.0,
,504819,Alex Gauper,Washington State,Pac-12,kicking,PTS,5.0,
,380455,Johnson Bademosi,Stanford,Pac-12,puntReturns,TD,0.0,
,503362,Tom Hornsey,Memphis,Conference USA,rushing,TD,0.0,
,488952,Andre Dupree,Penn State,Big Ten,rushing,YPC,5.0,
,188440,Tyler Lantrip,Nevada,Western Athletic,passing,ATT,179.0,
,484063,Trey Watts,Tulsa,Conference USA,receiving,YPR,7.8,
,382027,Caleb TerBush,Purdue,Big Ten,passing,TD,13.0,
,501537,Ken Malcome,Georgia,SEC,rushing,TD,0.0,
,515453,Jon Davis,Illinois,Big Ten,receiving,YPR,8.5,
,504340,Ben Brown,Central Michigan,Mid-American,rushing,CAR,16.0,
,512772,Le'Vander Liggins,Louisiana Tech,Western Athletic,kickReturns,AVG,22.7,
,480246,Keenan Davis,Iowa,Big Ten,kickReturns,NO,4.0,
,381982,DeVier Posey,Ohio State,Big Ten,receiving,YDS,162.0,
,237175,Chris Relf,Mississippi State,SEC,rushing,TD,2.0,
,482421,Kelvin King,Houston,Conference USA,interceptions,YDS,69.0,
,503330,Kevin Haplea,Penn State,Big Ten,receiving,YPR,7.0,
,501038,Ben Malena,Texas A&M,Big 12,kickReturns,YDS,63.0,
,379206,Chris Polk,Washington,Pac-12,rushing,CAR,293.0,
,476232,Ryan Schlothauer,Maryland,ACC,kickReturns,AVG,10.7,
,237342,Justin Siller,Purdue,Big Ten,receiving,LONG,50.0,
,501520,Justin Hunter,Tennessee,SEC,receiving,TD,2.0,
,235222,Chris Rainey,Florida,SEC,rushing,YPC,5.0,
,499808,Sean Parker,Washington,Pac-12,interceptions,YDS,25.0,
,240842,Chris Givens,Miami (OH),Mid-American,kickReturns,NO,1.0,
,482761,Conner Vernon,Duke,ACC,puntReturns,LONG,31.0,
,504611,Joe Stefanski,Ohio,Mid-American,interceptions,AVG,6.0,
,481640,Brendan Cross,Wake Forest,ACC,rushing,YPC,5.5,
,511635,Eli Rogers,Louisville,Big East,puntReturns,YDS,54.0,
,485829,Andrew Guillot,Louisiana Tech,Western Athletic,receiving,REC,12.0,
,481228,T.O. Owens,Toledo,Mid-American,passing,TD,14.0,
,515938,Kiero Small,Arkansas,SEC,receiving,LONG,7.0,
,501966,Ben McRoy,Texas Tech,Big 12,kickReturns,AVG,25.0,
,515946,Kiehl Frazier,Auburn,SEC,passing,YPA,2.8,
,236864,Derek Good,Colorado State,Mountain West,rushing,YDS,99.0,
,503623,Marcus Thomas,Navy,FBS Independents,rushing,TD,0.0,
,518678,Anthony Wright Jr.,Air Force,Mountain West,puntReturns,LONG,6.0,
,515453,Jon Davis,Illinois,Big Ten,receiving,LONG,18.0,
,483985,Austin Boucher,Miami (OH),Mid-American,rushing,LONG,9.0,
,481116,Bo Snelson,Navy,FBS Independents,rushing,YPC,5.4,
,504290,Ace Sanders,South Carolina,SEC,puntReturns,AVG,3.5,
,242285,Morgan Williams,Toledo,Mid-American,puntReturns,LONG,22.0,
,504751,Eric Dungy,Oregon,Pac-12,receiving,YDS,34.0,
,378383,Briggs Orsbon,Ball State,Mid-American,rushing,CAR,2.0,
,514833,Derrick Harris,East Carolina,Conference USA,receiving,YPR,7.3,
,506135,George Callender,New Mexico State,Western Athletic,kickReturns,NO,1.0,
,489456,Phil Bates,Ohio,Mid-American,receiving,YPR,13.1,
,502871,Thomas Coffman,Colorado State,Mountain West,rushing,LONG,0.0,
,27200,Michael Johnson,UNLV,Mountain West,receiving,REC,31.0,
,380630,Donnie Carona,Texas Tech,Big 12,kicking,FGM,14.0,
,505663,Jake Medlock,Florida International,Sun Belt,rushing,TD,2.0,
,515933,Keante Minor,Arkansas,SEC,kickReturns,YDS,67.0,
,503303,Carlos Hyde,Ohio State,Big Ten,rushing,CAR,106.0,
,481747,David Paulsen,Oklahoma State,Big 12,receiving,LONG,11.0,
,238816,Brad Sonntag,Michigan State,Big Ten,receiving,LONG,15.0,
,505231,Christopher Bynes,North Texas,Sun Belt,kickReturns,YDS,2.0,
,481325,Jacob Maxwell,Louisiana,Sun Belt,receiving,YPR,12.0,
,499788,Jesse Callier,Washington,Pac-12,puntReturns,LONG,2.0,
,382012,Kevin Koger,Michigan,Big Ten,receiving,REC,21.0,
,377956,Dominique Battle,Cincinnati,Big East,interceptions,TD,1.0,
,488085,Quincy McDuffie,UCF,Conference USA,receiving,LONG,36.0,
,481267,Tavarese Maye,Louisiana Monroe,Sun Belt,receiving,LONG,56.0,
,381895,Hubie Graham,Pittsburgh,Big East,receiving,REC,28.0,
,386206,Delvin Diggs,Navy,FBS Independents,rushing,TD,2.0,
,483953,A.J. Graham,Marshall,Conference USA,rushing,YDS,237.0,
,518139,Dustin Garrison,West Virginia,Big East,rushing,TD,6.0,
,503681,Aaron Morris,Ball State,Mid-American,interceptions,INT,1.0,
,381513,Zach Brown,North Carolina,ACC,interceptions,INT,3.0,
,504245,Brandon Hill,Mississippi State,SEC,receiving,YDS,3.0,
,512522,Bobby McCain,Memphis,Conference USA,interceptions,YDS,79.0,
,480617,A.J. Blue,North Carolina,ACC,kickReturns,NO,2.0,
