_season,_player_id,_player,_team,_conference,_category,_stat_type,_stat,discriminator
,481745,Tracy Moore,Oklahoma State,Big 12,receiving,YDS,212.0,
,237607,Cody Endres,Connecticut,Big East,passing,TD,5.0,
,237673,DeMarcus Grady,Northern Illinois,Mid-American,passing,COMPLETIONS,14.0,
,481677,Tariq Edwards,Virginia Tech,ACC,interceptions,YDS,5.0,
,378860,Josh Flores,Utah State,Western Athletic,kickReturns,NO,1.0,
,500794,O.J. Ross,Purdue,Big Ten,rushing,YDS,26.0,
,235945,Austin Kelly,Duke,ACC,receiving,YPR,10.3,
,385782,Nathaniel Toulson,Middle Tennessee,Sun Belt,punting,LONG,54.0,
,183671,Ryan Taylor,North Carolina,ACC,receiving,LONG,40.0,
,503615,Matt Aiken,Navy,FBS Independents,puntReturns,YDS,0.0,
,233147,Preston Lyons,Georgia Tech,ACC,rushing,YDS,60.0,
,480873,Mike James,Miami,ACC,rushing,LONG,32.0,
,240653,Willie Dixon V,Wake Forest,ACC,kickReturns,AVG,-5.0,
,238198,Chris Conte,California,Pac-10,kickReturns,LONG,21.0,
,188487,Turner Wimberly,Vanderbilt,SEC,receiving,LONG,37.0,
,238829,Joe Young,Rutgers,Big East,puntReturns,YDS,11.0,
,237241,Wes Caldwell,Middle Tennessee,Sun Belt,receiving,TD,0.0,
,381745,Brad Herman,Iowa,Big Ten,receiving,TD,0.0,
,480588,Benny Cunningham,Middle Tennessee,Sun Belt,puntReturns,YDS,0.0,
,235222,Chris Rainey,Florida,SEC,kickReturns,TD,0.0,
,483025,Orwin Smith,Georgia Tech,ACC,kickReturns,AVG,16.7,
,188079,Isaac Anderson,Wisconsin,Big Ten,rushing,CAR,4.0,
,189588,Mike McNeill,Nebraska,Big 12,receiving,YDS,346.0,
,186403,Andrew Preston,San Diego State,Mountain West,interceptions,INT,3.0,
,381693,Donovan Varner,Duke,ACC,rushing,YDS,2.0,
,381182,Jared Karstetter,Washington State,Pac-10,receiving,REC,62.0,
,237446,Genesis Cole,Tulsa,Conference USA,rushing,YPC,8.8,
,482011,Patrick Nicely,Akron,Mid-American,receiving,TD,0.0,
,378120,Greg Nwoko,Arizona,Pac-10,rushing,LONG,32.0,
,505655,Jeremiah Harden,Florida International,Sun Belt,receiving,TD,1.0,
,504757,Josh Huff,Oregon,Pac-10,kickReturns,YDS,567.0,
,385222,James Morrison,Arizona State,Pac-10,receiving,REC,3.0,
,184190,Courtney Edmonson,Marshall,Conference USA,rushing,TD,0.0,
,236864,Derek Good,Colorado State,Mountain West,rushing,CAR,13.0,
,190723,Tyson Liggett,Colorado State,Mountain West,rushing,YPC,6.5,
,188180,Corbin Bryant,Northwestern,Big Ten,interceptions,INT,1.0,
,237789,Sam Kirkland,Kent State,Mid-American,kickReturns,YDS,193.0,
,483022,Rod Sweeting,Georgia Tech,ACC,interceptions,YDS,7.0,
,503529,Greg Franklin,UAB,Conference USA,rushing,CAR,11.0,
,381426,Ty Kirk,New Mexico,Mountain West,receiving,YDS,477.0,
