_season,_player_id,_player,_team,_conference,_category,_stat_type,_stat,discriminator
,3116460,Skyler Howard,West Virginia,Big 12,passing,ATT,110.0,
,552062,Da'Mari Scott,Fresno State,Mountain West,kickReturns,TD,0.0,
,3125383,Damoun Patterson,Utah State,Mountain West,receiving,YDS,9.0,
,536444,Leon Allen,Western Kentucky,Conference USA,rushing,CAR,272.0,
,503209,Mike Sadler,Michigan State,Big Ten,punting,In 20,15.0,
,534339,Jamie Gilmore,Temple,American Athletic,receiving,LONG,64.0,
,547258,Kameron Doolittle,Oklahoma State,Big 12,receiving,TD,0.0,
,545695,Ed'Marques Batties,Middle Tennessee,Conference USA,rushing,YDS,28.0,
,3122136,Armani Watts,Texas A&M,SEC,interceptions,INT,3.0,
,530483,Shaquille Powell,Duke,ACC,rushing,YDS,618.0,
,3122715,Henry Bussey III,Florida Atlantic,Conference USA,receiving,YPR,22.0,
,3123226,Jonathan Duhart,Old Dominion,Conference USA,receiving,REC,7.0,
,534448,Sterling Shepard,Oklahoma,Big 12,rushing,YDS,41.0,
,548242,Demun Mercer,Texas State,Sun Belt,receiving,TD,2.0,
,531231,Kolby Listenbee,TCU,Big 12,receiving,LONG,54.0,
,3164432,- Team,Maryland,Big Ten,punting,NO,1.0,
,514448,Jeremiah Kobena,Syracuse,ACC,receiving,TD,0.0,
,530290,Mario Edwards Jr.,Florida State,ACC,rushing,YPC,4.0,
,550246,Nathan Strock,Kent State,Mid-American,rushing,LONG,65.0,
,514978,Donovan Harden,Georgia State,Sun Belt,puntReturns,AVG,11.0,
,551114,Ryan Timmons,Kentucky,SEC,puntReturns,LONG,13.0,
,505319,Ricky Seale,Stanford,Pac-12,rushing,YDS,57.0,
,504875,Ricardo Singh,Western Kentucky,Conference USA,interceptions,YDS,120.0,
,518311,Cameron Dickerson,Northwestern,Big Ten,receiving,YPR,13.3,
,545840,Kyler Neal,Georgia State,Sun Belt,rushing,TD,1.0,
,515528,Garrett Grayson,Colorado State,Mountain West,passing,COMPLETIONS,270.0,
,530450,Chad Voytik,Pittsburgh,ACC,passing,YPA,7.8,
,536355,Tim Crawley,San José State,Mountain West,puntReturns,YDS,-1.0,
,546463,Cameron Smith,Arizona State,Pac-12,receiving,LONG,73.0,
,546655,Matt Galambos,Pittsburgh,ACC,rushing,LONG,5.0,
,512032,Josh Robinson,Mississippi State,SEC,receiving,TD,1.0,
,531590,Demetrius Frazier,Middle Tennessee,Conference USA,receiving,TD,0.0,
,503690,Scott Secor,Ball State,Mid-American,kicking,FGM,25.0,
,3154439,Kevin Williamson,Clemson,ACC,rushing,TD,0.0,
,534783,Paul Griggs,Purdue,Big Ten,kicking,PCT,0.8,
,483389,Jake Golic,Cincinnati,American Athletic,kickReturns,LONG,-2.0,
,551018,Markel Byrd,New Mexico,Mountain West,puntReturns,AVG,9.5,
,505325,Lee Ward,Stanford,Pac-12,rushing,YPC,11.0,
,504955,Joey Iosefa,Hawai'i,Mountain West,rushing,LONG,45.0,
,549854,Gus Penning,Baylor,Big 12,receiving,YPR,2.0,
,550172,Keyante Green,Purdue,Big Ten,rushing,YPC,7.4,
,545460,Andrew Harte,Minnesota,Big Ten,kicking,XPM,0.0,
,546244,Rashard Higgins,Colorado State,Mountain West,receiving,LONG,73.0,
,534339,Jamie Gilmore,Temple,American Athletic,receiving,YPR,12.8,
,537063,Tajae Sharpe,UMass,Mid-American,receiving,YPR,15.1,
,531009,Darreus Rogers,USC,Pac-12,rushing,LONG,5.0,
,512675,Joe Gray,San José State,Mountain West,rushing,CAR,58.0,
,512667,Daniel Bradbury,San José State,Mountain West,receiving,YDS,29.0,
,512030,Dak Prescott,Mississippi State,SEC,receiving,LONG,24.0,
,547165,Jordan Sterns,Oklahoma State,Big 12,puntReturns,YDS,30.0,
,512476,Earl Foster,Houston,American Athletic,interceptions,AVG,24.0,
,531551,KeVonn Mabon,Ball State,Mid-American,rushing,TD,1.0,
,513343,Amir Carlisle,Notre Dame,FBS Independents,receiving,LONG,35.0,
,514251,Josh Boyle,Kent State,Mid-American,kickReturns,YDS,73.0,
,537087,Bernard Davis,UMass,Mid-American,receiving,TD,0.0,
,504267,Malcolm Johnson,Mississippi State,SEC,receiving,YPR,13.6,
,531872,William Woods,Kent State,Mid-American,receiving,TD,0.0,
,515421,David Mims,Texas State,Sun Belt,interceptions,YDS,129.0,
,3123851,V.J. Banks,Rice,Conference USA,interceptions,AVG,28.0,
,550945,Will Fuller V,Notre Dame,FBS Independents,puntReturns,YDS,0.0,
,547854,Jordan Huff,Northern Illinois,Mid-American,rushing,TD,3.0,
,553235,Matt Linehan,Idaho,Sun Belt,rushing,CAR,84.0,
,513035,D'Angelo Roberts,Indiana,Big Ten,receiving,YDS,59.0,
,504320,Matt Milton,Louisville,ACC,receiving,LONG,45.0,
,549314,Matt Breida,Georgia Southern,Sun Belt,kickReturns,YDS,24.0,
,546713,Jourdan Lewis,Michigan,Big Ten,kickReturns,TD,0.0,
,513410,John Christopher,Temple,American Athletic,puntReturns,YDS,24.0,
,501528,Rod Smith,Ohio State,Big Ten,kickReturns,LONG,17.0,
,530731,Mitch Leidner,Minnesota,Big Ten,receiving,YPR,9.0,
,531625,James Brooks,Kent State,Mid-American,receiving,TD,1.0,
,531093,Duke Thomas,Texas,Big 12,interceptions,AVG,8.0,
,518923,Richard Burrows,Florida International,Conference USA,receiving,YDS,15.0,
,545237,Khris Francis,North Carolina,ACC,rushing,LONG,6.0,
,3127201,Darius White,California,Pac-12,interceptions,INT,1.0,
,500231,Tony Zenon,Georgia Tech,ACC,receiving,REC,8.0,
,3123055,Joseph Rogers,Miami,ACC,puntReturns,LONG,13.0,
,551128,Calvin Cass Jr.,Navy,FBS Independents,receiving,YDS,36.0,
,545269,Brisly Estime,Syracuse,ACC,receiving,TD,1.0,
,550896,Kalib Woods,Florida Atlantic,Conference USA,receiving,LONG,44.0,
,517426,Demarco Robinson,Kentucky,SEC,kickReturns,LONG,41.0,
,552050,John Thompson,Washington State,Pac-12,receiving,YDS,5.0,
,535495,Devin Chafin,Baylor,Big 12,receiving,LONG,17.0,
,535497,Corey Coleman,Baylor,Big 12,kickReturns,AVG,26.4,
,534603,Morgan Burns,Kansas State,Big 12,interceptions,INT,3.0,
,503330,Kevin Haplea,Florida State,ACC,receiving,REC,2.0,
,516282,Quinton Pedroza,Hawai'i,Mountain West,passing,PCT,0.0,
,3126127,Lucas Bezerra,Western Michigan,Mid-American,kickReturns,YDS,0.0,
,546603,Damian Williams,Mississippi State,SEC,passing,YPA,6.7,
,514533,David Santos,Nebraska,Big Ten,puntReturns,AVG,-10.0,
,517452,Jamison Crowder,Duke,ACC,kickReturns,NO,1.0,
,550729,Hayden Weichers,Utah State,Mountain West,puntReturns,YDS,3.0,
,482594,Taysom Hill,BYU,FBS Independents,rushing,TD,8.0,
,503360,Brandon Hayes,Memphis,American Athletic,rushing,YDS,949.0,
,518180,Chase Price,San Diego State,Mountain West,rushing,CAR,141.0,
,531490,Trey Caldwell,Louisiana Monroe,Sun Belt,puntReturns,AVG,4.5,
,511594,Juwan Brescacin,Northern Illinois,Mid-American,receiving,YDS,445.0,
,502918,Deon Long,Maryland,Big Ten,receiving,YDS,575.0,
,514248,Tyler Wedel,Northern Illinois,Mid-American,rushing,YPC,1.0,
,504915,Matt Miller,Boise State,Mountain West,receiving,YPR,16.5,
,3122122,Alton Howard,Tennessee,SEC,receiving,TD,1.0,
,3125992,Sam Martin,Miami (OH),Mid-American,receiving,YDS,321.0,
,3139477,Patrick Mahomes,Texas Tech,Big 12,passing,YPA,8.4,
,502458,Zac Stout,BYU,FBS Independents,interceptions,AVG,19.0,
,512664,Logan Yunker,UNLV,Mountain West,passing,YDS,24.0,
,552516,Jay Mitchell,UNLV,Mountain West,kickReturns,YDS,219.0,
,513613,Anthone Taylor,Buffalo,Mid-American,receiving,YDS,108.0,
,545923,Corey Davis,Western Michigan,Mid-American,receiving,YPR,18.1,
,533182,Ryker Fyfe,Nebraska,Big Ten,rushing,CAR,7.0,
,517429,Josh Clemons,Kentucky,SEC,rushing,YPC,3.3,
,547258,Kameron Doolittle,Oklahoma State,Big 12,receiving,YDS,40.0,
,559754,Malachi Dupre,LSU,SEC,receiving,YDS,318.0,
,518192,Bill Belton,Penn State,Big Ten,rushing,CAR,125.0,
,532978,Ryan Pasoquen,Hawai'i,Mountain West,kickReturns,TD,0.0,
,512879,Bobo Beathard,Appalachian State,Sun Belt,rushing,CAR,2.0,
,534666,Danny Anthrop,Purdue,Big Ten,rushing,YDS,10.0,
,546693,Tommy Myers,Connecticut,American Athletic,receiving,YPR,4.0,
,552938,Marquez Grayson,East Carolina,American Athletic,receiving,LONG,14.0,
,535878,Eric Hawkins,Arkansas,SEC,kickReturns,LONG,27.0,
,554520,Jalen Robinette,Air Force,Mountain West,passing,COMPLETIONS,1.0,
,513961,Antonio Vaughan,Old Dominion,Conference USA,puntReturns,AVG,9.3,
,501615,Teddy Johnson,Oklahoma State,Big 12,rushing,YPC,0.5,
,542087,Nick Ellis,Toledo,Mid-American,punting,In 20,18.0,
,511208,Ammon Lakip,Clemson,ACC,punting,In 20,1.0,
,531131,Adam Gotsis,Georgia Tech,ACC,interceptions,TD,0.0,
,517795,Kam Jones,UT San Antonio,Conference USA,rushing,YPC,2.8,
,535728,Tion Green,Cincinnati,American Athletic,receiving,LONG,16.0,
,531691,Aleem Sunanon,South Alabama,Sun Belt,kicking,LONG,46.0,
,512107,Sean McQuillan,Connecticut,American Athletic,receiving,TD,1.0,
,511441,Devon Blackmon,BYU,FBS Independents,receiving,TD,0.0,
