_team,_conference,_position_group,_average_rating,_total_rating,_commits,_average_stars,discriminator
Western Kentucky,Conference USA,Receiver,0.794078046228827,32.5572,41.0,2.4878048780487805,
Western Kentucky,Conference USA,Running Back,0.799150003327264,14.3847,18.0,2.444444444444444,
Western Kentucky,Conference USA,Special Teams,0.784965002536774,15.6993,20.0,2.35,
Western Michigan,Mid-American,Defensive Back,0.784704484156708,52.5752,67.0,2.373134328358209,
Western Michigan,Mid-American,Defensive Line,0.783039710977498,53.2467,68.0,2.3088235294117645,
Western Michigan,Mid-American,Linebacker,0.78783171351363,32.3011,41.0,2.4146341463414633,
Western Michigan,Mid-American,Offensive Line,0.796501543888679,51.7726,65.0,2.4923076923076923,
Western Michigan,Mid-American,Quarterback,0.810382612373518,18.6388,23.0,2.6521739130434785,
Western Michigan,Mid-American,Receiver,0.794114293796676,66.7056,84.0,2.4761904761904763,
Western Michigan,Mid-American,Running Back,0.803135489263842,24.8972,31.0,2.6129032258064515,
Western Michigan,Mid-American,Special Teams,0.798903026364066,26.3638,33.0,2.515151515151515,
West Virginia,Big 12,Defensive Back,0.834368423411721,63.412,76.0,2.9078947368421053,
West Virginia,Big 12,Defensive Line,0.825978010892868,41.2989,50.0,2.78,
West Virginia,Big 12,Linebacker,0.841197680595309,36.1715,43.0,2.953488372093023,
West Virginia,Big 12,Offensive Line,0.836134921936762,52.6765,63.0,2.9047619047619047,
West Virginia,Big 12,Quarterback,0.858280959583464,18.0239,21.0,3.0476190476190474,
West Virginia,Big 12,Receiver,0.838582357063013,57.0236,68.0,2.911764705882353,
West Virginia,Big 12,Running Back,0.84170952581224,35.3518,42.0,2.9761904761904763,
West Virginia,Big 12,Special Teams,0.823462164079821,30.4681,37.0,2.756756756756757,
Wisconsin,Big Ten,Defensive Back,0.829800005588267,59.7456,72.0,2.819444444444444,
Wisconsin,Big Ten,Defensive Line,0.849534783674323,58.6179,69.0,3.0144927536231885,
Wisconsin,Big Ten,Linebacker,0.846038096480899,53.3004,63.0,2.984126984126984,
Wisconsin,Big Ten,Offensive Line,0.855147827362669,59.0052,69.0,3.0434782608695654,
Wisconsin,Big Ten,Quarterback,0.834515383610359,21.6974,26.0,2.9615384615384617,
Wisconsin,Big Ten,Receiver,0.833001376831368,60.8091,73.0,2.7945205479452055,
Wisconsin,Big Ten,Running Back,0.85031621842771,31.4617,37.0,3.027027027027027,
Wisconsin,Big Ten,Special Teams,0.820756822824478,36.1133,44.0,2.6818181818181817,
Wyoming,Mountain West,Defensive Back,0.774983586660072,51.9239,67.0,2.2388059701492535,
Wyoming,Mountain West,Defensive Line,0.774702008962631,38.7351,50.0,2.26,
Wyoming,Mountain West,Linebacker,0.772836362773722,34.0048,44.0,2.2045454545454546,
Wyoming,Mountain West,Offensive Line,0.770601591420552,48.5479,63.0,2.2222222222222223,
Wyoming,Mountain West,Quarterback,0.801112507780393,19.2267,24.0,2.625,
Wyoming,Mountain West,Receiver,0.776236507627699,48.9029,63.0,2.3333333333333335,
Wyoming,Mountain West,Running Back,0.767540001869202,23.0262,30.0,2.2,
Wyoming,Mountain West,Special Teams,0.779068422944922,29.6046,38.0,2.263157894736842,
Air Force,Mountain West,All Positions,0.773654280182643,362.07,468.0,2.1816239316239314,
Akron,Mid-American,All Positions,0.771435004638301,277.716,360.0,2.227777777777778,
Alabama,SEC,All Positions,0.913801495972862,427.659,468.0,3.747863247863248,
Appalachian State,Sun Belt,All Positions,0.795542269330664,154.335,194.0,2.4896907216494846,
Arizona,Pac-12,All Positions,0.838485214644506,334.555,399.0,2.9423558897243107,
Arizona State,Pac-12,All Positions,0.852925878972056,316.435,371.0,3.08355795148248,
Arkansas,SEC,All Positions,0.85684844493866,385.582,450.0,3.1133333333333333,
