_configuration,_id,_season,_week,_season_type,_start_date,_start_time_tbd,_neutral_site,_conference_game,_attendance,_venue_id,_venue,_home_id,_home_team,_home_conference,_home_points,_home_line_scores,_home_post_win_prob,_away_id,_away_team,_away_conference,_away_points,_away_line_scores,_away_post_win_prob,_excitement_index,_highlights,_notes,discriminator
<cfbd.configuration.Configuration object at 0x00000231BF29A340>,312440097,2011,1,regular,2011-09-01T22:00:00.000Z,,False,False,0,3873,Papa John's Cardinal Stadium,97,Louisville,Big East,21,"[14, 7, 0, 0]",0.9796125947182047,93,Murray State,,9,"[0, 3, 0, 6]",0.02038740528179528,4.54795979930205,,,
<cfbd.configuration.Configuration object at 0x00000231BF531970>,312440218,2011,1,regular,2011-09-01T23:00:00.000Z,,False,False,0,3806,Lincoln Financial Field,218,Temple,Mid-American,42,"[7, 14, 14, 7]",0.9824172041088283,222,Villanova,,7,"[0, 0, 0, 7]",0.017582795891171732,1.59549711064319,,,
<cfbd.configuration.Configuration object at 0x00000231BF531B20>,312442229,2011,1,regular,2011-09-01T23:00:00.000Z,,False,True,0,218,FIU Stadium,2229,Florida International,Sun Belt,41,"[28, 3, 7, 3]",0.9920887797376532,249,North Texas,Sun Belt,16,"[0, 7, 0, 9]",0.007911220262346808,0.947600451188553,,,
<cfbd.configuration.Configuration object at 0x00000231BF531CA0>,312442649,2011,1,regular,2011-09-01T23:00:00.000Z,,False,False,0,3739,Glass Bowl,2649,Toledo,Mid-American,58,"[17, 13, 14, 14]",0.9987487286095642,160,New Hampshire,,22,"[0, 8, 7, 7]",0.001251271390435793,3.16666240820344,,,
<cfbd.configuration.Configuration object at 0x00000231BF531E20>,312442117,2011,1,regular,2011-09-01T23:00:00.000Z,,False,False,0,3786,Kelly/Shorts Stadium,2117,Central Michigan,Mid-American,21,"[7, 7, 7, 0]",0.7792141859768686,2569,South Carolina State,,6,"[3, 3, 0, 0]",0.22078581402313135,3.31718905596915,,,
<cfbd.configuration.Configuration object at 0x00000231BF531FA0>,312440164,2011,1,regular,2011-09-01T23:30:00.000Z,,False,False,0,3754,High Point Solutions Stadium,164,Rutgers,Big East,48,"[7, 14, 24, 3]",0.8943571414666219,2428,North Carolina Central,,0,"[0, 0, 0, 0]",0.10564285853337807,3.04129924020729,,,
<cfbd.configuration.Configuration object at 0x00000231C058C160>,312440059,2011,1,regular,2011-09-01T23:30:00.000Z,,False,False,0,721,Bobby Dodd Stadium at Historic Grant Field,59,Georgia Tech,ACC,63,"[28, 14, 14, 7]",0.9694835252964396,2717,Western Carolina,,21,"[0, 21, 0, 0]",0.030516474703560448,1.0425030182128,,,
<cfbd.configuration.Configuration object at 0x00000231C058C2E0>,312440235,2011,1,regular,2011-09-02T00:00:00.000Z,,False,False,0,3805,Liberty Bowl Memorial Stadium,235,Memphis,Conference USA,14,"[0, 7, 0, 7]",0.31562228637532497,344,Mississippi State,SEC,59,"[17, 14, 14, 14]",0.684377713624675,1.82052415005543,,,
<cfbd.configuration.Configuration object at 0x00000231C058C460>,312440183,2011,1,regular,2011-09-02T00:00:00.000Z,,False,False,0,1964,Carrier Dome,183,Syracuse,Big East,36,"[0, 7, 7, 15, 7]",0.4450507095084326,154,Wake Forest,ACC,29,"[3, 17, 6, 3, 0]",0.5549492904915674,6.80439242671931,,,
<cfbd.configuration.Configuration object at 0x00000231C058C5E0>,312440254,2011,1,regular,2011-09-02T00:00:00.000Z,,False,False,0,587,Rice-Eccles Stadium,254,Utah,Pac-12,27,"[17, 7, 3, 0]",0.7391099752562075,147,Montana State,,10,"[0, 7, 0, 3]",0.2608900247437925,2.43115981794127,,,
