_id,_season,_week,_season_type,_start_date,_start_time_tbd,_neutral_site,_conference_game,_attendance,_venue_id,_venue,_home_id,_home_team,_home_conference,_home_points,_home_line_scores,_home_post_win_prob,_away_id,_away_team,_away_conference,_away_points,_away_line_scores,_away_post_win_prob,_excitement_index,_highlights,_notes,discriminator
401234563,2020,2,regular,2020-09-12T20:00:00.000Z,False,False,True,,3697,Bobby Bowden Field at Doak Campbell Stadium,52,Florida State,ACC,13,"[10, 0, 3, 0]",0.04480890786268917,59,Georgia Tech,ACC,16,"[0, 0, 7, 9]",0.9551910921373108,5.8038345134,https://www.youtube.com/watch?v=9nMuP7T_Dy4,,
401240233,2020,2,regular,2020-09-12T20:00:00.000Z,False,False,False,,3752,Heinz Field,221,Pittsburgh,ACC,55,"[21, 21, 0, 13]",0.9989693192188656,2046,Austin Peay,,0,"[0, 0, 0, 0]",0.001030680781134441,1.1571226423,https://www.youtube.com/watch?v=mXSZxFDpU7s,,
401215298,2020,2,regular,2020-09-12T20:14:00.000Z,False,False,False,,3608,Paulson Stadium,290,Georgia Southern,Sun Belt,27,"[3, 3, 7, 14]",0.6910924092647663,2097,Campbell,,26,"[13, 0, 7, 6]",0.30890759073523366,6.9344930237,https://www.youtube.com/watch?v=b3dRqtBzX8g,,
401240039,2020,2,regular,2020-09-12T23:00:00.000Z,False,False,False,,3886,Raymond James Stadium,58,South Florida,American Athletic,27,"[7, 13, 0, 7]",0.33714920154142325,2643,The Citadel,,6,"[3, 3, 0, 0]",0.6628507984585768,2.9737388347,https://www.youtube.com/watch?v=qd6lIPmXxd0,,
401236054,2020,2,regular,2020-09-12T23:00:00.000Z,False,False,False,,3835,Gaylord Family Oklahoma Memorial Stadium,201,Oklahoma,Big 12,48,"[31, 10, 0, 7]",0.9989713216300566,2623,Missouri State,,0,"[0, 0, 0, 0]",0.0010286783699433588,1.0134807925,https://www.youtube.com/watch?v=4KdlbOdwXss,,
401234562,2020,2,regular,2020-09-12T23:30:00.000Z,False,False,True,,3630,BB&T Field,154,Wake Forest,ACC,13,"[0, 0, 3, 10]",0.0006830019631616109,228,Clemson,ACC,37,"[14, 13, 10, 0]",0.9993169980368384,0.2919910883,https://www.youtube.com/watch?v=CGH54tBpV8U,,
401239973,2020,2,regular,2020-09-12T23:30:00.000Z,False,False,False,,6526,Hancock Whitney Stadium,6,South Alabama,Sun Belt,24,"[0, 14, 10, 0]",0.6304398648486921,2655,Tulane,American Athletic,27,"[0, 6, 7, 14]",0.3695601351513079,8.4177973424,https://www.youtube.com/watch?v=UvWJEWeeKpY,,
401236039,2020,2,regular,2020-09-13T00:00:00.000Z,False,False,False,,3784,Jones AT&T Stadium,2641,Texas Tech,Big 12,35,"[14, 7, 7, 7]",0.9461823888211375,2277,Houston Baptist,,33,"[3, 7, 10, 13]",0.05381761117886252,2.1597584691,https://www.youtube.com/watch?v=HSFruLzEXFE,,
401236222,2020,2,regular,2020-09-13T00:00:00.000Z,False,False,False,,3910,Darrell K Royal-Texas Memorial Stadium,251,Texas,Big 12,59,"[21, 24, 7, 7]",0.9989579054533634,2638,UTEP,Conference USA,3,"[0, 3, 0, 0]",0.0010420945466366183,1.0180516733,https://www.youtube.com/watch?v=AeTry4rSNtc,,
401234564,2020,2,regular,2020-09-13T00:00:00.000Z,False,False,False,,3873,Papa John's Cardinal Stadium,97,Louisville,ACC,35,"[7, 21, 7, 0]",0.9976235561509056,98,Western Kentucky,Conference USA,21,"[7, 0, 7, 7]",0.0023764438490944118,2.872543934,https://www.youtube.com/watch?v=F7iVWQf7nHA,,
