_configuration,_id,_season,_week,_season_type,_start_date,_start_time_tbd,_neutral_site,_conference_game,_attendance,_venue_id,_venue,_home_id,_home_team,_home_conference,_home_points,_home_line_scores,_home_post_win_prob,_away_id,_away_team,_away_conference,_away_points,_away_line_scores,_away_post_win_prob,_excitement_index,_highlights,_notes,discriminator
<cfbd.configuration.Configuration object at 0x00000231BF3B38E0>,322442226,2012,1,regular,2012-09-01T00:00:00.000Z,,False,False,14510,3715,FAU Stadium,2226,Florida Atlantic,Sun Belt,7,"[0, 0, 0, 7]",0.5511486466935936,2681,Wagner,,3,"[0, 3, 0, 0]",0.44885135330640635,5.44684235567788,,,
<cfbd.configuration.Configuration object at 0x00000231BF3B3EE0>,322440024,2012,1,regular,2012-09-01T02:00:00.000Z,,False,False,40577,3940,Stanford Stadium,24,Stanford,Pac-12,20,"[14, 3, 0, 3]",0.39236238465838913,23,San José State,Western Athletic,17,"[0, 3, 14, 0]",0.6076376153416109,3.50739601353147,,,
<cfbd.configuration.Configuration object at 0x00000231BF3B7520>,322452426,2012,1,regular,2012-09-01T13:00:00.000Z,,True,False,48820,,,2426,Navy,FBS Independents,10,"[0, 3, 7, 0]",0.6766733161245093,87,Notre Dame,FBS Independents,50,"[13, 14, 13, 10]",0.3233266838754907,1.43361891612263,,,
<cfbd.configuration.Configuration object at 0x00000231BF3B7B20>,322450061,2012,1,regular,2012-09-01T16:00:00.000Z,,False,False,92446,3917,Sanford Stadium,61,Georgia,SEC,45,"[14, 10, 7, 14]",0.9895729370855861,2084,Buffalo,Mid-American,23,"[6, 10, 0, 7]",0.010427062914413865,2.65849498579547,,,
<cfbd.configuration.Configuration object at 0x00000231BF3BE160>,322450005,2012,1,regular,2012-09-01T16:00:00.000Z,,False,False,28612,3803,Legion Field,5,UAB,Conference USA,29,"[0, 7, 10, 12]",0.6071487248031364,2653,Troy,Sun Belt,39,"[10, 7, 8, 14]",0.3928512751968636,6.46787843255326,,,
<cfbd.configuration.Configuration object at 0x00000231BF3BE760>,322450277,2012,1,regular,2012-09-01T16:00:00.000Z,,False,False,59120,3842,Mountaineer Field at Milan Puskar Stadium,277,West Virginia,Big 12,69,"[13, 21, 21, 14]",0.9681840233448353,276,Marshall,Conference USA,34,"[0, 10, 10, 14]",0.03181597665516467,1.95083179882639,,,
<cfbd.configuration.Configuration object at 0x00000231BF3BED60>,322450194,2012,1,regular,2012-09-01T16:00:00.000Z,,False,False,105039,3861,Ohio Stadium,194,Ohio State,Big Ten,56,"[0, 21, 14, 21]",0.9996691331254014,193,Miami (OH),Mid-American,10,"[3, 0, 7, 0]",0.000330866874598601,3.02262521014001,,,
<cfbd.configuration.Configuration object at 0x00000231BF3C43A0>,322450356,2012,1,regular,2012-09-01T16:00:00.000Z,,False,False,43441,3832,Memorial Stadium,356,Illinois,Big Ten,24,"[10, 7, 0, 7]",0.4402944860521377,2711,Western Michigan,Mid-American,7,"[0, 0, 7, 0]",0.5597055139478623,2.63968266798469,,,
<cfbd.configuration.Configuration object at 0x00000231BF3C49A0>,322450183,2012,1,regular,2012-09-01T16:00:00.000Z,,False,False,37830,1964,Carrier Dome,183,Syracuse,Big East,41,"[6, 7, 14, 14]",0.7369595442365867,77,Northwestern,Big Ten,42,"[7, 14, 14, 7]",0.2630404557634133,7.11247923371113,,,
<cfbd.configuration.Configuration object at 0x00000231BF3C4FA0>,322450151,2012,1,regular,2012-09-01T16:00:00.000Z,,False,False,49023,3699,Dowdy-Ficklen Stadium,151,East Carolina,Conference USA,35,"[0, 14, 7, 14]",0.47002277793070396,2026,Appalachian State,,13,"[7, 3, 3, 0]",0.529977222069296,4.63055109002224,,,
