_offense,_offense_conference,_defense,_defense_conference,_game_id,_id,_drive_number,_scoring,_start_period,_start_yardline,_start_yards_to_goal,_start_time,_end_period,_end_yardline,_end_yards_to_goal,_end_time,_plays,_yards,_drive_result,_is_home_offense,_start_offense_score,_start_defense_score,_end_offense_score,_end_defense_score,discriminator
Florida Atlantic,Sun Belt,UAB,Conference USA,302450005,30245000501,1,False,1,78,78,"{'minutes': 15, 'seconds': 0}",1,86,86,"{'minutes': 14, 'seconds': 53}",3,-8,PUNT,False,0,0,0,0,
UAB,Conference USA,Florida Atlantic,Sun Belt,302450005,30245000502,2,False,1,52,48,"{'minutes': 14, 'seconds': 53}",1,53,47,"{'minutes': 12, 'seconds': 47}",3,1,PUNT,True,0,0,0,0,
Florida Atlantic,Sun Belt,UAB,Conference USA,302450005,30245000503,3,False,1,93,93,"{'minutes': 12, 'seconds': 47}",1,73,73,"{'minutes': 10, 'seconds': 46}",6,20,PUNT,False,0,0,0,0,
UAB,Conference USA,Florida Atlantic,Sun Belt,302450005,30245000504,4,False,1,19,81,"{'minutes': 10, 'seconds': 46}",1,26,74,"{'minutes': 7, 'seconds': 49}",3,7,PUNT,True,0,0,0,0,
Florida Atlantic,Sun Belt,UAB,Conference USA,302450005,30245000505,5,False,1,89,89,"{'minutes': 7, 'seconds': 49}",1,81,81,"{'minutes': 6, 'seconds': 29}",3,8,PUNT,False,0,0,0,0,
UAB,Conference USA,Florida Atlantic,Sun Belt,302450005,30245000506,6,True,1,50,50,"{'minutes': 6, 'seconds': 29}",1,100,0,"{'minutes': 4, 'seconds': 51}",1,50,RUSHING TD,True,7,0,7,0,
Florida Atlantic,Sun Belt,UAB,Conference USA,302450005,30245000507,7,False,1,77,77,"{'minutes': 4, 'seconds': 51}",1,70,70,"{'minutes': 3, 'seconds': 25}",3,7,PUNT,False,0,7,0,7,
UAB,Conference USA,Florida Atlantic,Sun Belt,302450005,30245000508,8,True,1,20,80,"{'minutes': 3, 'seconds': 25}",1,100,0,"{'seconds': 34, 'minutes': 0}",7,80,RUSHING TD,True,7,0,14,0,
Florida Atlantic,Sun Belt,UAB,Conference USA,302450005,30245000509,9,True,1,71,71,"{'seconds': 34, 'minutes': 0}",2,0,0,"{'minutes': 11, 'seconds': 59}",8,71,PASSING TD,False,0,14,6,14,
UAB,Conference USA,Florida Atlantic,Sun Belt,302450005,30245000510,10,False,2,22,78,"{'minutes': 11, 'seconds': 59}",2,35,65,"{'minutes': 6, 'seconds': 43}",6,13,PUNT,True,14,6,14,12,
Florida Atlantic,Sun Belt,UAB,Conference USA,302450005,30245000511,11,False,2,85,85,"{'minutes': 6, 'seconds': 43}",2,79,79,"{'minutes': 6, 'seconds': 34}",3,6,PUNT,False,12,14,12,14,
UAB,Conference USA,Florida Atlantic,Sun Belt,302450005,30245000512,12,False,2,40,60,"{'minutes': 6, 'seconds': 34}",2,40,60,"{'minutes': 4, 'seconds': 29}",3,0,PUNT,True,14,12,14,12,
