_offense,_offense_conference,_defense,_defense_conference,_game_id,_id,_drive_number,_scoring,_start_period,_start_yardline,_start_yards_to_goal,_start_time,_end_period,_end_yardline,_end_yards_to_goal,_end_time,_plays,_yards,_drive_result,_is_home_offense,_start_offense_score,_start_defense_score,_end_offense_score,_end_defense_score,discriminator
Northwestern State,,Baylor,Big 12,400868876,4008688761,1,False,1,86,86,"{'minutes': 15, 'seconds': 0}",1,79,79,"{'minutes': 12, 'seconds': 45}",3,7,PUNT,False,0,0,0,0,
Baylor,Big 12,Northwestern State,,400868876,4008688762,2,True,1,41,59,"{'minutes': 12, 'seconds': 45}",1,100,0,"{'minutes': 10, 'seconds': 46}",6,59,TD,True,0,0,7,0,
Northwestern State,,Baylor,Big 12,400868876,4008688763,3,False,1,75,75,"{'minutes': 10, 'seconds': 46}",1,96,96,"{'minutes': 9, 'seconds': 29}",3,-21,PUNT,False,0,7,0,7,
Baylor,Big 12,Northwestern State,,400868876,4008688764,4,True,1,69,31,"{'minutes': 9, 'seconds': 29}",1,94,6,"{'minutes': 6, 'seconds': 52}",6,25,FG,True,7,0,10,0,
Northwestern State,,Baylor,Big 12,400868876,4008688765,5,False,1,75,75,"{'minutes': 6, 'seconds': 52}",1,79,79,"{'minutes': 5, 'seconds': 50}",3,-4,PUNT,False,0,10,0,10,
Baylor,Big 12,Northwestern State,,400868876,4008688766,6,True,1,54,46,"{'minutes': 5, 'seconds': 50}",1,100,0,"{'minutes': 4, 'seconds': 26}",7,46,TD,True,10,0,17,0,
Northwestern State,,Baylor,Big 12,400868876,4008688767,7,False,1,65,65,"{'minutes': 4, 'seconds': 26}",1,79,79,"{'minutes': 3, 'seconds': 22}",3,-14,PUNT,False,0,17,0,17,
Baylor,Big 12,Northwestern State,,400868876,4008688768,8,True,1,45,55,"{'minutes': 3, 'seconds': 22}",1,100,0,"{'minutes': 1, 'seconds': 2}",8,55,TD,True,17,0,24,0,
Northwestern State,,Baylor,Big 12,400868876,4008688769,9,False,1,90,90,"{'minutes': 1, 'seconds': 2}",2,62,62,"{'minutes': 12, 'seconds': 54}",6,28,PUNT,False,0,24,0,24,
Baylor,Big 12,Northwestern State,,400868876,40086887610,10,True,2,29,71,"{'minutes': 12, 'seconds': 54}",2,84,16,"{'minutes': 10, 'seconds': 19}",7,55,FG,True,24,0,27,0,
