_offense,_offense_conference,_defense,_defense_conference,_game_id,_id,_drive_number,_scoring,_start_period,_start_yardline,_start_yards_to_goal,_start_time,_end_period,_end_yardline,_end_yards_to_goal,_end_time,_plays,_yards,_drive_result,_is_home_offense,_start_offense_score,_start_defense_score,_end_offense_score,_end_defense_score,discriminator
South Alabama,Sun Belt,Southern Utah,,332410006,33241000601,1,False,1,25,75,"{'minutes': 15, 'seconds': 0}",1,36,64,"{'minutes': 11, 'seconds': 55}",6,11,PUNT,True,0,0,0,0,
Southern Utah,,South Alabama,Sun Belt,332410006,33241000602,2,True,1,77,77,"{'minutes': 11, 'seconds': 55}",1,16,16,"{'minutes': 5, 'seconds': 52}",12,61,FG GOOD,False,0,0,3,0,
South Alabama,Sun Belt,Southern Utah,,332410006,33241000603,3,False,1,48,52,"{'minutes': 5, 'seconds': 52}",1,76,24,"{'minutes': 2, 'seconds': 21}",9,28,FG MISSED,True,0,3,0,3,
Southern Utah,,South Alabama,Sun Belt,332410006,33241000604,4,True,1,76,76,"{'minutes': 2, 'seconds': 21}",1,0,0,"{'minutes': 1, 'seconds': 16}",3,76,RUSHING TD,False,3,0,10,0,
South Alabama,Sun Belt,Southern Utah,,332410006,33241000605,5,False,1,25,75,"{'minutes': 1, 'seconds': 16}",2,45,55,"{'minutes': 14, 'seconds': 53}",5,20,PUNT,True,0,10,0,10,
Southern Utah,,South Alabama,Sun Belt,332410006,33241000606,6,False,2,89,89,"{'minutes': 14, 'seconds': 53}",2,87,87,"{'minutes': 12, 'seconds': 38}",3,2,PUNT,False,10,0,10,0,
South Alabama,Sun Belt,Southern Utah,,332410006,33241000607,7,False,2,57,43,"{'minutes': 12, 'seconds': 38}",2,81,19,"{'minutes': 10, 'seconds': 53}",6,24,FG MISSED,True,0,10,0,10,
Southern Utah,,South Alabama,Sun Belt,332410006,33241000608,8,False,2,56,56,"{'minutes': 10, 'seconds': 53}",2,71,71,"{'minutes': 7, 'seconds': 10}",7,0,PUNT,False,10,0,10,0,
South Alabama,Sun Belt,Southern Utah,,332410006,33241000609,9,False,2,28,72,"{'minutes': 7, 'seconds': 10}",2,100,0,"{'minutes': 4, 'seconds': 37}",6,72,RUSHING TD,True,0,10,7,10,
Southern Utah,,South Alabama,Sun Belt,332410006,33241000610,10,False,2,75,75,"{'minutes': 4, 'seconds': 37}",2,53,53,"{'minutes': 1, 'seconds': 49}",5,22,PUNT,False,10,7,10,7,
South Alabama,Sun Belt,Southern Utah,,332410006,33241000611,11,False,2,5,95,"{'minutes': 1, 'seconds': 49}",2,5,95,"{'minutes': 0, 'seconds': 0}",3,0,END OF HALF,True,7,10,7,10,
Southern Utah,,South Alabama,Sun Belt,332410006,33241000612,12,True,3,2,2,"{'minutes': 15, 'seconds': 0}",3,20,20,"{'minutes': 11, 'seconds': 15}",10,57,FG GOOD,False,10,7,13,7,
South Alabama,Sun Belt,Southern Utah,,332410006,33241000613,13,False,3,27,73,"{'minutes': 11, 'seconds': 15}",3,100,0,"{'minutes': 7, 'seconds': 38}",7,73,PASSING TD,True,7,13,14,13,
Southern Utah,,South Alabama,Sun Belt,332410006,33241000614,14,False,3,89,89,"{'minutes': 7, 'seconds': 38}",3,83,83,"{'minutes': 7, 'seconds': 38}",3,6,PUNT,False,13,14,13,14,
South Alabama,Sun Belt,Southern Utah,,332410006,33241000615,15,False,3,40,60,"{'minutes': 7, 'seconds': 38}",3,42,58,"{'minutes': 5, 'seconds': 23}",3,2,PUNT,True,14,13,14,13,
