_offense,_offense_conference,_defense,_defense_conference,_game_id,_id,_drive_number,_scoring,_start_period,_start_yardline,_start_yards_to_goal,_start_time,_end_period,_end_yardline,_end_yards_to_goal,_end_time,_plays,_yards,_drive_result,_is_home_offense,_start_offense_score,_start_defense_score,_end_offense_score,_end_defense_score,discriminator
Alabama,SEC,Wisconsin,Big Ten,400603827,4006038271,1,False,1,20,80,"{'minutes': 15, 'seconds': 0}",1,24,76,"{'minutes': 11, 'seconds': 11}",6,4,PUNT,True,0,0,0,0,
Wisconsin,Big Ten,Alabama,SEC,400603827,4006038272,2,False,1,64,64,"{'minutes': 11, 'seconds': 11}",1,45,45,"{'minutes': 7, 'seconds': 55}",6,19,PUNT,False,0,0,0,0,
Alabama,SEC,Wisconsin,Big Ten,400603827,4006038273,3,True,1,10,90,"{'minutes': 7, 'seconds': 55}",1,100,0,"{'minutes': 5, 'seconds': 54}",6,90,TD,True,0,0,7,0,
Wisconsin,Big Ten,Alabama,SEC,400603827,4006038274,4,False,1,83,83,"{'minutes': 5, 'seconds': 54}",1,60,60,"{'minutes': 3, 'seconds': 31}",4,23,PUNT,False,0,7,0,7,
Alabama,SEC,Wisconsin,Big Ten,400603827,4006038275,5,False,1,16,84,"{'minutes': 3, 'seconds': 31}",1,32,68,"{'seconds': 30, 'minutes': 0}",7,16,PUNT,True,7,0,7,0,
Wisconsin,Big Ten,Alabama,SEC,400603827,4006038276,6,True,1,63,63,"{'seconds': 30, 'minutes': 0}",2,0,0,"{'minutes': 11, 'seconds': 6}",9,63,TD,False,0,7,7,7,
Alabama,SEC,Wisconsin,Big Ten,400603827,4006038277,7,True,2,12,88,"{'minutes': 11, 'seconds': 6}",2,100,0,"{'minutes': 6, 'seconds': 39}",8,88,TD,True,7,7,14,7,
Wisconsin,Big Ten,Alabama,SEC,400603827,4006038278,8,False,2,82,82,"{'minutes': 6, 'seconds': 39}",2,49,49,"{'minutes': 1, 'seconds': 15}",9,33,PUNT,False,7,14,7,14,
Alabama,SEC,Wisconsin,Big Ten,400603827,4006038279,9,False,2,13,87,"{'minutes': 1, 'seconds': 15}",2,19,81,"{'seconds': 9, 'minutes': 0}",3,6,PUNT,True,14,7,14,7,
Wisconsin,Big Ten,Alabama,SEC,400603827,40060382710,10,False,2,39,39,"{'seconds': 9, 'minutes': 0}",2,20,20,"{'minutes': 0, 'seconds': 0}",2,23,DOWNS,False,7,14,7,14,
Wisconsin,Big Ten,Alabama,SEC,400603827,40060382712,11,False,3,84,84,"{'minutes': 15, 'seconds': 0}",3,76,76,"{'minutes': 11, 'seconds': 59}",5,8,PUNT,False,7,14,7,14,
Alabama,SEC,Wisconsin,Big Ten,400603827,40060382713,12,True,3,44,56,"{'minutes': 11, 'seconds': 59}",3,100,0,"{'minutes': 11, 'seconds': 42}",2,56,TD,True,14,7,21,7,
Wisconsin,Big Ten,Alabama,SEC,400603827,40060382714,13,False,3,75,75,"{'minutes': 11, 'seconds': 42}",3,71,71,"{'minutes': 10, 'seconds': 47}",3,4,PUNT,False,7,21,7,21,
Alabama,SEC,Wisconsin,Big Ten,400603827,40060382715,14,False,3,52,48,"{'minutes': 10, 'seconds': 47}",3,73,27,"{'minutes': 7, 'seconds': 51}",6,21,MISSED FG,True,21,7,21,7,
