_offense,_offense_conference,_defense,_defense_conference,_game_id,_id,_drive_number,_scoring,_start_period,_start_yardline,_start_yards_to_goal,_start_time,_end_period,_end_yardline,_end_yards_to_goal,_end_time,_plays,_yards,_drive_result,_is_home_offense,_start_offense_score,_start_defense_score,_end_offense_score,_end_defense_score,discriminator
Alabama,SEC,Florida State,ACC,400933827,4009338271,1,False,1,25,75,"{'minutes': 15, 'seconds': 0}",1,75,25,"{'minutes': 10, 'seconds': 57}",9,50,MISSED FG,True,0,0,0,0,
Florida State,ACC,Alabama,SEC,400933827,4009338272,2,False,1,75,75,"{'minutes': 10, 'seconds': 57}",1,34,34,"{'minutes': 7, 'seconds': 48}",8,37,DOWNS,False,0,0,0,0,
Alabama,SEC,Florida State,ACC,400933827,4009338273,3,True,1,38,62,"{'minutes': 7, 'seconds': 48}",1,82,18,"{'minutes': 4, 'seconds': 30}",9,44,FG,True,0,0,3,0,
Florida State,ACC,Alabama,SEC,400933827,4009338274,4,True,1,90,90,"{'minutes': 4, 'seconds': 30}",2,0,0,"{'minutes': 13, 'seconds': 41}",11,90,TD,False,0,3,7,3,
Alabama,SEC,Florida State,ACC,400933827,4009338275,5,True,2,15,85,"{'minutes': 13, 'seconds': 41}",2,100,0,"{'minutes': 11, 'seconds': 28}",5,85,TD,True,3,7,10,7,
Florida State,ACC,Alabama,SEC,400933827,4009338276,6,False,2,75,75,"{'minutes': 11, 'seconds': 28}",2,68,68,"{'minutes': 10, 'seconds': 21}",3,7,PUNT,False,7,10,7,10,
Alabama,SEC,Florida State,ACC,400933827,4009338277,7,False,2,33,67,"{'minutes': 10, 'seconds': 21}",2,35,65,"{'minutes': 9, 'seconds': 15}",3,2,PUNT,True,10,7,10,7,
Florida State,ACC,Alabama,SEC,400933827,4009338278,8,False,2,75,75,"{'minutes': 9, 'seconds': 15}",2,54,54,"{'minutes': 6, 'seconds': 38}",5,21,PUNT,False,7,10,7,10,
Alabama,SEC,Florida State,ACC,400933827,4009338279,9,False,2,14,86,"{'minutes': 6, 'seconds': 38}",2,22,78,"{'minutes': 4, 'seconds': 45}",3,8,PUNT,True,10,7,10,7,
Florida State,ACC,Alabama,SEC,400933827,40093382710,10,False,2,31,31,"{'minutes': 4, 'seconds': 45}",2,36,36,"{'minutes': 3, 'seconds': 6}",3,-5,PUNT,False,7,10,7,10,
Alabama,SEC,Florida State,ACC,400933827,40093382711,11,False,2,24,76,"{'minutes': 3, 'seconds': 6}",2,17,83,"{'minutes': 1, 'seconds': 1}",3,-7,PUNT,True,10,7,10,7,
Florida State,ACC,Alabama,SEC,400933827,40093382712,12,False,2,70,70,"{'minutes': 1, 'seconds': 1}",2,46,46,"{'minutes': 0, 'seconds': 0}",6,50,DOWNS,False,7,10,7,10,
Florida State,ACC,Alabama,SEC,400933827,40093382714,13,False,3,75,75,"{'minutes': 15, 'seconds': 0}",3,48,48,"{'minutes': 10, 'seconds': 4}",8,27,PUNT,False,7,10,7,10,
Alabama,SEC,Florida State,ACC,400933827,40093382715,14,False,3,19,81,"{'minutes': 10, 'seconds': 4}",3,48,52,"{'minutes': 6, 'seconds': 23}",6,29,PUNT,True,10,7,10,7,
Florida State,ACC,Alabama,SEC,400933827,40093382716,15,False,3,93,93,"{'minutes': 6, 'seconds': 23}",3,75,75,"{'minutes': 4, 'seconds': 17}",5,18,PUNT,False,7,10,7,10,
Alabama,SEC,Florida State,ACC,400933827,40093382717,16,True,3,94,6,"{'minutes': 4, 'seconds': 17}",3,35,65,"{'minutes': 1, 'seconds': 54}",4,-1,FUMBLE,True,10,7,13,7,
Alabama,SEC,Florida State,ACC,400933827,40093382718,17,True,3,89,11,"{'minutes': 1, 'seconds': 54}",3,100,0,"{'minutes': 1, 'seconds': 41}",1,11,TD,True,13,7,21,7,
Florida State,ACC,Alabama,SEC,400933827,40093382719,18,False,3,75,75,"{'minutes': 1, 'seconds': 41}",3,72,72,"{'seconds': 56, 'minutes': 0}",2,3,INT,False,7,21,7,21,
Alabama,SEC,Florida State,ACC,400933827,40093382720,19,False,3,58,42,"{'seconds': 56, 'minutes': 0}",4,76,24,"{'minutes': 12, 'seconds': 28}",8,18,MISSED FG,True,21,7,21,7,
Florida State,ACC,Alabama,SEC,400933827,40093382721,20,False,4,76,76,"{'minutes': 12, 'seconds': 28}",4,76,76,"{'minutes': 12, 'seconds': 22}",1,0,INT,False,7,21,7,21,
Alabama,SEC,Florida State,ACC,400933827,40093382722,21,False,4,69,31,"{'minutes': 12, 'seconds': 22}",4,66,34,"{'minutes': 10, 'seconds': 48}",3,-3,PUNT,True,21,7,21,7,
