_offense,_offense_conference,_defense,_defense_conference,_game_id,_id,_drive_number,_scoring,_start_period,_start_yardline,_start_yards_to_goal,_start_time,_end_period,_end_yardline,_end_yards_to_goal,_end_time,_plays,_yards,_drive_result,_is_home_offense,_start_offense_score,_start_defense_score,_end_offense_score,_end_defense_score,discriminator
Arizona State,Pac-12,Northern Arizona,,322430009,32243000901,1,True,1,27,73,"{'minutes': 15, 'seconds': 0}",1,100,0,"{'minutes': 11, 'seconds': 26}",9,73,RUSHING TD,True,0,0,7,0,
Northern Arizona,,Arizona State,Pac-12,322430009,32243000902,2,False,1,85,85,"{'minutes': 11, 'seconds': 26}",1,80,80,"{'minutes': 8, 'seconds': 36}",4,5,PUNT,False,0,7,0,7,
Arizona State,Pac-12,Northern Arizona,,322430009,32243000903,3,True,1,19,81,"{'minutes': 8, 'seconds': 36}",1,100,0,"{'minutes': 6, 'seconds': 10}",7,81,RUSHING TD,True,7,0,14,0,
Northern Arizona,,Arizona State,Pac-12,322430009,32243000904,4,False,1,61,61,"{'minutes': 6, 'seconds': 10}",1,56,56,"{'minutes': 4, 'seconds': 32}",3,5,PUNT,False,0,14,0,14,
Arizona State,Pac-12,Northern Arizona,,322430009,32243000905,5,False,1,15,85,"{'minutes': 4, 'seconds': 32}",1,74,26,"{'minutes': 2, 'seconds': 34}",7,56,FUMBLE,True,14,0,14,0,
Northern Arizona,,Arizona State,Pac-12,322430009,32243000906,6,False,1,71,71,"{'minutes': 2, 'seconds': 34}",1,77,77,"{'seconds': 27, 'minutes': 0}",3,-6,PUNT,False,0,14,0,14,
Arizona State,Pac-12,Northern Arizona,,322430009,32243000907,7,True,1,36,64,"{'seconds': 27, 'minutes': 0}",2,100,0,"{'minutes': 13, 'seconds': 19}",6,64,RUSHING TD,True,14,0,21,0,
Northern Arizona,,Arizona State,Pac-12,322430009,32243000908,8,True,2,74,74,"{'minutes': 13, 'seconds': 19}",2,68,68,"{'minutes': 11, 'seconds': 12}",4,6,INT TD,False,0,21,0,28,
Northern Arizona,,Arizona State,Pac-12,322430009,32243000909,9,False,2,75,75,"{'minutes': 11, 'seconds': 12}",2,79,79,"{'minutes': 9, 'seconds': 48}",3,-4,PUNT,False,0,28,0,28,
Arizona State,Pac-12,Northern Arizona,,322430009,32243000910,10,True,2,43,57,"{'minutes': 9, 'seconds': 48}",2,100,0,"{'minutes': 7, 'seconds': 43}",5,57,RUSHING TD,True,28,0,35,0,
Northern Arizona,,Arizona State,Pac-12,322430009,32243000911,11,False,2,75,75,"{'minutes': 7, 'seconds': 43}",2,53,53,"{'minutes': 4, 'seconds': 56}",8,22,INT,False,0,35,0,35,
Arizona State,Pac-12,Northern Arizona,,322430009,32243000912,12,True,2,97,3,"{'minutes': 4, 'seconds': 56}",2,100,0,"{'minutes': 4, 'seconds': 25}",2,3,RUSHING TD,True,35,0,42,0,
