_offense,_offense_conference,_defense,_defense_conference,_game_id,_id,_drive_number,_scoring,_start_period,_start_yardline,_start_yards_to_goal,_start_time,_end_period,_end_yardline,_end_yards_to_goal,_end_time,_plays,_yards,_drive_result,_is_home_offense,_start_offense_score,_start_defense_score,_end_offense_score,_end_defense_score,discriminator
UC Davis,,Arizona State,Pac-12,312440009,31244000901,1,False,1,76,76,"{'minutes': 15, 'seconds': 0}",1,61,61,"{'minutes': 15, 'seconds': 0}",5,15,PUNT,False,0,0,0,0,
Arizona State,Pac-12,UC Davis,,312440009,31244000902,2,True,1,45,55,"{'minutes': 15, 'seconds': 0}",1,100,0,"{'minutes': 10, 'seconds': 43}",3,55,RUSHING TD,True,0,0,7,0,
UC Davis,,Arizona State,Pac-12,312440009,31244000903,3,False,1,65,65,"{'minutes': 10, 'seconds': 43}",1,47,47,"{'minutes': 10, 'seconds': 33}",6,18,PUNT,False,0,7,0,7,
Arizona State,Pac-12,UC Davis,,312440009,31244000904,4,False,1,7,93,"{'minutes': 10, 'seconds': 33}",1,27,73,"{'minutes': 4, 'seconds': 49}",5,20,PUNT,True,7,0,7,0,
Arizona State,Pac-12,UC Davis,,312440009,31244000906,5,True,1,85,15,"{'minutes': 4, 'seconds': 49}",1,100,0,"{'minutes': 3, 'seconds': 34}",4,15,RUSHING TD,True,7,0,14,0,
UC Davis,,Arizona State,Pac-12,312440009,31244000907,6,False,1,78,78,"{'minutes': 3, 'seconds': 34}",1,84,84,"{'minutes': 3, 'seconds': 34}",3,-6,PUNT,False,0,14,0,14,
Arizona State,Pac-12,UC Davis,,312440009,31244000908,7,True,1,51,49,"{'minutes': 3, 'seconds': 34}",2,100,0,"{'minutes': 14, 'seconds': 53}",4,49,PASSING TD,True,14,0,21,0,
UC Davis,,Arizona State,Pac-12,312440009,31244000909,8,False,2,80,80,"{'minutes': 14, 'seconds': 53}",2,55,55,"{'minutes': 14, 'seconds': 53}",6,25,PUNT,False,0,21,0,21,
Arizona State,Pac-12,UC Davis,,312440009,31244000910,9,False,2,30,70,"{'minutes': 14, 'seconds': 53}",2,74,26,"{'minutes': 10, 'seconds': 27}",5,44,TURNOVER ON DOWNS,True,21,0,21,0,
UC Davis,,Arizona State,Pac-12,312440009,31244000911,10,False,2,74,74,"{'minutes': 10, 'seconds': 27}",2,64,64,"{'minutes': 7, 'seconds': 53}",6,10,PUNT,False,0,21,0,21,
Arizona State,Pac-12,UC Davis,,312440009,31244000912,11,False,2,20,80,"{'minutes': 7, 'seconds': 53}",2,77,23,"{'minutes': 6, 'seconds': 30}",6,57,FUMBLE,True,21,0,21,0,
UC Davis,,Arizona State,Pac-12,312440009,31244000913,12,False,2,77,77,"{'minutes': 6, 'seconds': 30}",2,79,79,"{'minutes': 1, 'seconds': 44}",3,-2,PUNT,False,0,21,0,21,
Arizona State,Pac-12,UC Davis,,312440009,31244000914,13,True,2,49,51,"{'minutes': 1, 'seconds': 44}",2,68,32,"{'seconds': 2, 'minutes': 0}",6,19,FG GOOD,True,21,0,24,0,
UC Davis,,Arizona State,Pac-12,312440009,31244000915,14,True,2,47,47,"{'seconds': 2, 'minutes': 0}",2,47,47,"{'minutes': 0, 'seconds': 0}",0,0,END OF HALF TD,False,0,30,0,30,
Arizona State,Pac-12,UC Davis,,312440009,31244000916,15,True,3,2,98,"{'minutes': 14, 'seconds': 46}",3,100,0,"{'minutes': 14, 'seconds': 46}",0,98,KICKOFF RETURN TD,True,31,0,31,0,
UC Davis,,Arizona State,Pac-12,312440009,31244000917,16,False,3,69,69,"{'minutes': 14, 'seconds': 46}",3,69,69,"{'minutes': 14, 'seconds': 39}",3,0,PUNT,False,0,31,0,31,
Arizona State,Pac-12,UC Davis,,312440009,31244000918,17,False,3,42,58,"{'minutes': 14, 'seconds': 39}",3,70,30,"{'minutes': 13, 'seconds': 31}",6,28,INT,True,31,0,31,0,
