_offense,_offense_conference,_defense,_defense_conference,_game_id,_id,_drive_number,_scoring,_start_period,_start_yardline,_start_yards_to_goal,_start_time,_end_period,_end_yardline,_end_yards_to_goal,_end_time,_plays,_yards,_drive_result,_is_home_offense,_start_offense_score,_start_defense_score,_end_offense_score,_end_defense_score,discriminator
Alabama,SEC,Louisville,ACC,401012246,4010122461,1,True,1,35,65,"{'minutes': 15, 'seconds': 0}",1,100,0,"{'minutes': 11, 'seconds': 55}",7,65,TD,True,0,0,7,0,
Louisville,ACC,Alabama,SEC,401012246,4010122462,2,False,1,75,75,"{'minutes': 11, 'seconds': 55}",1,55,55,"{'minutes': 10, 'seconds': 10}",4,20,PUNT,False,0,7,0,7,
Alabama,SEC,Louisville,ACC,401012246,4010122463,3,False,1,20,80,"{'minutes': 10, 'seconds': 10}",1,65,35,"{'minutes': 7, 'seconds': 4}",8,63,FUMBLE,True,7,0,7,0,
Louisville,ACC,Alabama,SEC,401012246,4010122464,4,False,1,83,83,"{'minutes': 7, 'seconds': 4}",1,84,84,"{'minutes': 6, 'seconds': 4}",3,-1,PUNT,False,0,7,0,7,
Alabama,SEC,Louisville,ACC,401012246,4010122465,5,True,1,45,55,"{'minutes': 6, 'seconds': 4}",1,100,0,"{'minutes': 4, 'seconds': 4}",6,55,TD,True,7,0,14,0,
Louisville,ACC,Alabama,SEC,401012246,4010122466,6,False,1,75,75,"{'minutes': 4, 'seconds': 4}",2,26,26,"{'minutes': 14, 'seconds': 16}",8,49,INT,False,0,14,0,14,
Alabama,SEC,Louisville,ACC,401012246,4010122467,7,True,2,25,75,"{'minutes': 14, 'seconds': 16}",2,100,0,"{'minutes': 11, 'seconds': 24}",6,75,TD,True,14,0,21,0,
Louisville,ACC,Alabama,SEC,401012246,4010122468,8,False,2,86,86,"{'minutes': 11, 'seconds': 24}",2,55,55,"{'minutes': 8, 'seconds': 5}",6,31,PUNT,False,0,21,0,21,
Alabama,SEC,Louisville,ACC,401012246,4010122469,9,False,2,22,78,"{'minutes': 8, 'seconds': 5}",2,41,59,"{'minutes': 6, 'seconds': 18}",5,19,PUNT,True,21,0,21,0,
Louisville,ACC,Alabama,SEC,401012246,40101224610,10,False,2,80,80,"{'minutes': 6, 'seconds': 18}",2,60,60,"{'minutes': 4, 'seconds': 45}",4,20,PUNT,False,0,21,0,21,
Alabama,SEC,Louisville,ACC,401012246,40101224611,11,False,2,20,80,"{'minutes': 4, 'seconds': 45}",2,53,47,"{'minutes': 2, 'seconds': 2}",6,33,PUNT,True,21,0,21,0,
Louisville,ACC,Alabama,SEC,401012246,40101224612,12,False,2,85,85,"{'minutes': 2, 'seconds': 2}",2,91,91,"{'seconds': 27, 'minutes': 0}",3,-6,PUNT,False,0,21,0,21,
Alabama,SEC,Louisville,ACC,401012246,40101224613,13,True,2,75,25,"{'seconds': 27, 'minutes': 0}",2,100,0,"{'seconds': 9, 'minutes': 0}",3,25,TD,True,21,0,28,0,
Louisville,ACC,Alabama,SEC,401012246,40101224614,14,False,2,75,75,"{'seconds': 9, 'minutes': 0}",2,77,77,"{'minutes': 0, 'seconds': 0}",1,-2,END OF HALF,False,0,28,0,28,
Louisville,ACC,Alabama,SEC,401012246,40101224615,15,False,3,75,75,"{'minutes': 15, 'seconds': 0}",3,65,65,"{'minutes': 11, 'seconds': 10}",6,10,PUNT,False,0,28,0,28,
Alabama,SEC,Louisville,ACC,401012246,40101224616,16,True,3,37,63,"{'minutes': 11, 'seconds': 10}",3,100,0,"{'minutes': 10, 'seconds': 3}",4,63,TD,True,28,0,34,0,
Louisville,ACC,Alabama,SEC,401012246,40101224617,17,True,3,75,75,"{'minutes': 10, 'seconds': 3}",3,3,3,"{'minutes': 6, 'seconds': 27}",10,75,TD,False,0,34,7,34,
Alabama,SEC,Louisville,ACC,401012246,40101224618,18,True,3,100,0,"{'minutes': 6, 'seconds': 27}",3,100,0,"{'minutes': 6, 'seconds': 16}",0,0,TD,True,34,7,41,7,
Louisville,ACC,Alabama,SEC,401012246,40101224619,19,False,3,20,20,"{'minutes': 6, 'seconds': 16}",3,80,80,"{'minutes': 4, 'seconds': 1}",3,-4,PUNT,False,7,41,7,41,
Alabama,SEC,Louisville,ACC,401012246,40101224620,20,True,3,42,58,"{'minutes': 4, 'seconds': 1}",3,79,21,"{'seconds': 45, 'minutes': 0}",6,37,FG,True,41,7,44,7,
Louisville,ACC,Alabama,SEC,401012246,40101224621,21,False,3,94,94,"{'seconds': 45, 'minutes': 0}",4,68,68,"{'minutes': 14, 'seconds': 34}",6,26,PUNT,False,7,44,7,44,
