_offense,_offense_conference,_defense,_defense_conference,_game_id,_id,_drive_number,_scoring,_start_period,_start_yardline,_start_yards_to_goal,_start_time,_end_period,_end_yardline,_end_yards_to_goal,_end_time,_plays,_yards,_drive_result,_is_home_offense,_start_offense_score,_start_defense_score,_end_offense_score,_end_defense_score,discriminator
Alabama,SEC,Duke,ACC,401110720,4011107201,1,False,1,22,78,"{'minutes': 15, 'seconds': 0}",1,19,81,"{'minutes': 12, 'seconds': 57}",3,-3,PUNT,True,0,0,0,0,
Duke,ACC,Alabama,SEC,401110720,4011107202,2,False,1,55,55,"{'minutes': 12, 'seconds': 57}",1,52,52,"{'minutes': 11, 'seconds': 49}",3,3,PUNT,False,0,0,0,0,
Alabama,SEC,Duke,ACC,401110720,4011107203,3,False,1,17,83,"{'minutes': 11, 'seconds': 49}",1,23,77,"{'minutes': 11, 'seconds': 24}",2,9,FUMBLE,True,0,0,0,0,
Duke,ACC,Alabama,SEC,401110720,4011107204,4,False,1,26,26,"{'minutes': 11, 'seconds': 24}",1,7,7,"{'minutes': 8, 'seconds': 28}",7,19,DOWNS,False,0,0,0,0,
Alabama,SEC,Duke,ACC,401110720,4011107205,5,False,1,7,93,"{'minutes': 8, 'seconds': 28}",1,69,31,"{'minutes': 3, 'seconds': 25}",12,62,MISSED FG,True,0,0,0,0,
Duke,ACC,Alabama,SEC,401110720,4011107206,6,False,1,68,68,"{'minutes': 3, 'seconds': 25}",1,48,48,"{'seconds': 51, 'minutes': 0}",5,20,PUNT,False,0,0,0,0,
Alabama,SEC,Duke,ACC,401110720,4011107207,7,True,1,20,80,"{'seconds': 51, 'minutes': 0}",2,100,0,"{'minutes': 10, 'seconds': 2}",12,80,TD,True,0,0,7,0,
Duke,ACC,Alabama,SEC,401110720,4011107208,8,False,2,75,75,"{'minutes': 10, 'seconds': 2}",2,81,81,"{'minutes': 8, 'seconds': 24}",3,-6,PUNT,False,0,7,0,7,
Alabama,SEC,Duke,ACC,401110720,4011107209,9,True,2,24,76,"{'minutes': 8, 'seconds': 24}",2,100,0,"{'minutes': 5, 'seconds': 13}",7,76,TD,True,7,0,14,0,
Duke,ACC,Alabama,SEC,401110720,40111072010,10,False,2,75,75,"{'minutes': 5, 'seconds': 13}",2,67,67,"{'minutes': 3, 'seconds': 18}",3,8,PUNT,False,0,14,0,14,
Alabama,SEC,Duke,ACC,401110720,40111072011,11,False,2,33,67,"{'minutes': 3, 'seconds': 18}",2,40,60,"{'minutes': 1, 'seconds': 22}",3,7,PUNT,True,14,0,14,0,
Duke,ACC,Alabama,SEC,401110720,40111072012,12,True,2,81,81,"{'minutes': 1, 'seconds': 22}",2,12,12,"{'seconds': 11, 'minutes': 0}",7,69,FG,False,0,14,3,14,
Alabama,SEC,Duke,ACC,401110720,40111072013,13,False,2,29,71,"{'seconds': 11, 'minutes': 0}",2,27,73,"{'minutes': 0, 'seconds': 0}",1,-2,END OF HALF,True,14,3,14,3,
Duke,ACC,Alabama,SEC,401110720,40111072014,14,False,3,75,75,"{'minutes': 15, 'seconds': 0}",3,37,37,"{'minutes': 12, 'seconds': 11}",9,40,DOWNS,False,3,14,3,14,
Alabama,SEC,Duke,ACC,401110720,40111072015,15,True,3,35,65,"{'minutes': 12, 'seconds': 11}",3,100,0,"{'minutes': 8, 'seconds': 34}",9,65,TD,True,14,3,21,3,
Duke,ACC,Alabama,SEC,401110720,40111072016,16,False,3,75,75,"{'minutes': 8, 'seconds': 34}",3,75,75,"{'minutes': 8, 'seconds': 25}",1,3,FUMBLE,False,3,21,3,21,
Alabama,SEC,Duke,ACC,401110720,40111072017,17,True,3,72,28,"{'minutes': 8, 'seconds': 25}",3,100,0,"{'minutes': 7, 'seconds': 32}",3,28,TD,True,21,3,28,3,
Duke,ACC,Alabama,SEC,401110720,40111072018,18,False,3,75,75,"{'minutes': 7, 'seconds': 32}",3,70,70,"{'minutes': 5, 'seconds': 56}",3,5,PUNT,False,3,28,3,28,
Alabama,SEC,Duke,ACC,401110720,40111072019,19,True,3,10,90,"{'minutes': 5, 'seconds': 56}",3,100,0,"{'minutes': 1, 'seconds': 36}",9,90,TD,True,28,3,35,3,
Duke,ACC,Alabama,SEC,401110720,40111072020,20,False,3,75,75,"{'minutes': 1, 'seconds': 36}",3,50,50,"{'seconds': 21, 'minutes': 0}",3,25,INT,False,3,35,3,35,
Alabama,SEC,Duke,ACC,401110720,40111072021,21,False,3,26,74,"{'seconds': 21, 'minutes': 0}",4,70,30,"{'minutes': 9, 'seconds': 16}",13,44,MISSED FG,True,35,3,35,3,
Duke,ACC,Alabama,SEC,401110720,40111072022,22,False,4,70,70,"{'minutes': 9, 'seconds': 16}",4,64,64,"{'minutes': 7, 'seconds': 15}",3,6,PUNT,False,3,35,3,35,
Alabama,SEC,Duke,ACC,401110720,40111072023,23,True,4,51,49,"{'minutes': 7, 'seconds': 15}",4,100,0,"{'minutes': 4, 'seconds': 51}",5,49,TD,True,35,3,42,3,
Duke,ACC,Alabama,SEC,401110720,40111072024,24,False,4,75,75,"{'minutes': 4, 'seconds': 51}",4,40,40,"{'seconds': 40, 'minutes': 0}",8,35,INT,False,3,42,3,42,
Alabama,SEC,Duke,ACC,401110720,40111072025,25,False,4,20,80,"{'seconds': 40, 'minutes': 0}",4,18,82,"{'minutes': 0, 'seconds': 0}",1,-2,END OF GAME,True,42,3,42,3,
Portland State,,Arkansas,SEC,401110721,4011107211,1,True,1,75,75,"{'minutes': 15, 'seconds': 0}",1,33,33,"{'minutes': 13, 'seconds': 9}",6,42,FG,False,0,0,3,0,
Arkansas,SEC,Portland State,,401110721,4011107212,2,True,1,30,70,"{'minutes': 13, 'seconds': 9}",1,84,16,"{'minutes': 9, 'seconds': 40}",9,54,FG,True,0,3,3,3,
Portland State,,Arkansas,SEC,401110721,4011107213,3,False,1,75,75,"{'minutes': 9, 'seconds': 40}",1,77,77,"{'minutes': 7, 'seconds': 31}",3,-2,PUNT,False,3,3,3,3,
Arkansas,SEC,Portland State,,401110721,4011107214,4,True,1,36,64,"{'minutes': 7, 'seconds': 31}",1,100,0,"{'minutes': 3, 'seconds': 16}",10,64,TD,True,3,3,10,3,
Portland State,,Arkansas,SEC,401110721,4011107215,5,True,1,75,75,"{'minutes': 3, 'seconds': 16}",2,30,30,"{'minutes': 14, 'seconds': 7}",11,45,FG,False,3,10,6,10,
Arkansas,SEC,Portland State,,401110721,4011107216,6,False,2,27,73,"{'minutes': 14, 'seconds': 7}",2,29,71,"{'minutes': 12, 'seconds': 29}",3,2,PUNT,True,10,6,10,6,
Portland State,,Arkansas,SEC,401110721,4011107217,7,False,2,65,65,"{'minutes': 12, 'seconds': 29}",2,41,41,"{'minutes': 9, 'seconds': 10}",6,24,PUNT,False,6,10,6,10,
Arkansas,SEC,Portland State,,401110721,4011107218,8,False,2,20,80,"{'minutes': 9, 'seconds': 10}",2,60,40,"{'minutes': 3, 'seconds': 37}",10,40,PUNT,True,10,6,10,6,
