_season,_id,_name,_position,_team,_conference,_usage,discriminator
2018,4038524,Gardner Minshew,QB,Washington State,Pac-12,"{'overall': 0.7466, 'pass': 0.978, 'rush': 0.1756, 'firstDown': 0.6783, 'secondDown': 0.789, 'thirdDown': 0.873, 'standardDowns': 0.705, 'passingDowns': 0.856}",
2018,3675812,Bryce Perkins,QB,Virginia,ACC,"{'overall': 0.6424, 'pass': 0.9793, 'rush': 0.3849, 'firstDown': 0.6047, 'secondDown': 0.672, 'thirdDown': 0.724, 'standardDowns': 0.604, 'passingDowns': 0.742}",
2018,4036585,Caleb Evans,QB,Louisiana Monroe,Sun Belt,"{'overall': 0.6345, 'pass': 0.9652, 'rush': 0.3067, 'firstDown': 0.5861, 'secondDown': 0.606, 'thirdDown': 0.813, 'standardDowns': 0.571, 'passingDowns': 0.772}",
2018,4038220,Cole McDonald,QB,Hawai'i,Mountain West,"{'overall': 0.6334, 'pass': 0.8744, 'rush': 0.2732, 'firstDown': 0.581, 'secondDown': 0.666, 'thirdDown': 0.725, 'standardDowns': 0.594, 'passingDowns': 0.716}",
2018,4239134,David Pindell,QB,Connecticut,American Athletic,"{'overall': 0.6203, 'pass': 0.896, 'rush': 0.4069, 'firstDown': 0.5055, 'secondDown': 0.629, 'thirdDown': 0.835, 'standardDowns': 0.55, 'passingDowns': 0.763}",
2018,4038741,Kato Nelson,QB,Akron,Mid-American,"{'overall': 0.6089, 'pass': 0.9125, 'rush': 0.2906, 'firstDown': 0.6055, 'secondDown': 0.593, 'thirdDown': 0.714, 'standardDowns': 0.571, 'passingDowns': 0.667}",
2018,4045290,Peyton Ramsey,QB,Indiana,Big Ten,"{'overall': 0.6039, 'pass': 0.9324, 'rush': 0.2145, 'firstDown': 0.5153, 'secondDown': 0.657, 'thirdDown': 0.741, 'standardDowns': 0.549, 'passingDowns': 0.734}",
2018,3122424,Taylor Cornelius,QB,Oklahoma State,Big 12,"{'overall': 0.5955, 'pass': 0.9866, 'rush': 0.1883, 'firstDown': 0.5551, 'secondDown': 0.581, 'thirdDown': 0.771, 'standardDowns': 0.553, 'passingDowns': 0.689}",
2018,4362340,Woody Barrett,QB,Kent State,Mid-American,"{'overall': 0.5954, 'pass': 0.9325, 'rush': 0.2658, 'firstDown': 0.5789, 'secondDown': 0.557, 'thirdDown': 0.721, 'standardDowns': 0.558, 'passingDowns': 0.662}",
2018,558337,Nick Fitzgerald,QB,Mississippi State,SEC,"{'overall': 0.5898, 'pass': 0.8786, 'rush': 0.3996, 'firstDown': 0.5645, 'secondDown': 0.547, 'thirdDown': 0.743, 'standardDowns': 0.543, 'passingDowns': 0.705}",
2018,3914382,J'Mar Smith,QB,Louisiana Tech,Conference USA,"{'overall': 0.5889, 'pass': 0.9659, 'rush': 0.1499, 'firstDown': 0.4975, 'secondDown': 0.613, 'thirdDown': 0.775, 'standardDowns': 0.484, 'passingDowns': 0.799}",
2018,3116172,Trace McSorley,QB,Penn State,Big Ten,"{'overall': 0.5838, 'pass': 0.9457, 'rush': 0.2985, 'firstDown': 0.5613, 'secondDown': 0.569, 'thirdDown': 0.73, 'standardDowns': 0.538, 'passingDowns': 0.683}",
2018,545683,Brent Stockstill,QB,Middle Tennessee,Conference USA,"{'overall': 0.58, 'pass': 0.9532, 'rush': 0.1842, 'firstDown': 0.494, 'secondDown': 0.649, 'thirdDown': 0.695, 'standardDowns': 0.514, 'passingDowns': 0.712}",
2018,3116188,David Blough,QB,Purdue,Big Ten,"{'overall': 0.5791, 'pass': 0.9096, 'rush': 0.1304, 'firstDown': 0.5109, 'secondDown': 0.633, 'thirdDown': 0.703, 'standardDowns': 0.489, 'passingDowns': 0.771}",
2018,4240904,Kellen Mond,QB,Texas A&M,SEC,"{'overall': 0.5606, 'pass': 0.9426, 'rush': 0.2254, 'firstDown': 0.462, 'secondDown': 0.608, 'thirdDown': 0.802, 'standardDowns': 0.463, 'passingDowns': 0.767}",
2018,4241820,Sam Ehlinger,QB,Texas,Big 12,"{'overall': 0.559, 'pass': 0.9012, 'rush': 0.2617, 'firstDown': 0.5284, 'secondDown': 0.484, 'thirdDown': 0.778, 'standardDowns': 0.521, 'passingDowns': 0.643}",
2018,3915436,Steven Montez,QB,Colorado,Pac-12,"{'overall': 0.5559, 'pass': 0.9441, 'rush': 0.1555, 'firstDown': 0.485, 'secondDown': 0.578, 'thirdDown': 0.714, 'standardDowns': 0.452, 'passingDowns': 0.756}",
2018,4242418,Jordan Ta'amu,QB,Ole Miss,SEC,"{'overall': 0.555, 'pass': 0.8627, 'rush': 0.213, 'firstDown': 0.5704, 'secondDown': 0.542, 'thirdDown': 0.615, 'standardDowns': 0.523, 'passingDowns': 0.632}",
2018,3921561,Deondre Francois,QB,Florida State,ACC,"{'overall': 0.5525, 'pass': 0.8636, 'rush': 0.1425, 'firstDown': 0.4674, 'secondDown': 0.581, 'thirdDown': 0.698, 'standardDowns': 0.463, 'passingDowns': 0.69}",
2018,4361182,Adrian Martinez,QB,Nebraska,Big Ten,"{'overall': 0.5503, 'pass': 0.8585, 'rush': 0.2683, 'firstDown': 0.5198, 'secondDown': 0.561, 'thirdDown': 0.637, 'standardDowns': 0.523, 'passingDowns': 0.615}",
2018,3128814,Manny Wilkins,QB,Arizona State,Pac-12,"{'overall': 0.5488, 'pass': 0.9901, 'rush': 0.2016, 'firstDown': 0.4849, 'secondDown': 0.566, 'thirdDown': 0.724, 'standardDowns': 0.473, 'passingDowns': 0.724}",
2018,4044431,K.J. Costello,QB,Stanford,Pac-12,"{'overall': 0.5481, 'pass': 0.9707, 'rush': 0.0552, 'firstDown': 0.4768, 'secondDown': 0.582, 'thirdDown': 0.688, 'standardDowns': 0.492, 'passingDowns': 0.661}",
2018,3917315,Kyler Murray,QB,Oklahoma,Big 12,"{'overall': 0.5467, 'pass': 0.9396, 'rush': 0.24, 'firstDown': 0.4711, 'secondDown': 0.62, 'thirdDown': 0.698, 'standardDowns': 0.495, 'passingDowns': 0.69}",
2018,4039073,Mason Fine,QB,North Texas,Conference USA,"{'overall': 0.5435, 'pass': 0.9254, 'rush': 0.1083, 'firstDown': 0.5156, 'secondDown': 0.534, 'thirdDown': 0.706, 'standardDowns': 0.479, 'passingDowns': 0.688}",
2018,4039470,Marcus Childers,QB,Northern Illinois,Mid-American,"{'overall': 0.5417, 'pass': 0.9178, 'rush': 0.259, 'firstDown': 0.4884, 'secondDown': 0.531, 'thirdDown': 0.722, 'standardDowns': 0.481, 'passingDowns': 0.675}",
2018,4040616,Dwayne Haskins,QB,Ohio State,Big Ten,"{'overall': 0.5377, 'pass': 0.9481, 'rush': 0.1082, 'firstDown': 0.4556, 'secondDown': 0.58, 'thirdDown': 0.735, 'standardDowns': 0.463, 'passingDowns': 0.735}",
2018,4361902,Dan Ellington,QB,Georgia State,Sun Belt,"{'overall': 0.5365, 'pass': 0.8277, 'rush': 0.3093, 'firstDown': 0.4728, 'secondDown': 0.578, 'thirdDown': 0.669, 'standardDowns': 0.479, 'passingDowns': 0.649}",
