_season,_id,_name,_position,_team,_conference,_usage,discriminator
2014,552951,Jimmy Williams,WR,East Carolina,American Athletic,"{'overall': 0.0309, 'pass': 0.0466, 'rush': 0.0051, 'firstDown': 0.0279, 'secondDown': 0.02, 'thirdDown': 0.059, 'standardDowns': 0.029, 'passingDowns': 0.035}",
2014,550477,Damion Terry,QB,Michigan State,Big Ten,"{'overall': 0.0309, 'pass': 0.0463, 'rush': 0.0208, 'firstDown': 0.0175, 'secondDown': 0.038, 'thirdDown': 0.051, 'standardDowns': 0.02, 'passingDowns': 0.058}",
2014,517815,David Morgan II,TE,UT San Antonio,Conference USA,"{'overall': 0.0309, 'pass': 0.0651, 'rush': 0, 'firstDown': 0.0236, 'secondDown': 0.031, 'thirdDown': 0.045, 'standardDowns': 0.029, 'passingDowns': 0.034}",
2014,550669,Bryce Bobo,WR,Colorado,Pac-12,"{'overall': 0.0308, 'pass': 0.0532, 'rush': 0.0023, 'firstDown': 0.0259, 'secondDown': 0.033, 'thirdDown': 0.039, 'standardDowns': 0.027, 'passingDowns': 0.038}",
2014,518802,Jamal Wilson,RB,UMass,FBS Independents,"{'overall': 0.0308, 'pass': 0.0136, 'rush': 0.056, 'firstDown': 0.0287, 'secondDown': 0.032, 'thirdDown': 0.04, 'standardDowns': 0.03, 'passingDowns': 0.032}",
2014,532123,Sabian Holmes,WR,Texas A&M,SEC,"{'overall': 0.0307, 'pass': 0.0539, 'rush': 0, 'firstDown': 0.0282, 'secondDown': 0.039, 'thirdDown': 0.017, 'standardDowns': 0.03, 'passingDowns': 0.033}",
2014,550683,Brendan Cope,WR,Ohio,Mid-American,"{'overall': 0.0306, 'pass': 0.0636, 'rush': 0.0023, 'firstDown': 0.0355, 'secondDown': 0.025, 'thirdDown': 0.028, 'standardDowns': 0.031, 'passingDowns': 0.03}",
2014,512981,Kris Strange,WR,Eastern Michigan,Mid-American,"{'overall': 0.0305, 'pass': 0.0627, 'rush': 0.0028, 'firstDown': 0.0277, 'secondDown': 0.036, 'thirdDown': 0.031, 'standardDowns': 0.024, 'passingDowns': 0.044}",
2014,501173,Bryan Underwood,WR,NC State,ACC,"{'overall': 0.0305, 'pass': 0.0399, 'rush': 0.0234, 'firstDown': 0.0382, 'secondDown': 0.017, 'thirdDown': 0.04, 'standardDowns': 0.029, 'passingDowns': 0.034}",
2014,535167,Jehu Chesson,WR,Michigan,Big Ten,"{'overall': 0.0305, 'pass': 0.0659, 'rush': 0, 'firstDown': 0.0358, 'secondDown': 0.033, 'thirdDown': 0.019, 'standardDowns': 0.028, 'passingDowns': 0.036}",
2014,534252,Amba Etta-Tawo,WR,Maryland,Big Ten,"{'overall': 0.0305, 'pass': 0.0578, 'rush': 0, 'firstDown': 0.0146, 'secondDown': 0.024, 'thirdDown': 0.076, 'standardDowns': 0.014, 'passingDowns': 0.062}",
2014,547563,John Tsimis,WR,Rutgers,Big Ten,"{'overall': 0.0304, 'pass': 0.0672, 'rush': 0.0021, 'firstDown': 0.0322, 'secondDown': 0.025, 'thirdDown': 0.041, 'standardDowns': 0.029, 'passingDowns': 0.034}",
2014,559748,Ethan Wolf,TE,Tennessee,SEC,"{'overall': 0.0304, 'pass': 0.0612, 'rush': 0, 'firstDown': 0.0302, 'secondDown': 0.04, 'thirdDown': 0.019, 'standardDowns': 0.026, 'passingDowns': 0.039}",
2014,531137,Dondre Daley,WR,Iowa State,Big 12,"{'overall': 0.0304, 'pass': 0.0522, 'rush': 0, 'firstDown': 0.018, 'secondDown': 0.05, 'thirdDown': 0.025, 'standardDowns': 0.016, 'passingDowns': 0.059}",
2014,514634,Tyler Williams,WR,Akron,Mid-American,"{'overall': 0.0303, 'pass': 0.0497, 'rush': 0, 'firstDown': 0.0309, 'secondDown': 0.031, 'thirdDown': 0.033, 'standardDowns': 0.027, 'passingDowns': 0.036}",
2014,3126264,Terren Encalade,WR,Tulane,American Athletic,"{'overall': 0.0302, 'pass': 0.056, 'rush': 0, 'firstDown': 0.0307, 'secondDown': 0.032, 'thirdDown': 0.032, 'standardDowns': 0.033, 'passingDowns': 0.025}",
2014,3128260,J-Shun Harris II,WR,Indiana,Big Ten,"{'overall': 0.0302, 'pass': 0.0685, 'rush': 0.0065, 'firstDown': 0.0336, 'secondDown': 0.028, 'thirdDown': 0.031, 'standardDowns': 0.033, 'passingDowns': 0.024}",
2014,532169,Wes Saxton,TE,South Alabama,Sun Belt,"{'overall': 0.0302, 'pass': 0.0651, 'rush': 0, 'firstDown': 0.026, 'secondDown': 0.033, 'thirdDown': 0.039, 'standardDowns': 0.025, 'passingDowns': 0.041}",
2014,505304,Davis Dudchock,TE,Vanderbilt,SEC,"{'overall': 0.0301, 'pass': 0.0596, 'rush': 0, 'firstDown': 0.0307, 'secondDown': 0.04, 'thirdDown': 0.013, 'standardDowns': 0.029, 'passingDowns': 0.032}",
2014,505319,Ricky Seale,RB,Stanford,Pac-12,"{'overall': 0.0301, 'pass': 0.0053, 'rush': 0.0526, 'firstDown': 0.029, 'secondDown': 0.041, 'thirdDown': 0.019, 'standardDowns': 0.032, 'passingDowns': 0.026}",
2014,530869,Pharaoh Brown,TE,Oregon,Pac-12,"{'overall': 0.0301, 'pass': 0.0676, 'rush': 0, 'firstDown': 0.0358, 'secondDown': 0.028, 'thirdDown': 0.025, 'standardDowns': 0.033, 'passingDowns': 0.023}",
2014,518196,Kyle Carter,TE,Penn State,Big Ten,"{'overall': 0.0301, 'pass': 0.0539, 'rush': 0, 'firstDown': 0.0349, 'secondDown': 0.026, 'thirdDown': 0.033, 'standardDowns': 0.033, 'passingDowns': 0.024}",
2014,3122119,Ish Witter,RB,Missouri,SEC,"{'overall': 0.03, 'pass': 0.0046, 'rush': 0.0522, 'firstDown': 0.0244, 'secondDown': 0.042, 'thirdDown': 0.023, 'standardDowns': 0.027, 'passingDowns': 0.036}",
2014,550775,Aaron Kemper,RB,Army,FBS Independents,"{'overall': 0.03, 'pass': 0, 'rush': 0.036, 'firstDown': 0.0332, 'secondDown': 0.032, 'thirdDown': 0.026, 'standardDowns': 0.03, 'passingDowns': 0.03}",
2014,550114,Ryan Buchanan,QB,Ole Miss,SEC,"{'overall': 0.0299, 'pass': 0.0526, 'rush': 0.0074, 'firstDown': 0.0161, 'secondDown': 0.044, 'thirdDown': 0.036, 'standardDowns': 0.023, 'passingDowns': 0.044}",
2014,521159,Broam Hart,RB,Air Force,Mountain West,"{'overall': 0.0298, 'pass': 0, 'rush': 0.0388, 'firstDown': 0.0282, 'secondDown': 0.043, 'thirdDown': 0.019, 'standardDowns': 0.03, 'passingDowns': 0.03}",
2014,550330,John Ross,WR,Washington,Pac-12,"{'overall': 0.0298, 'pass': 0.0582, 'rush': 0.0095, 'firstDown': 0.0389, 'secondDown': 0.032, 'thirdDown': 0.015, 'standardDowns': 0.025, 'passingDowns': 0.039}",
2014,502905,Martize Barr,WR,Illinois,Big Ten,"{'overall': 0.0297, 'pass': 0.0527, 'rush': 0, 'firstDown': 0.0308, 'secondDown': 0.018, 'thirdDown': 0.043, 'standardDowns': 0.031, 'passingDowns': 0.027}",
2014,550597,Kody Cook,WR,Kansas State,Big 12,"{'overall': 0.0297, 'pass': 0.0608, 'rush': 0, 'firstDown': 0.0195, 'secondDown': 0.031, 'thirdDown': 0.058, 'standardDowns': 0.022, 'passingDowns': 0.047}",
2014,500975,Connor Reilly,QB,Temple,American Athletic,"{'overall': 0.0296, 'pass': 0.0478, 'rush': 0.0087, 'firstDown': 0.0279, 'secondDown': 0.024, 'thirdDown': 0.043, 'standardDowns': 0.025, 'passingDowns': 0.037}",
2014,552746,Michael Julian,QB,Toledo,Mid-American,"{'overall': 0.0296, 'pass': 0.0497, 'rush': 0.0156, 'firstDown': 0.0146, 'secondDown': 0.033, 'thirdDown': 0.064, 'standardDowns': 0.017, 'passingDowns': 0.065}",
2014,515500,Terenn Houk,WR,BYU,FBS Independents,"{'overall': 0.0295, 'pass': 0.0603, 'rush': 0, 'firstDown': 0.0235, 'secondDown': 0.026, 'thirdDown': 0.044, 'standardDowns': 0.02, 'passingDowns': 0.05}",
2014,514113,David Richards,WR,Arizona,Pac-12,"{'overall': 0.0295, 'pass': 0.0566, 'rush': 0, 'firstDown': 0.0143, 'secondDown': 0.037, 'thirdDown': 0.051, 'standardDowns': 0.022, 'passingDowns': 0.044}",
2014,3139487,Vincent Testaverde,QB,Texas Tech,Big 12,"{'overall': 0.0295, 'pass': 0.0446, 'rush': 0.0058, 'firstDown': 0.0218, 'secondDown': 0.02, 'thirdDown': 0.057, 'standardDowns': 0.029, 'passingDowns': 0.031}",
2014,501882,Blake Bell,TE,Oklahoma,Big 12,"{'overall': 0.0295, 'pass': 0.0658, 'rush': 0.0037, 'firstDown': 0.0301, 'secondDown': 0.032, 'thirdDown': 0.028, 'standardDowns': 0.029, 'passingDowns': 0.03}",
2014,537103,Martese Jackson,RB,Florida Atlantic,Conference USA,"{'overall': 0.0295, 'pass': 0.0179, 'rush': 0.0406, 'firstDown': 0.0271, 'secondDown': 0.036, 'thirdDown': 0.022, 'standardDowns': 0.028, 'passingDowns': 0.032}",
2014,515871,Darion Griswold,TE,Arkansas State,Sun Belt,"{'overall': 0.0294, 'pass': 0.0637, 'rush': 0, 'firstDown': 0.0291, 'secondDown': 0.019, 'thirdDown': 0.049, 'standardDowns': 0.025, 'passingDowns': 0.038}",
2014,532069,Jason Croom,TE,Tennessee,SEC,"{'overall': 0.0294, 'pass': 0.0592, 'rush': 0, 'firstDown': 0.0186, 'secondDown': 0.031, 'thirdDown': 0.053, 'standardDowns': 0.021, 'passingDowns': 0.045}",
2014,532065,Nathan Peterman,QB,Tennessee,SEC,"{'overall': 0.0294, 'pass': 0.0449, 'rush': 0.0146, 'firstDown': 0.0256, 'secondDown': 0.022, 'thirdDown': 0.053, 'standardDowns': 0.023, 'passingDowns': 0.042}",
2014,547842,Chad Beebe,WR,Northern Illinois,Mid-American,"{'overall': 0.0294, 'pass': 0.0761, 'rush': 0.003, 'firstDown': 0.0255, 'secondDown': 0.039, 'thirdDown': 0.027, 'standardDowns': 0.027, 'passingDowns': 0.036}",
2014,545392,Tyler Brown,RB,Iowa State,Big 12,"{'overall': 0.0293, 'pass': 0.0056, 'rush': 0.0642, 'firstDown': 0.036, 'secondDown': 0.033, 'thirdDown': 0.01, 'standardDowns': 0.034, 'passingDowns': 0.02}",
2014,551325,Adam Lane,RB,Florida,SEC,"{'overall': 0.0293, 'pass': 0.003, 'rush': 0.0482, 'firstDown': 0.0342, 'secondDown': 0.033, 'thirdDown': 0.016, 'standardDowns': 0.03, 'passingDowns': 0.028}",
2014,501523,Mack Brown,RB,Florida,SEC,"{'overall': 0.0293, 'pass': 0.0149, 'rush': 0.0402, 'firstDown': 0.037, 'secondDown': 0.029, 'thirdDown': 0.016, 'standardDowns': 0.037, 'passingDowns': 0.014}",
2014,3125292,Limihai Hifo,RB,San José State,Mountain West,"{'overall': 0.0292, 'pass': 0.0024, 'rush': 0.0582, 'firstDown': 0.036, 'secondDown': 0.032, 'thirdDown': 0.017, 'standardDowns': 0.034, 'passingDowns': 0.019}",
2014,504744,Kenny Bassett,RB,Oregon,Pac-12,"{'overall': 0.0292, 'pass': 0.004, 'rush': 0.0508, 'firstDown': 0.0245, 'secondDown': 0.042, 'thirdDown': 0.025, 'standardDowns': 0.027, 'passingDowns': 0.035}",
2014,546410,Thomas Tucker,RB,San José State,Mountain West,"{'overall': 0.0292, 'pass': 0.0024, 'rush': 0.0582, 'firstDown': 0.042, 'secondDown': 0.022, 'thirdDown': 0.023, 'standardDowns': 0.038, 'passingDowns': 0.011}",
2014,550588,Delvon Hardaway,WR,Fresno State,Mountain West,"{'overall': 0.0291, 'pass': 0.0561, 'rush': 0, 'firstDown': 0.0259, 'secondDown': 0.034, 'thirdDown': 0.033, 'standardDowns': 0.025, 'passingDowns': 0.037}",
2014,549827,Corey Smith,WR,Ohio State,Big Ten,"{'overall': 0.0291, 'pass': 0.0723, 'rush': 0.0015, 'firstDown': 0.031, 'secondDown': 0.028, 'thirdDown': 0.03, 'standardDowns': 0.022, 'passingDowns': 0.047}",
2014,500711,Eric Tomlinson,TE,UTEP,Conference USA,"{'overall': 0.0291, 'pass': 0.0839, 'rush': 0, 'firstDown': 0.0196, 'secondDown': 0.028, 'thirdDown': 0.053, 'standardDowns': 0.021, 'passingDowns': 0.045}",
2014,514781,Xavier Rush,WR,Tulane,American Athletic,"{'overall': 0.029, 'pass': 0.0539, 'rush': 0, 'firstDown': 0.0084, 'secondDown': 0.049, 'thirdDown': 0.038, 'standardDowns': 0.013, 'passingDowns': 0.056}",
2014,536612,Bryce Williams,TE,East Carolina,American Athletic,"{'overall': 0.029, 'pass': 0.0466, 'rush': 0, 'firstDown': 0.0378, 'secondDown': 0.026, 'thirdDown': 0.016, 'standardDowns': 0.034, 'passingDowns': 0.018}",
2014,514157,Conner Floyd,WR,Tulsa,American Athletic,"{'overall': 0.029, 'pass': 0.0556, 'rush': 0, 'firstDown': 0.0171, 'secondDown': 0.035, 'thirdDown': 0.045, 'standardDowns': 0.019, 'passingDowns': 0.05}",
2014,3127306,Dante Pettis,WR,Washington,Pac-12,"{'overall': 0.0288, 'pass': 0.0684, 'rush': 0, 'firstDown': 0.0285, 'secondDown': 0.026, 'thirdDown': 0.04, 'standardDowns': 0.027, 'passingDowns': 0.033}",
2014,3126339,Blake Bone,WR,Kentucky,SEC,"{'overall': 0.0288, 'pass': 0.0576, 'rush': 0, 'firstDown': 0.0331, 'secondDown': 0.029, 'thirdDown': 0.022, 'standardDowns': 0.025, 'passingDowns': 0.036}",
2014,530412,Herb Waters,WR,Miami,ACC,"{'overall': 0.0286, 'pass': 0.0568, 'rush': 0.0024, 'firstDown': 0.037, 'secondDown': 0.012, 'thirdDown': 0.031, 'standardDowns': 0.031, 'passingDowns': 0.023}",
2014,511607,Matt McIntosh,QB,Northern Illinois,Mid-American,"{'overall': 0.0285, 'pass': 0.0584, 'rush': 0.0119, 'firstDown': 0.0234, 'secondDown': 0.031, 'thirdDown': 0.035, 'standardDowns': 0.028, 'passingDowns': 0.03}",
2014,505049,Jeremy Higgins,QB,Hawai'i,Mountain West,"{'overall': 0.0285, 'pass': 0.0567, 'rush': 0, 'firstDown': 0.0235, 'secondDown': 0.022, 'thirdDown': 0.052, 'standardDowns': 0.025, 'passingDowns': 0.035}",
2014,547193,Ammon Barker,WR,Hawai'i,Mountain West,"{'overall': 0.0285, 'pass': 0.0567, 'rush': 0, 'firstDown': 0.0176, 'secondDown': 0.03, 'thirdDown': 0.052, 'standardDowns': 0.021, 'passingDowns': 0.041}",
2014,531009,Darreus Rogers,WR,USC,Pac-12,"{'overall': 0.0284, 'pass': 0.057, 'rush': 0, 'firstDown': 0.0253, 'secondDown': 0.016, 'thirdDown': 0.053, 'standardDowns': 0.022, 'passingDowns': 0.041}",
2014,513131,Christion Jones,WR,Alabama,SEC,"{'overall': 0.0283, 'pass': 0.0602, 'rush': 0.0018, 'firstDown': 0.0236, 'secondDown': 0.03, 'thirdDown': 0.04, 'standardDowns': 0.025, 'passingDowns': 0.038}",
2014,531357,Fred Brown,WR,Mississippi State,SEC,"{'overall': 0.0283, 'pass': 0.0639, 'rush': 0, 'firstDown': 0.0305, 'secondDown': 0.023, 'thirdDown': 0.037, 'standardDowns': 0.025, 'passingDowns': 0.037}",
