_season,_id,_name,_position,_team,_conference,_usage,discriminator
2016,3916387,Lamar Jackson,QB,Louisville,ACC,"{'overall': 0.6846, 'pass': 0.9412, 'rush': 0.453, 'firstDown': 0.6776, 'secondDown': 0.679, 'thirdDown': 0.775, 'standardDowns': 0.658, 'passingDowns': 0.745}",
2016,3139477,Patrick Mahomes,QB,Texas Tech,Big 12,"{'overall': 0.6832, 'pass': 0.9013, 'rush': 0.2969, 'firstDown': 0.6505, 'secondDown': 0.702, 'thirdDown': 0.786, 'standardDowns': 0.64, 'passingDowns': 0.775}",
2016,550629,Luke Falk,QB,Washington State,Pac-12,"{'overall': 0.6738, 'pass': 0.9537, 'rush': 0.1114, 'firstDown': 0.6177, 'secondDown': 0.722, 'thirdDown': 0.758, 'standardDowns': 0.622, 'passingDowns': 0.797}",
2016,3116188,David Blough,QB,Purdue,Big Ten,"{'overall': 0.6479, 'pass': 0.9317, 'rush': 0.159, 'firstDown': 0.5847, 'secondDown': 0.657, 'thirdDown': 0.79, 'standardDowns': 0.576, 'passingDowns': 0.782}",
2016,3917792,Daniel Jones,QB,Duke,ACC,"{'overall': 0.63, 'pass': 0.9712, 'rush': 0.243, 'firstDown': 0.5769, 'secondDown': 0.587, 'thirdDown': 0.851, 'standardDowns': 0.587, 'passingDowns': 0.725}",
2016,545238,Mitch Trubisky,QB,North Carolina,ACC,"{'overall': 0.6185, 'pass': 0.9789, 'rush': 0.192, 'firstDown': 0.5303, 'secondDown': 0.632, 'thirdDown': 0.841, 'standardDowns': 0.549, 'passingDowns': 0.756}",
2016,550386,Davis Webb,QB,California,Pac-12,"{'overall': 0.6171, 'pass': 0.9984, 'rush': 0.0451, 'firstDown': 0.593, 'secondDown': 0.611, 'thirdDown': 0.765, 'standardDowns': 0.567, 'passingDowns': 0.728}",
2016,545552,Greg Ward Jr.,QB,Houston,American Athletic,"{'overall': 0.6026, 'pass': 0.8937, 'rush': 0.3115, 'firstDown': 0.5572, 'secondDown': 0.597, 'thirdDown': 0.741, 'standardDowns': 0.561, 'passingDowns': 0.686}",
2016,531455,Cooper Rush,QB,Central Michigan,Mid-American,"{'overall': 0.5995, 'pass': 0.9839, 'rush': 0.0973, 'firstDown': 0.534, 'secondDown': 0.536, 'thirdDown': 0.85, 'standardDowns': 0.506, 'passingDowns': 0.779}",
2016,3122840,Deshaun Watson,QB,Clemson,ACC,"{'overall': 0.598, 'pass': 0.9151, 'rush': 0.2588, 'firstDown': 0.5251, 'secondDown': 0.628, 'thirdDown': 0.798, 'standardDowns': 0.554, 'passingDowns': 0.719}",
2016,531316,Ryan Higgins,QB,Louisiana Tech,Conference USA,"{'overall': 0.5963, 'pass': 0.9097, 'rush': 0.1753, 'firstDown': 0.5945, 'secondDown': 0.597, 'thirdDown': 0.692, 'standardDowns': 0.547, 'passingDowns': 0.726}",
2016,3125353,Kent Myers,QB,Utah State,Mountain West,"{'overall': 0.5928, 'pass': 0.9457, 'rush': 0.2409, 'firstDown': 0.5163, 'secondDown': 0.566, 'thirdDown': 0.831, 'standardDowns': 0.531, 'passingDowns': 0.697}",
2016,3129302,DeShone Kizer,QB,Notre Dame,FBS Independents,"{'overall': 0.5839, 'pass': 0.9324, 'rush': 0.25, 'firstDown': 0.5326, 'secondDown': 0.59, 'thirdDown': 0.729, 'standardDowns': 0.52, 'passingDowns': 0.717}",
2016,558337,Nick Fitzgerald,QB,Mississippi State,SEC,"{'overall': 0.583, 'pass': 0.8803, 'rush': 0.3495, 'firstDown': 0.5072, 'secondDown': 0.58, 'thirdDown': 0.775, 'standardDowns': 0.522, 'passingDowns': 0.726}",
2016,3116144,Clayton Thorson,QB,Northwestern,Big Ten,"{'overall': 0.5804, 'pass': 0.9885, 'rush': 0.1266, 'firstDown': 0.5287, 'secondDown': 0.528, 'thirdDown': 0.767, 'standardDowns': 0.527, 'passingDowns': 0.682}",
2016,545624,J.T. Barrett,QB,Ohio State,Big Ten,"{'overall': 0.5782, 'pass': 0.9284, 'rush': 0.3193, 'firstDown': 0.4966, 'secondDown': 0.624, 'thirdDown': 0.742, 'standardDowns': 0.498, 'passingDowns': 0.764}",
2016,3124981,Tyler Rogers,QB,New Mexico State,FBS Independents,"{'overall': 0.5674, 'pass': 0.8808, 'rush': 0.2265, 'firstDown': 0.5457, 'secondDown': 0.567, 'thirdDown': 0.646, 'standardDowns': 0.524, 'passingDowns': 0.645}",
2016,556465,Jerod Evans,QB,Virginia Tech,ACC,"{'overall': 0.5667, 'pass': 0.9435, 'rush': 0.284, 'firstDown': 0.4959, 'secondDown': 0.588, 'thirdDown': 0.734, 'standardDowns': 0.516, 'passingDowns': 0.675}",
2016,3116172,Trace McSorley,QB,Penn State,Big Ten,"{'overall': 0.562, 'pass': 0.9879, 'rush': 0.2412, 'firstDown': 0.4767, 'secondDown': 0.624, 'thirdDown': 0.731, 'standardDowns': 0.474, 'passingDowns': 0.756}",
2016,549865,Kenny Hill,QB,TCU,Big 12,"{'overall': 0.5606, 'pass': 0.8769, 'rush': 0.2196, 'firstDown': 0.5124, 'secondDown': 0.566, 'thirdDown': 0.714, 'standardDowns': 0.519, 'passingDowns': 0.647}",
2016,3139591,Quinton Flowers,QB,South Florida,American Athletic,"{'overall': 0.5589, 'pass': 0.9145, 'rush': 0.332, 'firstDown': 0.5181, 'secondDown': 0.535, 'thirdDown': 0.718, 'standardDowns': 0.537, 'passingDowns': 0.611}",
2016,546540,Joshua Dobbs,QB,Tennessee,SEC,"{'overall': 0.5549, 'pass': 0.9466, 'rush': 0.252, 'firstDown': 0.4693, 'secondDown': 0.567, 'thirdDown': 0.769, 'standardDowns': 0.482, 'passingDowns': 0.735}",
