_season,_id,_name,_position,_team,_conference,_usage,discriminator
2013,504823,Connor Halliday,QB,Washington State,Pac-12,"{'overall': 0.7052, 'pass': 0.9172, 'rush': 0, 'firstDown': 0.6683, 'secondDown': 0.711, 'thirdDown': 0.826, 'standardDowns': 0.676, 'passingDowns': 0.767}",
2013,504786,Sean Mannion,QB,Oregon State,Pac-12,"{'overall': 0.598, 'pass': 0.9385, 'rush': 0, 'firstDown': 0.535, 'secondDown': 0.577, 'thirdDown': 0.855, 'standardDowns': 0.517, 'passingDowns': 0.775}",
2013,484080,Derek Carr,QB,Fresno State,Mountain West,"{'overall': 0.5653, 'pass': 0.9201, 'rush': 0, 'firstDown': 0.5313, 'secondDown': 0.587, 'thirdDown': 0.661, 'standardDowns': 0.508, 'passingDowns': 0.722}",
2013,512882,Kameron Bryant,QB,Appalachian State,Sun Belt,"{'overall': 0.5571, 'pass': 1, 'rush': 0, 'firstDown': 0.3571, 'secondDown': 0.667, 'thirdDown': 0.778, 'standardDowns': 0.45, 'passingDowns': 0.7}",
2013,480209,Garrett Gilbert,QB,SMU,American Athletic,"{'overall': 0.5306, 'pass': 0.7866, 'rush': 0, 'firstDown': 0.5385, 'secondDown': 0.542, 'thirdDown': 0.541, 'standardDowns': 0.523, 'passingDowns': 0.546}",
2013,503695,Keith Wenning,QB,Ball State,Mid-American,"{'overall': 0.5133, 'pass': 0.9726, 'rush': 0, 'firstDown': 0.4727, 'secondDown': 0.495, 'thirdDown': 0.723, 'standardDowns': 0.484, 'passingDowns': 0.589}",
2013,514651,Josh Woodrum,QB,Liberty,FBS Independents,"{'overall': 0.5, 'pass': 1, 'rush': 0, 'firstDown': 0.38, 'secondDown': 0.474, 'thirdDown': 0.818, 'standardDowns': 0.425, 'passingDowns': 0.641}",
2013,547401,Jared Goff,QB,California,Pac-12,"{'overall': 0.4965, 'pass': 0.8297, 'rush': 0, 'firstDown': 0.4685, 'secondDown': 0.486, 'thirdDown': 0.614, 'standardDowns': 0.447, 'passingDowns': 0.596}",
2013,513949,Taylor Heinicke,QB,Old Dominion,Conference USA,"{'overall': 0.4935, 'pass': 0.8634, 'rush': 0, 'firstDown': 0.4217, 'secondDown': 0.599, 'thirdDown': 0.511, 'standardDowns': 0.465, 'passingDowns': 0.565}",
2013,516959,Brett Smith,QB,Wyoming,Mountain West,"{'overall': 0.4913, 'pass': 0.9379, 'rush': 0, 'firstDown': 0.4077, 'secondDown': 0.533, 'thirdDown': 0.626, 'standardDowns': 0.435, 'passingDowns': 0.625}",
2013,480413,Nathan Scheelhaase,QB,Illinois,Big Ten,"{'overall': 0.479, 'pass': 0.8938, 'rush': 0, 'firstDown': 0.4815, 'secondDown': 0.433, 'thirdDown': 0.586, 'standardDowns': 0.439, 'passingDowns': 0.578}",
2013,480550,David Fales,QB,San José State,Mountain West,"{'overall': 0.4752, 'pass': 0.9073, 'rush': 0, 'firstDown': 0.4253, 'secondDown': 0.525, 'thirdDown': 0.538, 'standardDowns': 0.413, 'passingDowns': 0.617}",
2013,500938,Shane Carden,QB,East Carolina,American Athletic,"{'overall': 0.474, 'pass': 0.8469, 'rush': 0, 'firstDown': 0.4483, 'secondDown': 0.476, 'thirdDown': 0.581, 'standardDowns': 0.445, 'passingDowns': 0.542}",
2013,514617,Kyle Pohl,QB,Akron,Mid-American,"{'overall': 0.4729, 'pass': 0.9305, 'rush': 0, 'firstDown': 0.4332, 'secondDown': 0.509, 'thirdDown': 0.524, 'standardDowns': 0.428, 'passingDowns': 0.559}",
2013,511614,Teddy Bridgewater,QB,Louisville,ACC,"{'overall': 0.4718, 'pass': 0.9728, 'rush': 0, 'firstDown': 0.3549, 'secondDown': 0.532, 'thirdDown': 0.733, 'standardDowns': 0.388, 'passingDowns': 0.675}",
2013,513425,Ronnie Bell,QB,Georgia State,Sun Belt,"{'overall': 0.4625, 'pass': 0.8293, 'rush': 0, 'firstDown': 0.4272, 'secondDown': 0.445, 'thirdDown': 0.566, 'standardDowns': 0.411, 'passingDowns': 0.543}",
2013,514116,Tom Savage,QB,Pittsburgh,ACC,"{'overall': 0.4591, 'pass': 0.9447, 'rush': 0, 'firstDown': 0.3576, 'secondDown': 0.48, 'thirdDown': 0.694, 'standardDowns': 0.379, 'passingDowns': 0.629}",
2013,518267,Rakeem Cato,QB,Marshall,Conference USA,"{'overall': 0.4555, 'pass': 0.9499, 'rush': 0, 'firstDown': 0.4009, 'secondDown': 0.457, 'thirdDown': 0.591, 'standardDowns': 0.394, 'passingDowns': 0.588}",
2013,515528,Garrett Grayson,QB,Colorado State,Mountain West,"{'overall': 0.4471, 'pass': 0.9716, 'rush': 0, 'firstDown': 0.4227, 'secondDown': 0.462, 'thirdDown': 0.548, 'standardDowns': 0.407, 'passingDowns': 0.54}",
