_season,_id,_name,_position,_team,_conference,_usage,discriminator
2019,4055171,Anthony Gordon,QB,Washington State,Pac-12,"{'overall': 0.7802, 'pass': 0.9597, 'rush': 0.1789, 'firstDown': 0.7703, 'secondDown': 0.808, 'thirdDown': 0.852, 'standardDowns': 0.773, 'passingDowns': 0.799}",
2019,3675812,Bryce Perkins,QB,Virginia,ACC,"{'overall': 0.7378, 'pass': 0.9587, 'rush': 0.469, 'firstDown': 0.7053, 'secondDown': 0.761, 'thirdDown': 0.852, 'standardDowns': 0.707, 'passingDowns': 0.805}",
2019,4374350,Asher O'Hara,QB,Middle Tennessee,Conference USA,"{'overall': 0.6791, 'pass': 0.9158, 'rush': 0.4649, 'firstDown': 0.6134, 'secondDown': 0.721, 'thirdDown': 0.816, 'standardDowns': 0.636, 'passingDowns': 0.775}",
2019,4241635,Josh Adkins,QB,New Mexico State,FBS Independents,"{'overall': 0.6466, 'pass': 0.9852, 'rush': 0.204, 'firstDown': 0.6056, 'secondDown': 0.625, 'thirdDown': 0.794, 'standardDowns': 0.588, 'passingDowns': 0.753}",
2019,4241820,Sam Ehlinger,QB,Texas,Big 12,"{'overall': 0.6426, 'pass': 0.9681, 'rush': 0.2886, 'firstDown': 0.5812, 'secondDown': 0.62, 'thirdDown': 0.856, 'standardDowns': 0.585, 'passingDowns': 0.772}",
2019,4361741,Brock Purdy,QB,Iowa State,Big 12,"{'overall': 0.6216, 'pass': 0.98, 'rush': 0.1913, 'firstDown': 0.5374, 'secondDown': 0.659, 'thirdDown': 0.826, 'standardDowns': 0.551, 'passingDowns': 0.789}",
2019,3921685,Josh Love,QB,San José State,Mountain West,"{'overall': 0.6114, 'pass': 0.9665, 'rush': 0.041, 'firstDown': 0.5995, 'secondDown': 0.581, 'thirdDown': 0.769, 'standardDowns': 0.566, 'passingDowns': 0.707}",
2019,4036585,Caleb Evans,QB,Louisiana Monroe,Sun Belt,"{'overall': 0.6048, 'pass': 0.9501, 'rush': 0.2889, 'firstDown': 0.5504, 'secondDown': 0.543, 'thirdDown': 0.827, 'standardDowns': 0.558, 'passingDowns': 0.703}",
2019,4240904,Kellen Mond,QB,Texas A&M,SEC,"{'overall': 0.604, 'pass': 0.9269, 'rush': 0.2385, 'firstDown': 0.5512, 'secondDown': 0.656, 'thirdDown': 0.738, 'standardDowns': 0.529, 'passingDowns': 0.772}",
2019,4360131,Holton Ahlers,QB,East Carolina,American Athletic,"{'overall': 0.5985, 'pass': 0.9806, 'rush': 0.2155, 'firstDown': 0.5109, 'secondDown': 0.588, 'thirdDown': 0.881, 'standardDowns': 0.503, 'passingDowns': 0.77}",
2019,4040715,Jalen Hurts,QB,Oklahoma,Big 12,"{'overall': 0.5964, 'pass': 0.9052, 'rush': 0.3858, 'firstDown': 0.5207, 'secondDown': 0.636, 'thirdDown': 0.791, 'standardDowns': 0.548, 'passingDowns': 0.724}",
2019,4039910,Kaleb Barker,QB,Troy,Sun Belt,"{'overall': 0.5963, 'pass': 0.9397, 'rush': 0.1557, 'firstDown': 0.5368, 'secondDown': 0.633, 'thirdDown': 0.729, 'standardDowns': 0.541, 'passingDowns': 0.745}",
2019,4242995,Jorge Reyna,QB,Fresno State,Mountain West,"{'overall': 0.5914, 'pass': 0.9795, 'rush': 0.2, 'firstDown': 0.5086, 'secondDown': 0.569, 'thirdDown': 0.857, 'standardDowns': 0.523, 'passingDowns': 0.75}",
2019,3917793,Quentin Harris,QB,Duke,ACC,"{'overall': 0.5831, 'pass': 0.9476, 'rush': 0.2857, 'firstDown': 0.5921, 'secondDown': 0.521, 'thirdDown': 0.719, 'standardDowns': 0.537, 'passingDowns': 0.666}",
2019,3915511,Joe Burrow,QB,LSU,SEC,"{'overall': 0.581, 'pass': 0.931, 'rush': 0.1719, 'firstDown': 0.5955, 'secondDown': 0.549, 'thirdDown': 0.667, 'standardDowns': 0.545, 'passingDowns': 0.686}",
2019,4038220,Cole McDonald,QB,Hawai'i,Mountain West,"{'overall': 0.5791, 'pass': 0.8009, 'rush': 0.2165, 'firstDown': 0.5781, 'secondDown': 0.559, 'thirdDown': 0.628, 'standardDowns': 0.565, 'passingDowns': 0.614}",
2019,4240703,Kenny Pickett,QB,Pittsburgh,ACC,"{'overall': 0.5778, 'pass': 0.9212, 'rush': 0.1614, 'firstDown': 0.5443, 'secondDown': 0.532, 'thirdDown': 0.75, 'standardDowns': 0.526, 'passingDowns': 0.673}",
2019,3929824,Brian Lewerke,QB,Michigan State,Big Ten,"{'overall': 0.574, 'pass': 0.9435, 'rush': 0.2063, 'firstDown': 0.5012, 'secondDown': 0.568, 'thirdDown': 0.83, 'standardDowns': 0.503, 'passingDowns': 0.702}",
2019,4036378,Jordan Love,QB,Utah State,Mountain West,"{'overall': 0.5638, 'pass': 0.9351, 'rush': 0.1429, 'firstDown': 0.4884, 'secondDown': 0.622, 'thirdDown': 0.699, 'standardDowns': 0.474, 'passingDowns': 0.752}",
