_season,_id,_name,_position,_team,_conference,_usage,discriminator
2015,550629,Luke Falk,QB,Washington State,Pac-12,"{'overall': 0.6923, 'pass': 0.875, 'rush': 0.1905, 'firstDown': 0.637, 'secondDown': 0.746, 'thirdDown': 0.774, 'standardDowns': 0.649, 'passingDowns': 0.791}",
2015,512030,Dak Prescott,QB,Mississippi State,SEC,"{'overall': 0.677, 'pass': 0.9564, 'rush': 0.3231, 'firstDown': 0.6469, 'secondDown': 0.656, 'thirdDown': 0.831, 'standardDowns': 0.645, 'passingDowns': 0.752}",
2015,3139477,Patrick Mahomes,QB,Texas Tech,Big 12,"{'overall': 0.6422, 'pass': 0.928, 'rush': 0.246, 'firstDown': 0.5697, 'secondDown': 0.68, 'thirdDown': 0.791, 'standardDowns': 0.582, 'passingDowns': 0.766}",
2015,3128843,Alex McGough,QB,Florida International,Conference USA,"{'overall': 0.6055, 'pass': 0.9554, 'rush': 0.1752, 'firstDown': 0.5915, 'secondDown': 0.547, 'thirdDown': 0.743, 'standardDowns': 0.567, 'passingDowns': 0.689}",
2015,532113,Matt Davis,QB,SMU,American Athletic,"{'overall': 0.6014, 'pass': 0.9152, 'rush': 0.3288, 'firstDown': 0.4797, 'secondDown': 0.631, 'thirdDown': 0.82, 'standardDowns': 0.51, 'passingDowns': 0.772}",
2015,531455,Cooper Rush,QB,Central Michigan,Mid-American,"{'overall': 0.5984, 'pass': 0.9876, 'rush': 0.0881, 'firstDown': 0.5108, 'secondDown': 0.599, 'thirdDown': 0.818, 'standardDowns': 0.501, 'passingDowns': 0.782}",
2015,3124848,Nick Arbuckle,QB,Georgia State,Sun Belt,"{'overall': 0.5956, 'pass': 0.975, 'rush': 0.0833, 'firstDown': 0.5297, 'secondDown': 0.593, 'thirdDown': 0.773, 'standardDowns': 0.524, 'passingDowns': 0.745}",
2015,518271,Blake Frohnapfel,QB,UMass,FBS Independents,"{'overall': 0.5948, 'pass': 0.948, 'rush': 0.1056, 'firstDown': 0.5393, 'secondDown': 0.581, 'thirdDown': 0.749, 'standardDowns': 0.536, 'passingDowns': 0.702}",
2015,547401,Jared Goff,QB,California,Pac-12,"{'overall': 0.5842, 'pass': 0.9615, 'rush': 0.0809, 'firstDown': 0.5216, 'secondDown': 0.619, 'thirdDown': 0.73, 'standardDowns': 0.519, 'passingDowns': 0.753}",
2015,511889,Jeff Driskel,QB,Louisiana Tech,Conference USA,"{'overall': 0.5827, 'pass': 0.9424, 'rush': 0.1827, 'firstDown': 0.5731, 'secondDown': 0.531, 'thirdDown': 0.758, 'standardDowns': 0.529, 'passingDowns': 0.705}",
