_id,_season,_week,_season_type,_home_team,_home_conference,_home_score,_away_team,_away_conference,_away_score,_lines,discriminator
400548403,2014,1,regular,Georgia State,Sun Belt,38,Abilene Christian,,37,[],
400548402,2014,1,regular,South Carolina,SEC,28,Texas A&M,SEC,52,"[{'provider': 'numberfire', 'spread': '-9.5', 'formattedSpread': 'South Carolina -9.5', 'spreadOpen': None, 'overUnder': '61', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '-9.5', 'formattedSpread': 'South Carolina -9.5', 'spreadOpen': None, 'overUnder': '61', 'overUnderOpen': None}]",
400548169,2014,1,regular,Ole Miss,SEC,35,Boise State,Mountain West,13,"[{'provider': 'numberfire', 'spread': '-9.5', 'formattedSpread': 'Ole Miss -9.5', 'spreadOpen': None, 'overUnder': '52', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '-9.5', 'formattedSpread': 'Ole Miss -9.5', 'spreadOpen': None, 'overUnder': '52', 'overUnderOpen': None}]",
400548259,2014,1,regular,Stanford,Pac-12,45,UC Davis,,0,"[{'provider': 'consensus', 'spread': '-47', 'formattedSpread': 'Stanford -47', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}]",
400548173,2014,1,regular,Hawai'i,Mountain West,16,Washington,Pac-12,17,"[{'provider': 'numberfire', 'spread': '17', 'formattedSpread': 'Washington -17', 'spreadOpen': None, 'overUnder': '56', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '17.5', 'formattedSpread': 'Washington -17.5', 'spreadOpen': None, 'overUnder': '56', 'overUnderOpen': None}]",
400547808,2014,1,regular,Pittsburgh,ACC,62,Delaware,,0,"[{'provider': 'consensus', 'spread': '-20', 'formattedSpread': 'Pittsburgh -20', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}]",
400548255,2014,1,regular,Arizona State,Pac-12,45,Weber State,,14,"[{'provider': 'consensus', 'spread': '-45.5', 'formattedSpread': 'Arizona State -45.5', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}]",
400547829,2014,1,regular,Louisiana Monroe,Sun Belt,17,Wake Forest,ACC,10,"[{'provider': 'consensus', 'spread': '5', 'formattedSpread': 'Wake Forest -5', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '-1.5', 'formattedSpread': 'Louisiana Monroe -1.5', 'spreadOpen': None, 'overUnder': '44.5', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '-1.5', 'formattedSpread': 'Louisiana Monroe -1.5', 'spreadOpen': None, 'overUnder': '44.5', 'overUnderOpen': None}]",
400547960,2014,1,regular,Minnesota,Big Ten,42,Eastern Illinois,,20,[],
400548090,2014,1,regular,Akron,Mid-American,41,Howard,,0,"[{'provider': 'consensus', 'spread': '-21', 'formattedSpread': 'Akron -21', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}]",
