_id,_season,_week,_season_type,_home_team,_home_conference,_home_score,_away_team,_away_conference,_away_score,_lines,discriminator
400763398,2015,1,regular,Minnesota,Big Ten,17,TCU,Big 12,23,"[{'provider': 'consensus', 'spread': '16', 'formattedSpread': 'TCU -16', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '15.5', 'formattedSpread': 'TCU -15.5', 'spreadOpen': None, 'overUnder': '57', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '16.5', 'formattedSpread': 'TCU -16.5', 'spreadOpen': None, 'overUnder': '57', 'overUnderOpen': None}]",
400756895,2015,1,regular,Georgia Tech,ACC,69,Alcorn State,,6,[],
400756882,2015,1,regular,Arizona,Pac-12,42,UT San Antonio,Conference USA,32,"[{'provider': 'consensus', 'spread': '-30.5', 'formattedSpread': 'Arizona -30.5', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '-33', 'formattedSpread': 'Arizona -33', 'spreadOpen': None, 'overUnder': '58.5', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '-32.5', 'formattedSpread': 'Arizona -32.5', 'spreadOpen': None, 'overUnder': '59', 'overUnderOpen': None}]",
400603840,2015,1,regular,South Carolina,SEC,17,North Carolina,ACC,13,"[{'provider': 'consensus', 'spread': '-3.5', 'formattedSpread': 'South Carolina -3.5', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '-1.5', 'formattedSpread': 'South Carolina -1.5', 'spreadOpen': None, 'overUnder': '62', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '-1', 'formattedSpread': 'South Carolina -1', 'spreadOpen': None, 'overUnder': '62', 'overUnderOpen': None}]",
400763593,2015,1,regular,UCF,American Athletic,14,Florida International,Conference USA,15,"[{'provider': 'consensus', 'spread': '-17', 'formattedSpread': 'UCF -17', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '-10.5', 'formattedSpread': 'UCF -10.5', 'spreadOpen': None, 'overUnder': '44.5', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '-10.5', 'formattedSpread': 'UCF -10.5', 'spreadOpen': None, 'overUnder': '44', 'overUnderOpen': None}]",
400763399,2015,1,regular,Central Michigan,Mid-American,13,Oklahoma State,Big 12,24,"[{'provider': 'consensus', 'spread': '20.5', 'formattedSpread': 'Oklahoma State -20.5', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '21', 'formattedSpread': 'Oklahoma State -21', 'spreadOpen': None, 'overUnder': '57.5', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '21', 'formattedSpread': 'Oklahoma State -21', 'spreadOpen': None, 'overUnder': '58', 'overUnderOpen': None}]",
400756896,2015,1,regular,Wake Forest,ACC,41,Elon,,3,[],
400787299,2015,1,regular,Ball State,Mid-American,48,VMI,,36,[],
400764854,2015,1,regular,Connecticut,American Athletic,20,Villanova,,15,[],
400603839,2015,1,regular,Vanderbilt,SEC,12,Western Kentucky,Conference USA,14,"[{'provider': 'consensus', 'spread': '-17.5', 'formattedSpread': 'Vanderbilt -17.5', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '2', 'formattedSpread': 'Western Kentucky -2', 'spreadOpen': None, 'overUnder': '60', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '2.5', 'formattedSpread': 'Western Kentucky -2.5', 'spreadOpen': None, 'overUnder': '60', 'overUnderOpen': None}]",
400756883,2015,1,regular,Utah,Pac-12,24,Michigan,Big Ten,17,"[{'provider': 'consensus', 'spread': '-3', 'formattedSpread': 'Utah -3', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '-5', 'formattedSpread': 'Utah -5', 'spreadOpen': None, 'overUnder': '44.5', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '-5', 'formattedSpread': 'Utah -5', 'spreadOpen': None, 'overUnder': '45', 'overUnderOpen': None}]",
400787302,2015,1,regular,Idaho,Sun Belt,28,Ohio,Mid-American,45,"[{'provider': 'consensus', 'spread': '7', 'formattedSpread': 'Ohio -7', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '6.5', 'formattedSpread': 'Ohio -6.5', 'spreadOpen': None, 'overUnder': '57.5', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '6.5', 'formattedSpread': 'Ohio -6.5', 'spreadOpen': None, 'overUnder': '57', 'overUnderOpen': None}]",
400787110,2015,1,regular,Utah State,Mountain West,12,Southern Utah,,9,[],
400756894,2015,1,regular,Tulane,American Athletic,7,Duke,ACC,37,"[{'provider': 'consensus', 'spread': '13.5', 'formattedSpread': 'Duke -13.5', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '5.5', 'formattedSpread': 'Duke -5.5', 'spreadOpen': None, 'overUnder': '52', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '5', 'formattedSpread': 'Duke -5', 'spreadOpen': None, 'overUnder': '51.5', 'overUnderOpen': None}]",
400787108,2015,1,regular,Nevada,Mountain West,31,UC Davis,,17,[],
400787109,2015,1,regular,San José State,Mountain West,43,New Hampshire,,13,[],
400799923,2015,1,regular,Fresno State,Mountain West,34,Abilene Christian,,13,[],
400764855,2015,1,regular,SMU,American Athletic,21,Baylor,Big 12,56,"[{'provider': 'consensus', 'spread': '20', 'formattedSpread': 'Baylor -20', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '36', 'formattedSpread': 'Baylor -36', 'spreadOpen': None, 'overUnder': '70.5', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '36', 'formattedSpread': 'Baylor -36', 'spreadOpen': None, 'overUnder': '71', 'overUnderOpen': None}]",
400763470,2015,1,regular,Western Michigan,Mid-American,24,Michigan State,Big Ten,37,"[{'provider': 'consensus', 'spread': '23.5', 'formattedSpread': 'Michigan State -23.5', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '16', 'formattedSpread': 'Michigan State -16', 'spreadOpen': None, 'overUnder': '55.5', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '16.5', 'formattedSpread': 'Michigan State -16.5', 'spreadOpen': None, 'overUnder': '55', 'overUnderOpen': None}]",
400756888,2015,1,regular,Boise State,Mountain West,16,Washington,Pac-12,13,"[{'provider': 'consensus', 'spread': '-11', 'formattedSpread': 'Boise State -11', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '-12.5', 'formattedSpread': 'Boise State -12.5', 'spreadOpen': None, 'overUnder': '53', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '-12', 'formattedSpread': 'Boise State -12', 'spreadOpen': None, 'overUnder': '53', 'overUnderOpen': None}]",
400763587,2015,1,regular,Georgia State,Sun Belt,20,Charlotte,Conference USA,23,"[{'provider': 'consensus', 'spread': '-4', 'formattedSpread': 'Georgia State -4', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '-7', 'formattedSpread': 'Georgia State -7', 'spreadOpen': None, 'overUnder': '68', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '-7', 'formattedSpread': 'Georgia State -7', 'spreadOpen': None, 'overUnder': '68', 'overUnderOpen': None}]",
400756903,2015,1,regular,Syracuse,ACC,47,Rhode Island,,0,[],
400760491,2015,1,regular,Army,FBS Independents,35,Fordham,,37,[],
400756887,2015,1,regular,Oregon State,Pac-12,26,Weber State,,7,[],
400603827,2015,1,regular,Alabama,SEC,35,Wisconsin,Big Ten,17,"[{'provider': 'consensus', 'spread': '-10', 'formattedSpread': 'Alabama -10', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '-12.5', 'formattedSpread': 'Alabama -12.5', 'spreadOpen': None, 'overUnder': '44.5', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '-12', 'formattedSpread': 'Alabama -12', 'spreadOpen': None, 'overUnder': '44', 'overUnderOpen': None}]",
400603829,2015,1,regular,Auburn,SEC,31,Louisville,ACC,24,"[{'provider': 'consensus', 'spread': '-10.5', 'formattedSpread': 'Auburn -10.5', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '-10', 'formattedSpread': 'Auburn -10', 'spreadOpen': None, 'overUnder': '54', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '-10.5', 'formattedSpread': 'Auburn -10.5', 'spreadOpen': None, 'overUnder': '54', 'overUnderOpen': None}]",
400756886,2015,1,regular,Oregon,Pac-12,61,Eastern Washington,,42,"[{'provider': 'consensus', 'spread': '-35', 'formattedSpread': 'Oregon -35', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}]",
400756884,2015,1,regular,USC,Pac-12,55,Arkansas State,Sun Belt,6,"[{'provider': 'consensus', 'spread': '-27', 'formattedSpread': 'USC -27', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '-27', 'formattedSpread': 'USC -27', 'spreadOpen': None, 'overUnder': '66.5', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '-27', 'formattedSpread': 'USC -27', 'spreadOpen': None, 'overUnder': '66.5', 'overUnderOpen': None}]",
400603831,2015,1,regular,Georgia,SEC,51,Louisiana Monroe,Sun Belt,14,"[{'provider': 'consensus', 'spread': '-31', 'formattedSpread': 'Georgia -31', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '-34.5', 'formattedSpread': 'Georgia -34.5', 'spreadOpen': None, 'overUnder': '57', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '-35', 'formattedSpread': 'Georgia -35', 'spreadOpen': None, 'overUnder': '57', 'overUnderOpen': None}]",
400756899,2015,1,regular,Florida State,ACC,59,Texas State,Sun Belt,16,"[{'provider': 'consensus', 'spread': '-37', 'formattedSpread': 'Florida State -37', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '-28', 'formattedSpread': 'Florida State -28', 'spreadOpen': None, 'overUnder': '59.5', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '-27.5', 'formattedSpread': 'Florida State -27.5', 'spreadOpen': None, 'overUnder': '60', 'overUnderOpen': None}]",
400763403,2015,1,regular,Notre Dame,FBS Independents,38,Texas,Big 12,3,"[{'provider': 'consensus', 'spread': '-9', 'formattedSpread': 'Notre Dame -9', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '-9', 'formattedSpread': 'Notre Dame -9', 'spreadOpen': None, 'overUnder': '48.5', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '-8.5', 'formattedSpread': 'Notre Dame -8.5', 'spreadOpen': None, 'overUnder': '48', 'overUnderOpen': None}]",
400756898,2015,1,regular,Clemson,ACC,49,Wofford,,10,[],
