_id,_season,_week,_season_type,_home_team,_home_conference,_home_score,_away_team,_away_conference,_away_score,_lines,discriminator
400869564,2016,12,regular,UCF,American Athletic,20,Tulsa,American Athletic,35,"[{'provider': 'consensus', 'spread': '-1.5', 'formattedSpread': 'UCF -1.5', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '-1.5', 'formattedSpread': 'UCF -1.5', 'spreadOpen': None, 'overUnder': '64.5', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '-1', 'formattedSpread': 'UCF -1', 'spreadOpen': None, 'overUnder': '64', 'overUnderOpen': None}]",
400869248,2016,12,regular,Colorado State,Mountain West,49,New Mexico,Mountain West,31,"[{'provider': 'consensus', 'spread': '-5', 'formattedSpread': 'Colorado State -5', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '-7', 'formattedSpread': 'Colorado State -7', 'spreadOpen': None, 'overUnder': '61.5', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '-7', 'formattedSpread': 'Colorado State -7', 'spreadOpen': None, 'overUnder': '61.5', 'overUnderOpen': None}]",
400869161,2016,12,regular,Oregon State,Pac-12,42,Arizona,Pac-12,17,"[{'provider': 'numberfire', 'spread': '-5', 'formattedSpread': 'Oregon State -5', 'spreadOpen': None, 'overUnder': '61.5', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '-3', 'formattedSpread': 'Oregon State -3', 'spreadOpen': None, 'overUnder': '59.5', 'overUnderOpen': None}]",
400869247,2016,12,regular,San José State,Mountain West,38,Air Force,Mountain West,41,"[{'provider': 'consensus', 'spread': '11', 'formattedSpread': 'Air Force -11', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '11.5', 'formattedSpread': 'Air Force -11.5', 'spreadOpen': None, 'overUnder': '55', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '11.5', 'formattedSpread': 'Air Force -11.5', 'spreadOpen': None, 'overUnder': '54.5', 'overUnderOpen': None}]",
400869335,2016,13,regular,Ohio,Mid-American,9,Akron,Mid-American,3,"[{'provider': 'consensus', 'spread': '-7.5', 'formattedSpread': 'Ohio -7.5', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '-11', 'formattedSpread': 'Ohio -11', 'spreadOpen': None, 'overUnder': '54', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '-12.5', 'formattedSpread': 'Ohio -12.5', 'spreadOpen': None, 'overUnder': '53', 'overUnderOpen': None}]",
400869336,2016,13,regular,Miami (OH),Mid-American,21,Ball State,Mid-American,20,"[{'provider': 'consensus', 'spread': '-6', 'formattedSpread': 'Miami (OH) -6', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '-7', 'formattedSpread': 'Miami (OH) -7', 'spreadOpen': None, 'overUnder': '54', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '-8.5', 'formattedSpread': 'Miami (OH) -8.5', 'spreadOpen': None, 'overUnder': '55', 'overUnderOpen': None}]",
400869337,2016,13,regular,Eastern Michigan,Mid-American,26,Central Michigan,Mid-American,21,"[{'provider': 'numberfire', 'spread': '1', 'formattedSpread': 'Central Michigan -1', 'spreadOpen': None, 'overUnder': '55.5', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': None, 'formattedSpread': 'Central Michigan -null', 'spreadOpen': None, 'overUnder': '56.5', 'overUnderOpen': None}]",
400869067,2016,13,regular,Texas A&M,SEC,39,LSU,SEC,54,"[{'provider': 'consensus', 'spread': '4', 'formattedSpread': 'LSU -4', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '6.5', 'formattedSpread': 'LSU -6.5', 'spreadOpen': None, 'overUnder': '48.5', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '6.5', 'formattedSpread': 'LSU -6.5', 'spreadOpen': None, 'overUnder': '48.5', 'overUnderOpen': None}]",
400869168,2016,13,regular,Washington State,Pac-12,17,Washington,Pac-12,45,"[{'provider': 'consensus', 'spread': '6', 'formattedSpread': 'Washington -6', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '6.5', 'formattedSpread': 'Washington -6.5', 'spreadOpen': None, 'overUnder': '63', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '6', 'formattedSpread': 'Washington -6', 'spreadOpen': None, 'overUnder': '62', 'overUnderOpen': None}]",
400869699,2016,13,regular,Iowa,Big Ten,40,Nebraska,Big Ten,10,"[{'provider': 'consensus', 'spread': '-2.5', 'formattedSpread': 'Iowa -2.5', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '-3', 'formattedSpread': 'Iowa -3', 'spreadOpen': None, 'overUnder': '45', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '-3', 'formattedSpread': 'Iowa -3', 'spreadOpen': None, 'overUnder': '45.5', 'overUnderOpen': None}]",
