_id,_season,_week,_season_type,_home_team,_home_conference,_home_score,_away_team,_away_conference,_away_score,_lines,discriminator
401022510,2018,1,regular,Colorado State,Mountain West,34,Hawai'i,Mountain West,43,"[{'provider': 'Caesars', 'spread': '-17.5', 'formattedSpread': 'Colorado State -17.5', 'spreadOpen': None, 'overUnder': '57.5', 'overUnderOpen': None}, {'provider': 'consensus', 'spread': '-17', 'formattedSpread': 'Colorado State -17', 'spreadOpen': None, 'overUnder': '57.5', 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '-17', 'formattedSpread': 'Colorado State -17', 'spreadOpen': None, 'overUnder': '58.5', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '-17', 'formattedSpread': 'Colorado State -17', 'spreadOpen': None, 'overUnder': '58', 'overUnderOpen': None}]",
401012880,2018,1,regular,Michigan State,Big Ten,38,Utah State,Mountain West,31,"[{'provider': 'Caesars', 'spread': '-23.5', 'formattedSpread': 'Michigan State -23.5', 'spreadOpen': None, 'overUnder': '52.5', 'overUnderOpen': None}, {'provider': 'consensus', 'spread': '-23.5', 'formattedSpread': 'Michigan State -23.5', 'spreadOpen': None, 'overUnder': '52.5', 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '-23.5', 'formattedSpread': 'Michigan State -23.5', 'spreadOpen': None, 'overUnder': '52', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '-23.5', 'formattedSpread': 'Michigan State -23.5', 'spreadOpen': None, 'overUnder': '52.5', 'overUnderOpen': None}]",
401022512,2018,1,regular,Stanford,Pac-12,31,San Diego State,Mountain West,10,"[{'provider': 'Caesars', 'spread': '-14', 'formattedSpread': 'Stanford -14', 'spreadOpen': None, 'overUnder': '49.5', 'overUnderOpen': None}, {'provider': 'consensus', 'spread': '-14', 'formattedSpread': 'Stanford -14', 'spreadOpen': None, 'overUnder': '49.5', 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '-13.5', 'formattedSpread': 'Stanford -13.5', 'spreadOpen': None, 'overUnder': '49.5', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '-13.5', 'formattedSpread': 'Stanford -13.5', 'spreadOpen': None, 'overUnder': '49.5', 'overUnderOpen': None}]",
401013437,2018,1,regular,New Mexico State,FBS Independents,7,Wyoming,Mountain West,29,"[{'provider': 'numberfire', 'spread': '5', 'formattedSpread': 'Wyoming -5', 'spreadOpen': None, 'overUnder': '47', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '5', 'formattedSpread': 'Wyoming -5', 'spreadOpen': None, 'overUnder': '47', 'overUnderOpen': None}]",
401013354,2018,1,regular,Wisconsin,Big Ten,34,Western Kentucky,Conference USA,3,"[{'provider': 'Caesars', 'spread': '-36', 'formattedSpread': 'Wisconsin -36', 'spreadOpen': None, 'overUnder': '51.5', 'overUnderOpen': None}, {'provider': 'consensus', 'spread': '-36', 'formattedSpread': 'Wisconsin -36', 'spreadOpen': None, 'overUnder': '52', 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '-36.5', 'formattedSpread': 'Wisconsin -36.5', 'spreadOpen': None, 'overUnder': '52', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '-36.5', 'formattedSpread': 'Wisconsin -36.5', 'spreadOpen': None, 'overUnder': '52', 'overUnderOpen': None}]",
401022517,2018,1,regular,Nevada,Mountain West,72,Portland State,,19,"[{'provider': 'consensus', 'spread': '-28', 'formattedSpread': 'Nevada -28', 'spreadOpen': None, 'overUnder': '71', 'overUnderOpen': None}]",
401012680,2018,1,regular,Colorado State,Mountain West,13,Colorado,Pac-12,45,"[{'provider': 'Caesars', 'spread': '7', 'formattedSpread': 'Colorado -7', 'spreadOpen': None, 'overUnder': '66', 'overUnderOpen': None}, {'provider': 'consensus', 'spread': '-7', 'formattedSpread': 'Colorado State -7', 'spreadOpen': None, 'overUnder': '65.5', 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '7', 'formattedSpread': 'Colorado -7', 'spreadOpen': None, 'overUnder': '66', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '7', 'formattedSpread': 'Colorado -7', 'spreadOpen': None, 'overUnder': '65.5', 'overUnderOpen': None}]",
401012256,2018,1,regular,South Carolina,SEC,49,Coastal Carolina,Sun Belt,15,"[{'provider': 'Caesars', 'spread': '-31', 'formattedSpread': 'South Carolina -31', 'spreadOpen': None, 'overUnder': '57', 'overUnderOpen': None}, {'provider': 'consensus', 'spread': '-30.5', 'formattedSpread': 'South Carolina -30.5', 'spreadOpen': None, 'overUnder': '57', 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '-30.5', 'formattedSpread': 'South Carolina -30.5', 'spreadOpen': None, 'overUnder': '55.5', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '-31', 'formattedSpread': 'South Carolina -31', 'spreadOpen': None, 'overUnder': '55.5', 'overUnderOpen': None}]",
401019473,2018,1,regular,Temple,American Athletic,17,Villanova,,19,"[{'provider': 'consensus', 'spread': '-15', 'formattedSpread': 'Temple -15', 'spreadOpen': None, 'overUnder': '38.5', 'overUnderOpen': None}]",
401013091,2018,1,regular,NC State,ACC,24,James Madison,,13,"[{'provider': 'consensus', 'spread': '-14.5', 'formattedSpread': 'NC State -14.5', 'spreadOpen': None, 'overUnder': '56.5', 'overUnderOpen': None}]",
